69.zipcode,53957,35957
504.phonenumber,k2569275531,2569275531
873.providernumber,1j0044,10044
19.address1,1300 south montgomeryh avenue,1300 south montgomery avenue
417.hospitaltype,acute care hospitales,acute care hospitals
125.address3,empyt,empty
257.measurecode,scip-card-2,pn-3b
765.condition,sugical infection prevention,surgical infection prevention
828.sample,1 vpatients,1 patients
456.providernumber,01019,10019
456.phonenumber,2563846556,2563864556
258.measurecode,scip-card-2,pn-4
50.measurecode,am-7a,ami-7a
688.countyname,,jefferson
845.city,clnton,clanton
668.condition,heart tatack,heart attack
643.condition,heart atjtack,heart attack
607.sample,30 patents,30 patients
711.emergencyservice,mno,no
60.measurecode,p-6,pn-6
686.address1,619 south 19th streemt,619 south 19th street
956.hospitaltype,acute care hospidtals,acute care hospitals
855.city,hmailton,hamilton
21.city,birmingham,dothan
327.condition,penumonia,pneumonia
64.countyname,,marshall
463.hospitalowner,government - hospital district or autority,government - hospital district or authority
617.measurename,heart attack patients given sapirin at arrival,heart attack patients given aspirin at arrival
395.condition,heart attack***,heart attack
298.zipcode,5233,35233
457.phonenumber,2563864556***,2563864556
157.providernumber,10018,10009
858.hospitalowner,voluntary non-profit - privarte,voluntary non-profit - private
840.phonenumber,2057555200,2057552500
41.measurecode,scimp-inf-4,scip-inf-4
18.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
351.hospitaltype,acue care hospitals,acute care hospitals
899.hospitaltype,acute car ehospitals,acute care hospitals
462.hospitalowner,government - hospitla district or authority,government - hospital district or authority
851.sample,0 paients,0 patients
228.score,00%,100%
101.address2,epmty,empty
579.hospitalowner,voluntary non-prfoit - other,voluntary non-profit - other
458.score,8%2,82%
468.stateavg,al_ambi-2,al_ami-2
522.emergencyservice,es,yes
311.city,bimingham,birmingham
879.providernumber,10045***,10045
277.measurecode,scip-card-2,hf-1
488.measurecode,scip-nif-4,scip-inf-4
415.measurename,hear attack patients given aspirin at arrival,heart attack patients given aspirin at arrival
278.measurecode,scip-card-2,hf-2
262.state,ayl,al
453.address1,1300 sout hmontgomery avenue,1300 south montgomery avenue
284.countyname,,shelby
20.city,birmingham,dothan
455.providernumber,1019,10019
47.hospitaltype,acutee care hospitals,acute care hospitals
299.zipcode,35233***,35233
497.address3,emty,empty
289.measurecode,scip-card-2,scip-inf-2
667.condition,hearbt attack,heart attack
156.providernumber,10018,10009
416.stateavg,afl_ami-2,al_ami-2
681.emergencyservice,es,yes
431.address1,315 w hickory ts,315 w hickory st
654.hospitaltype,aqcute care hospitals,acute care hospitals
746.address1,849 south thraee notch street,849 south three notch street
661.hospitalowner,government t- local,government - local
1.city,birminghvam,birmingham
714.hospitalowner,voluntary non-profit- private,voluntary non-profit - private
966.address3,ehmpty,empty
852.condition,surgical infection prevenion,surgical infection prevention
17.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,heart failure patients given an evaluation of left ventricular systolic (lvs) function
865.zipcode,3550,35570
278.zipcode,3507,35007
680.emergencyservice,yse,yes
288.measurecode,scip-card-2,scip-inf-1
60.stateavg,a_pn-6,al_pn-6
856.state,fal,al
287.countyname,,shelby
763.score,emty,empty
898.address1,1653 templen avenue north,1653 temple avenue north
963.address3,nempty,empty
157.providernumber,01009,10009
