820.journal_title,Crit. Care Mde.,Crit. Care Med.
991.journal_title,Am J Clin Nuwtr,Am J Clin Nutr
797.journal_title,ULL,NULL
674.journal_title,Environmental monitoring and asessment,Environmental monitoring and assessment
119.journal_issn,0035-9157 (Print) 0035-9157,2115-7863(Electronic);2115-8789(Print)
892.journal_issn,036-5023,0363-5023
494.journal_issn,NxULL,NULL
448.journal_title,Conference proceedings : ... Annual Internatiotnal Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference
959.journal_title,Annals of niternal medicine,Annals of internal medicine
117.journal_issn,0035-9157 (Print) 0035-9157,0021-8987
664.journal_title,PLoS pOne,PLoS One
932.journal_title,Journal of clinical oncology : officiacl journal of the American Society of Clinical Oncology,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
907.journal_title,ProQuets LLC,ProQuest LLC
984.journal_title,Am J Clin Ntur,Am J Clin Nutr
925.journal_title,Europwean Journal Of Anaesthesiology,European Journal Of Anaesthesiology
459.journal_title,Pain Mediocine,Pain Medicine
487.journal_issn,1873-14t65,1873-1465
849.journal_title,nn Rheum Dis,Ann Rheum Dis
532.journal_issn,10959203,1095-9203
993.journal_issn,1423-030,1423-0380
348.journal_title,Colorectaldisease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland
663.journal_title,The Journal of heaart valve disease,The Journal of heart valve disease
272.journal_issn,0042-9007***,0042-9007
575.journal_issn,143-0380,1423-0380
642.journal_title,Journal of Women's Health (15n409996),Journal of Women's Health (15409996)
698.journal_title,Eergy Policy,Energy Policy
770.journal_title,PLoS Ogne,PLoS One
433.journal_issn,ULL,NULL
551.journal_title,Journal of stroke and cerebrovascular diseases : the official journal of National Sroke Association,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
575.journal_title,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and eMdicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
459.journal_issn,rNULL,NULL
657.journal_issn,146h0-2385,1460-2385
508.journal_issn,ov-53,Nov-53
954.journal_title,International journal of obesity (2005)***,International journal of obesity (2005)
111.journal_issn,0035-9157 (Print) 0035-9157,1432-0851
550.journal_title,Disabliity and rehabilitation,Disability and rehabilitation
770.journal_issn,1932-603,1932-6203
493.journal_issn,1433-7374,1433-7347
107.journal_issn,NULlL,NULL
910.journal_title,Cancre,Cancer
627.journal_issn,091r0-5050,0910-5050
883.journal_title,Cost Effectiveness and Resource jAllocation,Cost Effectiveness and Resource Allocation
773.journal_title,Journal of the Nationla Cancer Institute,Journal of the National Cancer Institute
792.journal_title,Journal of cardiovascular medicinde (Hagerstown, Md.),Journal of cardiovascular medicine (Hagerstown, Md.)
785.journal_title,Patolozgie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.
858.journal_title,Circlation,Circulation
926.journal_title,Funcional Neurology,Functional Neurology
801.journal_title,Journal of he National Cancer Institute,Journal of the National Cancer Institute
516.journal_issn,2168-6k19X,2168-619X
839.journal_issn,540-0514,1540-0514
115.journal_issn,0035-9157 (Print) 0035-9157,0315-162X
41.journal_title,Int. J. Radiat.s Oncol. Biol. Phys.,Int. J. Radiat. Oncol. Biol. Phys.
618.journal_title,NbULL,NULL
113.journal_issn,0035-9157 (Print) 0035-9157,NULL
93.journal_title,iNcotine Tob Res,Nicotine Tob Res
889.journal_issn,1932-623,1932-6203
423.journal_title,Addctive Behaviors,Addictive Behaviors
798.journal_issn,r0363-5023,0363-5023
991.journal_issn,eb-65,Feb-65
267.journal_issn,f0003-990X,0003-990X
49.journal_title,TheJournal of clinical psychiatry,The Journal of clinical psychiatry
118.journal_issn,0035-9157 (Print) 0035-9157,NULL
538.journal_issn,0160-6k379,0160-6379
309.journal_title,yGut,Gut
664.journal_issn,1923-6203,1932-6203
910.journal_issn,1097-014o2,1097-0142
354.journal_title,Bmc ancer,Bmc Cancer
589.journal_title,Pharmacgenomics,Pharmacogenomics
705.journal_title,BioMed research interntional,BioMed research international
120.journal_issn,NUdLL,NULL
833.journal_issn,NULzL,NULL
746.journal_title,Circuulation,Circulation
801.journal_issn,1460l-2105,1460-2105
625.journal_title,International wJournal of Obesity,International Journal of Obesity
596.journal_issn,0949-2658 (Print) 0949-2i658,0949-2658 (Print) 0949-2658
362.journal_title,Ann Frw Anesth Reanim,Ann Fr Anesth Reanim
889.journal_title,LPoS One,PLoS One
975.journal_title,Surgica linfections,Surgical infections
170.journal_issn,NULL***,NULL
827.journal_title,International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Da oBao],International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Dao Bao]
487.journal_title,Physigotherapy,Physiotherapy
354.journal_issn,1417-2407,1471-2407
984.journal_issn,Febq-65,Feb-65
722.journal_issn,0021-7557***,0021-7557
112.journal_issn,0035-9157 (Print) 0035-9157,2044-6055
570.journal_title,International psychogeriatric / IPA,International psychogeriatrics / IPA
451.journal_title,Journal of learningd isabilities,Journal of learning disabilities
110.journal_issn,0035-9157 (Print) 0035-9157,1469-493X
221.journal_title,Computerized Medical Imaging and Graphisc: The Official Journal of the Computerized Medical Imaging Society,Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society
611.journal_issn,0268960X,0268-960X
116.journal_issn,0035-9157 (Print) 0035-9157,NULL
40.journal_title,European journal of emergency medicine :t official journal of the European Society for Emergency Medicine,European journal of emergency medicine : official journal of the European Society for Emergency Medicine
980.journal_title,Endocrnology,Endocrinology
114.journal_issn,0035-9157 (Print) 0035-9157,0143-991X
386.journal_title,he Science of the total environment,The Science of the total environment
822.journal_title,Obesity (Silver Sprisng, Md.),Obesity (Silver Spring, Md.)
894.journal_title,The European rejspiratory journal,The European respiratory journal
186.journal_title,Mount Sinia Journal of Medicine,Mount Sinai Journal of Medicine
808.journal_issn,4167-1107,1467-1107
546.journal_issn,1462-0h324,1462-0324
289.journal_issn,19326-203,1932-6203
647.journal_issn,1469-8m96X,1469-896X
332.journal_issn,179-1969,1179-1969
784.journal_issn,3103-6521,1303-6521
532.journal_title,Science (Newb York, N.Y.),Science (New York, N.Y.)
378.journal_issn,19n32-6203,1932-6203
