index,id,brewery_id,brewery_name,beer_name,style,ounces,abv,ibu,city,state
1,1436,408,10 Barrel Brewing Company,Pub Beer,American Pale Lager,12,0.05,,Bend,OR
2,2265,177,18th Street Brewery,Devil's Cup,American Pale Ale (APA),12,0.066,,Gary,IN
3,2264,177,18th Street Brewery,Rise of the Phoenix,American IPA,12,0.071,,Gary,IN
4,2263,177,18th Street Brewery,Sinister,American Double / Imperial IPA,12,0.09,,Gary,IN
5,2262,177,18th Street Brewery,Sex and Candy,American IPA,12,0.075,,Gary,IN
6,2261,177,18th Street Brewery,Black Exodus,Oatmeal Stout,12,0.077,,Gary,IN
7,2260,177,18th Street Brewery,Lake Street Express,American Pale Ale (APA),12,0.045,,Gary,IN
8,2259,177,18th Street Brewery,Foreman,American Porter,12,0.065,,Gary,IN
9,2258,177,18th Street Brewery,Jade,American Pale Ale (APA),12,0.055,,Gary,IN
10,2131,177,18th Street Brewery,Cone Crusher,American Double / Imperial IPA,12,0.086,,Gary,IN
11,2099,177,18th Street Brewery,Sophomoric Saison,Saison / Farmhouse Ale,12,0.072,,Gary,IN
12,2098,177,18th Street Brewery,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,,Gary,IN
13,2097,177,18th Street Brewery,Garce Sel¨¦,Saison / Farmhouse Ale,12,0.069,,Gary,IN
14,1980,177,18th Street Brewery,Troll Destroyer,Belgian IPA,12,0.085,,Gary,IN
15,1979,177,18th Street Brewery,Bitter Bitch,American Pale Ale (APA),12,0.061,60,Gary,IN
16,2318,154,2 Towns Ciderhouse,Ginja Ninja,Cider,12,0.06,,Corvallis,OR
17,2170,154,2 Towns Ciderhouse,Cherried Away,Cider,12,0.06,,Corvallis,OR
18,2169,154,2 Towns Ciderhouse,Rhubarbarian,Cider,12,0.06,,Corvallis,OR
19,1502,154,2 Towns Ciderhouse,BrightCider,Cider,12,0.06,,Corvallis,OR
20,1593,368,21st Amendment Brewery,He Said Baltic-Style Porter,Baltic Porter,12,0.082,,San Francisco,CA
21,1592,368,21st Amendment Brewery,He Said Belgian-Style Tripel,Tripel,12,0.082,,San Francisco,CA
22,1036,368,21st Amendment Brewery,Lower De Boom,American Barleywine,8.4,0.099,92,San Francisco,CA
23,1024,368,21st Amendment Brewery,Fireside Chat,Winter Warmer,12,0.079,45,San Francisco,CA
24,976,368,21st Amendment Brewery,Marooned On Hog Island,American Stout,12,0.079,,San Francisco,CA
25,876,368,21st Amendment Brewery,Bitter American,American Pale Ale (APA),12,0.044,42,San Francisco,CA
26,802,368,21st Amendment Brewery,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,San Francisco,CA
27,801,368,21st Amendment Brewery,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,San Francisco,CA
28,800,368,21st Amendment Brewery,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,17,San Francisco,CA
29,799,368,21st Amendment Brewery,21st Amendment IPA (2006),American IPA,12,0.07,70,San Francisco,CA
30,797,368,21st Amendment Brewery,Brew Free! or Die IPA (2008),American IPA,12,0.07,70,San Francisco,CA
31,796,368,21st Amendment Brewery,Brew Free! or Die IPA (2009),American IPA,12,0.07,70,San Francisco,CA
32,531,368,21st Amendment Brewery,Special Edition: Allies Win The War!,English Strong Ale,12,0.085,52,San Francisco,CA
33,432,368,21st Amendment Brewery,Hop Crisis,American Double / Imperial IPA,12,0.097,94,San Francisco,CA
34,353,368,21st Amendment Brewery,Bitter American (2011),American Pale Ale (APA),12,0.044,42,San Francisco,CA
35,321,368,21st Amendment Brewery,Fireside Chat (2010),Winter Warmer,12,0.079,45,San Francisco,CA
36,173,368,21st Amendment Brewery,Back in Black,American Black Ale,12,0.068,65,San Francisco,CA
37,11,368,21st Amendment Brewery,Monk's Blood,Belgian Dark Ale,12,0.083,35,San Francisco,CA
38,10,368,21st Amendment Brewery,Brew Free! or Die IPA,American IPA,12,0.07,65,San Francisco,CA
39,9,368,21st Amendment Brewery,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.049,17,San Francisco,CA
40,2519,67,3 Daughters Brewing,Bimini Twist,American IPA,12,0.07,82,St Petersburg,FL
41,2518,267,3 Daughters Brewing,Beach Blonde,American Blonde Ale,12,0.05,,St Petersburg,FL
42,2517,67,3 Daughters Brewing,Rod Bender Red,American Amber / Red Ale,12,0.059,,St Petersburg,FL
43,2545,60,4 Hands Brewing Company,Passion Fruit Prussia,Berliner Weissbier,12,0.035,11,Saint Louis,MO
44,2544,60,4 Hands Brewing Company,Send Help,American Blonde Ale,12,0.045,18,Saint Louis,MO
45,2324,60,4 Hands Brewing Company,Cast Iron Oatmeal Brown,American Brown Ale,12,0.055,,Saint Louis,MO
46,2288,60,4 Hands Brewing Company,Reprise Centennial Red,American Amber / Red Ale,12,0.06,,Saint Louis,MO
47,2287,60,4 Hands Brewing Company,Alter Ego,American Black Ale,12,0.055,,Saint Louis,MO
48,2286,60,4 Hands Brewing Company,Divided Sky,American IPA,12,0.065,,Saint Louis,MO
49,2285,60,4 Hands Brewing Company,Resurrected,American IPA,12,0.065,,Saint Louis,MO
50,1870,60,4 Hands Brewing Company,Contact High,American Pale Wheat Ale,12,0.05,28,Saint Louis,MO
51,2603,27,450 North Brewing Company,Galaxyfest,American IPA,16,0.065,,Columbus,IN
52,2602,27,450 North Brewing Company,Citrafest,American IPA,16,0.05,45,Columbus,IN
53,2220,27,450 North Brewing Company,Barn Yeti,Belgian Strong Dark Ale,16,0.09,,Columbus,IN
54,2219,27,450 North Brewing Company,Scarecrow,American IPA,16,0.069,65,Columbus,IN
55,2218,27,450 North Brewing Company,Ironman,English Strong Ale,16,0.09,50,Columbus,IN
56,2217,27,450 North Brewing Company,Honey Kolsch,K?lsch,16,0.046,15,Columbus,IN
57,2216,27,450 North Brewing Company,Copperhead Amber,Belgian Dark Ale,16,0.052,18,Columbus,IN
58,972,481,7 Seas Brewing Company,Rude Parrot IPA,American IPA,16,0.059,75,Gig Harbor,WA
59,866,481,7 Seas Brewing Company,British Pale Ale (2010),English Pale Ale,16,0.054,30,Gig Harbor,WA
60,48,481,7 Seas Brewing Company,British Pale Ale,English Pale Ale,16,0.054,30,Gig Harbor,WA
61,47,481,7 Seas Brewing Company,Ballz Deep Double IPA,American Double / Imperial IPA,16,0.084,82,Gig Harbor,WA
62,1583,373,7venth Sun,Wolfman's Berliner,Berliner Weissbier,12,0.038,,Dunedin,FL
63,1165,462,AC Golden Brewing Company,Colorado Native,American Amber / Red Lager,12,0.055,26,Golden,CO
64,431,462,AC Golden Brewing Company,Colorado Native (2011),American Amber / Red Lager,12,0.055,26,Golden,CO
65,516,533,Abita Brewing Company,Jockamo IPA,American IPA,12,0.065,52,Abita Springs,LA
66,515,533,Abita Brewing Company,Purple Haze,Fruit / Vegetable Beer,12,0.042,13,Abita Springs,LA
67,514,533,Abita Brewing Company,Abita Amber,American Amber / Red Lager,12,0.045,17,Abita Springs,LA
68,2540,62,Against The Grain Brewery,Citra Ass Down,American IPA,16,0.082,68,Louisville,KY
69,2539,62,Against The Grain Brewery,The Brown Note,American Brown Ale,16,0.05,20,Louisville,KY
70,2686,1,Against the Grain Brewery,Citra Ass Down,American Double / Imperial IPA,16,0.08,68,Louisville,KY
71,2685,1,Against the Grain Brewery,London Balling,English Barleywine,16,0.125,80,Louisville,KY
72,2684,1,Against the Grain Brewery,35 K,Milk / Sweet Stout,16,0.077,25,Louisville,KY
73,2683,1,Against the Grain Brewery,A Beer,American Pale Ale (APA),16,0.042,42,Louisville,KY
74,2682,1,Against the Grain Brewery,Rules are Rules,German Pilsener,16,0.05,25,Louisville,KY
75,2681,1,Against the Grain Brewery,Flesh Gourd'n,Pumpkin Ale,16,0.066,21,Louisville,KY
76,2680,1,Against the Grain Brewery,Sho'nuff,Belgian Pale Ale,16,0.04,13,Louisville,KY
77,2679,1,Against the Grain Brewery,Bloody Show,American Pilsner,16,0.055,17,Louisville,KY
78,2678,1,Against the Grain Brewery,Rico Sauvin,American Double / Imperial IPA,16,0.076,68,Louisville,KY
79,2677,1,Against the Grain Brewery,Coq de la Marche,Saison / Farmhouse Ale,16,0.051,38,Louisville,KY
80,2676,1,Against the Grain Brewery,Kamen Knuddeln,American Wild Ale,16,0.065,,Louisville,KY
81,2675,1,Against the Grain Brewery,Pile of Face,American IPA,16,0.06,65,Louisville,KY
82,2674,1,Against the Grain Brewery,The Brown Note,English Brown Ale,16,0.05,20,Louisville,KY
83,1594,367,Airways Brewing Company,Maylani's Coconut Stout,American Stout,16,0.053,35,Kent,WA
84,1162,367,Airways Brewing Company,Oatmeal PSA,American Pale Ale (APA),16,0.05,35,Kent,WA
85,1137,367,Airways Brewing Company,Pre Flight Pilsner,American Pilsner,16,0.052,33,Kent,WA
86,2403,117,Alameda Brewing,P-Town Pilsner,American Pilsner,12,0.04,20,Portland,OR
87,2402,117,Alameda Brewing,Klickitat Pale Ale,American Pale Ale (APA),12,0.053,36,Portland,OR
88,2401,117,Alameda Brewing,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12,0.082,103,Portland,OR
89,1921,270,Alaskan Brewing Company,Freeride APA,American Pale Ale (APA),12,0.053,40,Juneau,AK
90,1920,270,Alaskan Brewing Company,Alaskan Amber,Altbier,12,0.053,18,Juneau,AK
91,2501,73,Ale Asylum,Hopalicious,American Pale Ale (APA),12,0.057,,Madison,WI
