id,brewery_id,beer_name,style,ounces,abv,ibu,brewery_name,city,state
1436,408,Pub Beer,American Pale Lager,12,0.05,,10 Barrel Brewing Company,Bend,OR
2265,177,Devil's Cup,American Pale Ale (APA),12,0.066,,18th Street Brewery,Gary,IN
2264,177,Rise of the Phoenix,American IPA,12,0.071,,18th Street Brewery,Gary,IN
2263,177,Sinister,American Double / Imperial IPA,12,0.09,,18th Street Brewery,Gary,IN
2262,177,Sex and Candy,American IPA,12,0.075,,18th Street Brewery,Gary,IN
2261,177,Black Exodus,Oatmeal Stout,12,0.077,,18th Street Brewery,Gary,IN
2260,177,Lake Street Express,American Pale Ale (APA),12,0.045,,18th Street Brewery,Gary,IN
2259,177,Foreman,American Porter,12,0.065,,18th Street Brewery,Gary,IN
2258,177,Jade,American Pale Ale (APA),12,0.055,,18th Street Brewery,Gary,IN
2131,177,Cone Crusher,American Double / Imperial IPA,12,0.086,,18th Street Brewery,Gary,IN
2099,177,Sophomoric Saison,Saison / Farmhouse Ale,12,0.072,,18th Street Brewery,Gary,IN
2098,177,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,,18th Street Brewery,Gary,IN
2097,177,Garce Selé,Saison / Farmhouse Ale,12,0.069,,18th Street Brewery,Gary,IN
1980,177,Troll Destroyer,Belgian IPA,12,0.085,,18th Street Brewery,Gary,IN
1979,177,Bitter Bitch,American Pale Ale (APA),12,0.061,60,18th Street Brewery,Gary,IN
2318,154,Ginja Ninja,Cider,12,0.06,,2 Towns Ciderhouse,Corvallis,OR
2170,154,Cherried Away,Cider,12,0.06,,2 Towns Ciderhouse,Corvallis,OR
2169,154,Rhubarbarian,Cider,12,0.06,,2 Towns Ciderhouse,Corvallis,OR
1502,154,BrightCider,Cider,12,0.06,,2 Towns Ciderhouse,Corvallis,OR
1593,368,He Said Baltic-Style Porter,Baltic Porter,12,0.082,,21st Amendment Brewery,San Francisco,CA
1592,368,He Said Belgian-Style Tripel,Tripel,12,0.082,,21st Amendment Brewery,San Francisco,CA
1036,368,Lower De Boom,American Barleywine,8.4,0.099,92,21st Amendment Brewery,San Francisco,CA
1024,368,Fireside Chat,Winter Warmer,12,0.079,45,21st Amendment Brewery,San Francisco,CA
976,368,Marooned On Hog Island,American Stout,12,0.079,,21st Amendment Brewery,San Francisco,CA
876,368,Bitter American,American Pale Ale (APA),12,0.044,42,21st Amendment Brewery,San Francisco,CA
802,368,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,21st Amendment Brewery,San Francisco,CA
801,368,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,21st Amendment Brewery,San Francisco,CA
800,368,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,17,21st Amendment Brewery,San Francisco,CA
799,368,21st Amendment IPA (2006),American IPA,12,0.07,70,21st Amendment Brewery,San Francisco,CA
797,368,Brew Free! or Die IPA (2008),American IPA,12,0.07,70,21st Amendment Brewery,San Francisco,CA
796,368,Brew Free! or Die IPA (2009),American IPA,12,0.07,70,21st Amendment Brewery,San Francisco,CA
531,368,Special Edition: Allies Win The War!,English Strong Ale,12,0.085,52,21st Amendment Brewery,San Francisco,CA
432,368,Hop Crisis,American Double / Imperial IPA,12,0.097,94,21st Amendment Brewery,San Francisco,CA
353,368,Bitter American (2011),American Pale Ale (APA),12,0.044,42,21st Amendment Brewery,San Francisco,CA
321,368,Fireside Chat (2010),Winter Warmer,12,0.079,45,21st Amendment Brewery,San Francisco,CA
173,368,Back in Black,American Black Ale,12,0.068,65,21st Amendment Brewery,San Francisco,CA
11,368,Monk's Blood,Belgian Dark Ale,12,0.083,35,21st Amendment Brewery,San Francisco,CA
10,368,Brew Free! or Die IPA,American IPA,12,0.07,65,21st Amendment Brewery,San Francisco,CA
9,368,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.049,17,21st Amendment Brewery,San Francisco,CA
2519,67,Bimini Twist,American IPA,12,0.07,82,3 Daughters Brewing,St Petersburg,FL
2518,67,Beach Blonde,American Blonde Ale,12,0.05,,3 Daughters Brewing,St Petersburg,FL
2517,67,Rod Bender Red,American Amber / Red Ale,12,0.059,,3 Daughters Brewing,St Petersburg,FL
2545,60,Passion Fruit Prussia,Berliner Weissbier,12,0.035,11,4 Hands Brewing Company,Saint Louis,MO
2544,60,Send Help,American Blonde Ale,12,0.045,18,4 Hands Brewing Company,Saint Louis,MO
