801.journal_issn,1406-2105,1460-2105
10.journal_issn,0035-9157 (Print) 0035-9157,NULL
889.journal_issn,1932-623,1932-6203
925.journal_title,European Journal Of Anaesthesidology,European Journal Of Anaesthesiology
705.journal_title,BioMed ersearch international,BioMed research international
551.journal_title,Journal of stroke andd cerebrovascular diseases : the official journal of National Stroke Association,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
289.journal_title,PLoSOne,PLoS One
208.journal_issn,NLL,NULL
16.journal_title,British Journal of Dermatoogy. ,British Journal of Dermatology. 
11.journal_issn,0035-9157 (Print) 0035-9157,1361-9209
419.journal_title,Clinical cardiolgy,Clinical cardiology
991.journal_issn,Febg-65,Feb-65
575.journal_title,Tumour biology : the journal oft he International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
657.journal_title,Nephrology, dialysis, transplantation : official publication of the Eurtopean Dialysis and Transplant Association - European Renal Association,Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
57.journal_title,Journal of clinica lanesthesia,Journal of clinical anesthesia
858.journal_title,Circulatin,Circulation
476.journal_title,Physics in medicine and biloogy,Physics in medicine and biology
770.journal_title,PLoS nOe,PLoS One
664.journal_issn,932-6203,1932-6203
868.journal_title,Cancer chemotherapy aand pharmacology,Cancer chemotherapy and pharmacology
444.journal_title,Italian Jornal of Psychopathology,Italian Journal of Psychopathology
643.journal_title,Publich ealth nursing (Boston, Mass.),Public health nursing (Boston, Mass.)
679.journal_title,NLUL,NULL
187.journal_title,Radhiotherapy and Oncology,Radiotherapy and Oncology
49.journal_title,The Journal of clinical psychxiatry,The Journal of clinical psychiatry
547.journal_title,NLUL,NULL
177.journal_title,Ann pN Y Acad Sci,Ann N Y Acad Sci
352.journal_title,East African Medicalt Journal,East African Medical Journal
398.journal_title,Anestehsia And Analgesia,Anesthesia And Analgesia
320.journal_title,Cardiloogy in the young,Cardiology in the young
398.journal_issn,156-7598,1526-7598
973.journal_title,Am. J. Cakrdiovasc. Drugs,Am. J. Cardiovasc. Drugs
519.journal_issn,147n0-2738,1470-2738
712.journal_title,NULL***,NULL
400.journal_issn,1558-147,1558-1497
163.journal_title,NLUL,NULL
268.journal_title,Jornal of Sexual Medicine,Journal of Sexual Medicine
892.journal_title,J Hband Surg Am,J Hand Surg Am
959.journal_title,Annals of iinternal medicine,Annals of internal medicine
423.journal_issn,0306-460x3,0306-4603
987.journal_title,UNLL,NULL
867.journal_title,Cochnrane Database Syst. Rev.,Cochrane Database Syst. Rev.
446.journal_issn,751-7176,1751-7176
947.journal_title,Journal of Consulting and ClinicalPsychology,Journal of Consulting and Clinical Psychology
672.journal_issn,NULvL,NULL
916.journal_title,Bioleectromagnetics,Bioelectromagnetics
808.journal_issn,1467-1170,1467-1107
487.journal_title,Physiothherapy,Physiotherapy
785.journal_title,Patologie asbesto correlate in congiunti di lavoratori del settoer cemento-amianto.,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.
9.journal_issn,0035-9157 (Print) 0035-9157,1385-4046
705.journal_issn,2314v-6141,2314-6141
29.journal_issn,1923-6203,1932-6203
469.journal_title,Sugr. Endosc. Interv. Tech.,Surg. Endosc. Interv. Tech.
8.journal_issn,0035-9157 (Print) 0035-9157,NULL
638.journal_issn,0390-6708,0390-6078
664.journal_title,PLoS bOne,PLoS One
650.journal_issn,0916-6553,0196-6553
687.journal_issn,1020-33w97,1020-3397
7.journal_issn,0035-9157 (Print) 0035-9157,0007-1420
102.journal_issn,1612-4782     1612-47h90,1612-4782     1612-4790
770.journal_issn,1932-6h203,1932-6203
798.journal_issn,03635023,0363-5023
348.journal_issn,14f63-1318,1463-1318
447.journal_title,Frontiers in human nuroscience,Frontiers in human neuroscience
959.journal_issn,1539-37b04,1539-3704
925.journal_issn,1365-2364,1365-2346
493.journal_issn,14337-347,1433-7347
130.journal_title,Curr. Vasc. Parmacol.,Curr. Vasc. Pharmacol.
6.journal_issn,0035-9157 (Print) 0035-9157,NULL
532.journal_title,Science (New Yor, N.Y.),Science (New York, N.Y.)
54.journal_title,Journal of scienche and medicine in sport / Sports Medicine Australia,Journal of science and medicine in sport / Sports Medicine Australia
596.journal_title,JO rthop Sci,J Orthop Sci
5.journal_issn,0035-9157 (Print) 0035-9157,1558-0520
628.journal_issn,00220345,0022-0345
910.journal_issn,0197-0142,1097-0142
4.journal_issn,0035-9157 (Print) 0035-9157,NULL
212.journal_title,International archives of occupationaland environmental health,International archives of occupational and environmental health
663.journal_issn,0966-8159,0966-8519
984.journal_issn,Feb-6z5,Feb-65
457.journal_issn,UNLL,NULL
309.journal_issn,0v017-5749,0017-5749
954.journal_title,International jorunal of obesity (2005),International journal of obesity (2005)
892.journal_issn,0363-523,0363-5023
740.journal_title,J Hosp Ifect,J Hosp Infect
926.journal_title,FunctionalNeurology,Functional Neurology
935.journal_title,NUL,NULL
853.journal_title,yCirculation,Circulation
