648.journal_issn,0889-546,0889-5406
910.journal_issn,1097-1042,1097-0142
697.journal_title,vJ Anal Toxicol,J Anal Toxicol
128.journal_issn,0035-9157 (Print) 0035-9157,1840-0132 1840-2445 (electronic)
216.journal_title,Proc R Soc Med,NULL
638.journal_title,Haemmatologica,Haematologica
170.journal_title,ULL,NULL
127.journal_issn,0035-9157 (Print) 0035-9157,NULL
425.journal_title,UNLL,NULL
106.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Psychooncology
770.journal_title,PLoS nOe,PLoS One
152.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Neuropsychologia
493.journal_issn,1433-73x47,1433-7347
888.journal_issn,1522726X,1522-726X
694.journal_issn,1473-5275,1473-5725
858.journal_title,Circultion,Circulation
151.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
943.jounral_abbreviation,ULL,NULL
158.jounral_abbreviation,Proceedings of the Royal Society of Medicine,CNS Spectr
889.journal_issn,1932-6230,1932-6203
980.journal_title,Enodcrinology,Endocrinology
953.journal_issn,ULL,NULL
219.journal_title,Proc R Soc Med,NULL
138.journal_issn,NULcL,NULL
87.journal_issn,1556-9093,1556-9039
348.journal_title,Colorectal disease : the official journal of the Association of Coloproctology of Great Birtain and Ireland,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland
105.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Cancer Chemother. Pharmacol.
150.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Gen Dent
583.journal_issn,NUrLL,NULL
274.journal_title,Amercan Journal of Community Psychology,American Journal of Community Psychology
24.journal_title,Journal of clinical oncology : official journal of the American Societzy of Clinical Oncology,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
178.journal_issn,193u0-7381,1930-7381
863.journal_title,Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Cohilenos.,Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.
390.journal_title,nn Pharmacother,Ann Pharmacother
621.jounral_abbreviation,NeULL,NULL
484.journal_issn,1324-37h80,1324-3780
683.journal_title,Healt hEducation Research,Health Education Research
202.journal_issn,978-1-2673-210-7,978-1-2673-2110-7
798.journal_title,J Hand urg Am,J Hand Surg Am
498.journal_issn,qNULL,NULL
409.jounral_abbreviation,NUL,NULL
217.journal_title,Proc R Soc Med,Public health reports (Washington, D.C. : 1974)
808.journal_issn,467-1107,1467-1107
59.journal_issn,0-80w77-4913-3,0-8077-4913-3
849.journal_issn,Mar-76,Mar-67
316.journal_title,Ruadiology,Radiology
976.jounral_abbreviation,Stroids,Steroids
799.jounral_abbreviation,NULtL,NULL
8.journal_title,American journal of resiratory and critical care medicine,American journal of respiratory and critical care medicine
853.journal_issn,22-nSep,22-Sep
129.journal_issn,0035-9157 (Print) 0035-9157,1051-0443
