973.journal_issn,1f175-3277,1175-3277
403.journal_title,Supply Chain aMnagement,Supply Chain Management
412.journal_issn,0151-1970, 1051-1970,1051-1970, 1051-1970
916.journal_issn,i1521-186X,1521-186X
294.journal_title,Chin. Mde,Chin. Med
659.journal_title,Stroke; a journal ofc erebral circulation,Stroke; a journal of cerebral circulation
278.journal_issn,0035-9157 (Print) 0035-9157,0016-5085
916.journal_title,Bioelectromagetics,Bioelectromagnetics
561.journal_issn,1017-8733,1017-7833
512.journal_title,Journal of Korean Neurosurfgical Society,Journal of Korean Neurosurgical Society
353.journal_issn,NUkLL,NULL
493.journal_title,Knee surgery, sports traumatology, arthroscopy : official juornal of the ESSKA,Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA
276.journal_issn,0035-9157 (Print) 0035-9157,NULL
547.journal_issn,NLL,NULL
277.journal_issn,0035-9157 (Print) 0035-9157,NULL
532.journal_issn,1095-r9203,1095-9203
552.journal_issn,08998-256,0899-8256
991.journal_issn,Fb-65,Feb-65
424.journal_title,m J Perinatol,Am J Perinatol
596.journal_title,JOrthop Sci,J Orthop Sci
309.journal_title,Gtu,Gut
785.journal_title,Patologie asbeesto correlate in congiunti di lavoratori del settore cemento-amianto.,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.
506.journal_title,Scandinavian journal o frheumatology,Scandinavian journal of rheumatology
546.journal_issn,1642-0324,1462-0324
889.journal_title,LPoS One,PLoS One
889.journal_issn,l1932-6203,1932-6203
435.journal_issn,Feb-q65,Feb-65
731.journal_issn,UNLL,NULL
507.journal_title,Administration and policy in menta lhealth,Administration and policy in mental health
628.journal_title,Journal of dental kresearch,Journal of dental research
320.journal_issn,146-71107,1467-1107
698.journal_title,Eergy Policy,Energy Policy
892.journal_title,J Hand Srg Am,J Hand Surg Am
977.journal_issn,UNLL,NULL
982.journal_issn,0009-9201 (fPrint) 0009-9201,0009-9201 (Print) 0009-9201
813.journal_issn,NUL,NULL
868.journal_issn,143-0843,1432-0843
720.journal_issn,1470-0328 (Print) 1407-0328,1470-0328 (Print) 1470-0328
609.journal_title,Zeitschrift fr Erkrankungen der Atmungsorgane mit olia bronchologica,Zeitschrift fr Erkrankungen der Atmungsorgane mit Folia bronchologica
954.journal_issn,14l76-5497,1476-5497
959.journal_title,Annals of internal emdicine,Annals of internal medicine
932.journal_issn,1527g-7755,1527-7755
993.journal_issn,1f423-0380,1423-0380
283.journal_title,Journal of the American Veterinary Mecdical Association,Journal of the American Veterinary Medical Association
993.journal_title,Tumour biology : the journal of the International Society for Oncodeelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
978.journal_title,The Journal of antmiicrobial chemotherapy,The Journal of antimicrobial chemotherapy
991.journal_title,Am J Ciln Nutr,Am J Clin Nutr
824.journal_issn,21y68-6114,2168-6114
980.journal_title,Endocrijnology,Endocrinology
274.journal_issn,0035-9157 (Print) 0035-9157,0091-0562
550.journal_issn,1464e-5165,1464-5165
858.journal_title,Circlation,Circulation
275.journal_issn,0035-9157 (Print) 0035-9157,-8906
310.journal_issn,ULL,NULL
926.journal_title,Functiohnal Neurology,Functional Neurology
853.journal_issn,22-rSep,22-Sep
273.journal_issn,0035-9157 (Print) 0035-9157,0007-1250 1472-1465
801.journal_title,Journal of the Ntaional Cancer Institute,Journal of the National Cancer Institute
397.journal_title,Minerva cardioangiowlogica,Minerva cardioangiologica
353.journal_title,NLUL,NULL
880.journal_title,Academic Medicine: Journal Of Tshe Association Of American Medical Colleges,Academic Medicine: Journal Of The Association Of American Medical Colleges
664.journal_title,PLSo One,PLoS One
