Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0022151898734177333
Attribute: lname, MSE: nan, Jaccard: 0.006929133858267766
Attribute: gender, MSE: nan, Jaccard: 0.9293219422119932
Attribute: areacode, MSE: nan, Jaccard: 0.04733241854380754
Attribute: phone, MSE: nan, Jaccard: 0.0007878939469735391
Attribute: city, MSE: nan, Jaccard: 0.049400882410352676
Attribute: state, MSE: nan, Jaccard: 0.75452101857935
Attribute: zip, MSE: nan, Jaccard: 0.0014710607703740664
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0013990465177124989
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: nan, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.9985116094463187
Attribute: marriedexemp, MSE: nan, Jaccard: 0.9855057523413125
Attribute: childexemp, MSE: nan, Jaccard: 0.9756923076923076
º”»®ªÏ∫œæ‡¿Î: 0.14853400800600589
