94.countyname,laudrdale,lauderdale
334.emergencyservice,ys,yes
461.hospitalowner,government - hospital district or autority,government - hospital district or authority
308.emergencyservice,es,yes
85.hospitalname,eliza coffee emorial hospital,eliza coffee memorial hospital
143.condition,surgical infection prevntion,surgical infection prevention
196.condition,heart atxtack,heart attack
4.city,bdirmingham,birmingham
466.hospitalowner,government - hospial district or authority,government - hospital district or authority
393.address1,124 s memorialdr,124 s memorial dr
648.countyname,randolhp,randolph
11.emergencyservice,eys,yes
99.zipcode,35233,36467
322.measurename,heart failure patients given an evaluation of left ventricular sytsolic (lvs) function,heart failure patients given an evaluation of left ventricular systolic (lvs) function
275.city,alabastr,alabaster
93.condition,surgicla infection prevention,surgical infection prevention
955.condition,surgical infectoin prevention,surgical infection prevention
410.emergencyservice,ys,yes
301.hospitalname,callahan eey foundation hospital,callahan eye foundation hospital
228.hospitalname,callahan eye foundation hospital,dekalb regional medical center
259.hospitalname,callahan eye foundation hospital,southwest alabama medical center
837.measurename,heart failure patients given ace nihibitor or arb for left ventricular systolic dysfunction (lvsd),heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
845.emergencyservice,es,yes
5.city,birminham,birmingham
867.condition,pneumoia,pneumonia
511.hospitalname,cherokee mmedical center,cherokee medical center
510.condition,surgical infection prevenion,surgical infection prevention
844.condition,pnemonia,pneumonia
561.stateavg,al_scip-inf2,al_scip-inf-2
92.hospitalowner,voluntary non-profit - othre,voluntary non-profit - other
930.condition,surgical infection pevention,surgical infection prevention
661.stateavg,al_scoip-inf-2,al_scip-inf-2
765.emergencyservice,o,no
457.zipcode,35660***,35660
275.stateavg,al_ai-7a,al_ami-7a
415.measurename,heart attack pxatients given aspirin at arrival,heart attack patients given aspirin at arrival
20.measurename,heart tatack patients given aspirin at arrival,heart attack patients given aspirin at arrival
22.city,birmingham,dothan
299.hospitalname,callhan eye foundation hospital,callahan eye foundation hospital
592.measurename,hearth attack patients given aspirin at arrival,heart attack patients given aspirin at arrival
554.zipcode,361a06,36106
466.address1,1300 south ontgomery avenue,1300 south montgomery avenue
147.hospitalowner,proprietzary,proprietary
17.hospitalname,callahan eye foundation hospital,helen keller memorial hospital
149.hospitalowner,proplrietary,proprietary
276.hospitalname,callahan eye foundation hospital,shelby baptist medical center
852.condition,surgical inefction prevention,surgical infection prevention
97.zipcode,35233,36467
877.condition,surgical nifection prevention,surgical infection prevention
878.measurename,heart attack patients given aspirin a tarrival,heart attack patients given aspirin at arrival
