2157.city,oTrrance,Torrance
81.city,ouisville,Louisville
1482.state,CS,SC
856.state,ZA,AZ
1472.state,LaA,LA
2204.city,Idaho Sprxings,Idaho Springs
1303.brewery_name,Maui Brewingc Company,Maui Brewing Company
632.city,Potrland,Portland
432.brewery_name,BreweryVivant,Brewery Vivant
82.city,Louiville,Louisville
1352.brewery_name,MillKing It Porductions,MillKing It Productions
857.state,ZA,AZ
1239.state,Z,AZ
508.city,Ashalnd,Ashland
428.brewery_name,Bewery Vivant,Brewery Vivant
1772.state,A,PA
433.brewery_name,Breswery Vivant,Brewery Vivant
429.brewery_name,rewery Vivant,Brewery Vivant
1826.brewery_name,Schlafly gBrewing Company,Schlafly Brewing Company
1940.brewery_name,South Austin Breweroy,South Austin Brewery
391.city,Grand Raids,Grand Rapids
1086.city,Porland,Portland
392.city,xGrand Rapids,Grand Rapids
390.city,Grand Rsapids,Grand Rapids
135.brewery_name,Armadilelo Ale Works,Armadillo Ale Works
2243.brewery_name,Two Brothers Brewing Cwompany,Two Brothers Brewing Company
1288.brewery_name,Martin Hous Brewing Company,Martin House Brewing Company
393.city,Grad Rapids,Grand Rapids
940.city,Aumrora,Aurora
1411.city,Lakeg Havasu City,Lake Havasu City
1814.state,M,NM
431.brewery_name,Brewery Vivnat,Brewery Vivant
1585.state,OC,CO
1680.state,CS,SC
430.brewery_name,Brewery ivant,Brewery Vivant
2316.city,eadville,Meadville
1343.state,IkL,IL
858.state,ZA,AZ
294.brewery_name,Blue Blood Brewing Copany,Blue Blood Brewing Company
2388.brewery_name,Wiseacre BrewingCompany,Wiseacre Brewing Company
855.state,iAZ,AZ
854.state,ZA,AZ
2247.brewery_name,Two Roads Brewing Cmopany,Two Roads Brewing Company
