Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0022151898734177333
Attribute: lname, MSE: nan, Jaccard: 0.006929133858267766
Attribute: gender, MSE: nan, Jaccard: 0.8575760502206291
Attribute: areacode, MSE: nan, Jaccard: 0.04525758702591964
Attribute: phone, MSE: nan, Jaccard: 0.0007878939469735391
Attribute: city, MSE: nan, Jaccard: 0.013098517693693412
Attribute: state, MSE: nan, Jaccard: 0.5076471906858187
Attribute: zip, MSE: nan, Jaccard: 0.0014710607703740664
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0013990465177124989
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: nan, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.9985116094463187
Attribute: marriedexemp, MSE: nan, Jaccard: 0.9772076978101852
Attribute: childexemp, MSE: nan, Jaccard: 0.9756923076923076
º”»®ªÏ∫œæ‡¿Î: 0.13711854017317554
