249.brewery_name,Big Mudd yBrewing,Big Muddy Brewing
402.city,GrandRapids,Grand Rapids
513.brewery_id,408,155
532.brewery_id,408,192
757.brewery_id,1,81
597.brewery_name,Cideroys,Ciderboys
643.brewery_id,408,482
1715.brewery_name,Revolutiion Brewing,Revolution Brewing
392.city,Grad Rapids,Grand Rapids
365.city,Booulder,Boulder
375.brewery_id,291,219
642.brewery_id,408,482
1521.state,R,OR
1839.city,Wolctt,Wolcott
2390.city,South yon,South Lyon
1234.state,MnS,MS
497.brewery_id,408,5
337.brewery_id,07,107
1550.brewery_id,261,216
394.city,wGrand Rapids,Grand Rapids
2047.state,bIN,IN
498.brewery_id,408,5
2113.brewery_id,54,45
533.brewery_id,408,192
641.brewery_id,408,482
621.city,Tmpa,Tampa
75.city,Louisvile,Louisville
512.brewery_id,408,155
2055.brewery_name,Sun King Brewing Comprany,Sun King Brewing Company
644.brewery_id,408,139
1642.state,eMI,MI
954.brewery_id,***,6
530.brewery_id,408,267
732.state,OC,CO
1082.brewery_name,Hopworks Urban Breweyr,Hopworks Urban Brewery
2224.state,WcA,WA
79.city,Louisveille,Louisville
1971.state,LI,IL
436.brewery_name,Brewery Vivatn,Brewery Vivant
1169.brewery_name,Keweenaw Brewign Company,Keweenaw Brewing Company
1599.city,Breavrd,Brevard
980.state,LF,FL
398.brewery_name,Brwery Vivant,Brewery Vivant
2133.brewery_id,l210,210
40.brewery_name,3 Daughtesr Brewing,3 Daughters Brewing
144.brewery_name,Asdlan Brewing Company,Aslan Brewing Company
560.brewery_id,331***,331
402.brewery_name,Breery Vivant,Brewery Vivant
1187.brewery_name,Kulshan Brewry,Kulshan Brewery
390.city,GrandR apids,Grand Rapids
2303.brewery_name,Utah Brewers Coopertive,Utah Brewers Cooperative
529.brewery_id,408,230
2072.brewery_id,4p55,455
515.brewery_id,408,155
450.brewery_name,Breweryw Vivant,Brewery Vivant
391.brewery_name,Brweery Vivant,Brewery Vivant
534.brewery_id,408,192
2070.state,NI,IN
1716.state,O,CO
1805.state,Z,AZ
975.city,Davenpot,Davenport
286.state,YW,WY
1311.city,Lahana,Lahaina
528.brewery_id,408,230
1136.brewery_id,23,32
1640.state,X,TX
535.brewery_id,408,192
1833.state,RO,OR
514.brewery_id,408,155
401.brewery_name,Brewerpy Vivant,Brewery Vivant
301.state,NrE,NE
1153.brewery_name,Karbach Brxewing Company,Karbach Brewing Company
393.city,Grand Rpids,Grand Rapids
796.city,Chicgao,Chicago
1327.brewery_name,Migami Brewing Company,Miami Brewing Company
573.brewery_name,Cepntennial Beer Company,Centennial Beer Company
1006.state,L,IL
406.city,Grand apids,Grand Rapids
304.city,Licoln,Lincoln
526.city,Glouecster,Gloucester
760.city,White Samon,White Salmon
1669.state,AmZ,AZ
80.city,Louisvilyle,Louisville
1799.state,Z,AZ
1084.brewery_name,Hopwork sUrban Brewery,Hopworks Urban Brewery
536.brewery_id,408,192
11.brewery_id,17x7,177
1417.city,Musatng,Mustang
1233.brewery_name,Lucette Brewing oCmpany,Lucette Brewing Company
399.brewery_name,Brewery iVvant,Brewery Vivant
396.brewery_name,Brewegry Vivant,Brewery Vivant
526.brewery_id,408,230
519.brewery_id,408,178
1988.city,Crolzet,Crozet
1719.brewery_id,38s6,386
637.brewery_id,408,101
