attribute,clean_value,dirty_value,index
sched_dep_time,04:15 PM,04:15 MP,8
sched_dep_time,08:40 AM,empty,80
sched_dep_time,06:59 AM,06:95 AM,117
sched_dep_time,02:55 PM,empty,174
sched_dep_time,06:59 AM,06:u59 AM,215
sched_dep_time,11:08 PM,empty,221
sched_dep_time,08:55 AM,empty,228
sched_dep_time,06:59 AM,06:5 9AM,306
sched_dep_time,02:53 PM,02:3 PM,311
sched_dep_time,04:00 PM,04:00 MP,334
sched_dep_time,09:05 AM,empty,354
sched_dep_time,04:25 PM,empty,401
sched_dep_time,06:59 AM,06:59A M,404
sched_dep_time,07:55 AM,07a:55 AM,422
sched_dep_time,06:59 AM,x06:59 AM,502
sched_dep_time,08:40 AM,empty,565
sched_dep_time,07:15 PM,empty,583
sched_dep_time,06:59 AM,06c:59 AM,603
sched_dep_time,11:15 AM,empty,610
sched_dep_time,06:59 AM,60:59 AM,694
sched_dep_time,06:59 AM,06:59A M,775
sched_dep_time,06:59 AM,06:59 MA,794
sched_dep_time,04:16 PM,04:1i6 PM,864
sched_dep_time,06:59 AM,06:59 AgM,876
sched_dep_time,02:55 PM,02:55 MP,927
sched_dep_time,08:20 PM,08:2 0PM,952
sched_dep_time,06:59 AM,06:59y AM,1040
sched_dep_time,06:45 AM,empty,1067
sched_dep_time,11:05 AM,empty,1098
sched_dep_time,06:59 AM,06:59 M,1135
sched_dep_time,10:39 AM,empty,1233
sched_dep_time,06:59 AM,06:5 9AM,1290
sched_dep_time,02:55 PM,empty,1316
sched_dep_time,04:25 PM,empty,1385
sched_dep_time,06:59 AM,06:5 AM,1388
sched_dep_time,07:35 AM,empty,1392
sched_dep_time,05:25 PM,05:25P M,1444
sched_dep_time,08:20 PM,empty,1474
sched_dep_time,02:30 PM,empty,1523
sched_dep_time,06:59 AM,0:659 AM,1554
sched_dep_time,04:25 PM,04:25PM,1618
sched_dep_time,06:59 AM,06:5j9 AM,1621
sched_dep_time,07:30 AM,07:z30 AM,1647
sched_dep_time,11:25 PM,empty,1667
sched_dep_time,01:33 PM,0133 PM,1704
sched_dep_time,06:59 AM,06:59 M,1709
sched_dep_time,07:53 AM,70:53 AM,1736
sched_dep_time,11:25 PM,11:25 PqM,1769
sched_dep_time,08:40 AM,empty,1788
sched_dep_time,12:00 AM,empty,1795
sched_dep_time,06:59 AM,m06:59 AM,1823
sched_dep_time,04:00 PM,empty,1872
sched_dep_time,11:50 AM,empty,1881
sched_dep_time,06:59 AM,06:5u9 AM,1924
sched_dep_time,10:40 AM,empty,1990
sched_dep_time,04:55 PM,04:5 PM,2001
sched_dep_time,04:55 PM,v04:55 PM,2101
sched_dep_time,07:35 AM,07:53 AM,2120
sched_dep_time,04:55 PM,04:5e5 PM,2206
sched_dep_time,01:30 PM,01:30 MP,2223
sched_dep_time,07:35 AM,07:35AM,2225
sched_dep_time,06:00 AM,06:00 fAM,2253
sched_dep_time,09:15 AM,0:915 AM,2291
sched_dep_time,07:10 AM,07:10v AM,2293
sched_dep_time,04:55 PM,04:5u5 PM,2294
sched_dep_time,02:35 PM,02:3 PM,2309
act_dep_time,11:25 PM,11:25 PhM,6
act_dep_time,07:22 AM,07:22 tAM,117
act_dep_time,11:30 AM,empty,178
act_dep_time,01:31 PM,empty,208
act_dep_time,07:22 AM,07:22AM,215
act_dep_time,03:27 PM,empty,230
act_dep_time,10:19 AM,10:19A M,265
act_dep_time,07:22 AM,07:22 ApM,306
act_dep_time,04:28 PM,04:28p PM,391
act_dep_time,09:00 PM,empty,402
act_dep_time,07:22 AM,07:22 AcM,404
act_dep_time,04:15 PM,04:15p PM,490
act_dep_time,08:25 PM,08:25PM,501
act_dep_time,07:22 AM,07:2 2AM,502
act_dep_time,07:39 AM,0739 AM,529
act_dep_time,07:22 AM,7:22 AM,603
act_dep_time,07:22 AM,07:22 AqM,694
act_dep_time,11:08 PM,empty,700
act_dep_time,07:22 AM,07e:22 AM,775
act_dep_time,07:22 AM,07:2 AM,794
act_dep_time,04:29 PM,empty,795
act_dep_time,05:08 PM,05:0 8PM,862
act_dep_time,08:25 PM,empty,875
act_dep_time,07:22 AM,7:22 AM,876
act_dep_time,03:01 PM,03:h01 PM,880
act_dep_time,11:55 AM,empty,905
act_dep_time,08:04 AM,08:04A M,1015
act_dep_time,02:10 PM,02:1w0 PM,1027
act_dep_time,05:08 PM,0f5:08 PM,1121
act_dep_time,11:01 AM,empty,1127
act_dep_time,04:25 PM,empty,1132
act_dep_time,11:40 AM,empty,1220
act_dep_time,02:04 PM,02:4 PM,1255
act_dep_time,05:08 PM,0508 PM,1275
act_dep_time,05:08 PM,05:0 8PM,1374
act_dep_time,08:42 AM,08:42 tAM,1453
act_dep_time,02:48 PM,empty,1477
act_dep_time,05:56 AM,0:556 AM,1487
act_dep_time,05:08 PM,05:08 rPM,1539
act_dep_time,05:08 PM,05:80 PM,1613
act_dep_time,12:12 PM,12:21 PM,1673
