Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0009121709669013267
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.8903891784409288
Attribute: areacode, MSE: nan, Jaccard: 0.04410868023808723
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.037665748062944426
Attribute: state, MSE: nan, Jaccard: 0.4052785750049508
Attribute: zip, MSE: nan, Jaccard: 0.033035426062735906
Attribute: maritalstatus, MSE: nan, Jaccard: 0.33443271767810023
Attribute: haschild, MSE: nan, Jaccard: 0.3335562987736901
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 2.629536350736706e-34, Jaccard: 0.040000000000000036
Attribute: singleexemp, MSE: nan, Jaccard: 0.6691989305980436
Attribute: marriedexemp, MSE: nan, Jaccard: 0.6556076489325902
Attribute: childexemp, MSE: nan, Jaccard: 0.601404864403543
加权混合距离: 0.12642469497382863
