src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,0,2:30 p.m.,2:48 p.m.,0,7:10 p.m.
airtravelcenter,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,4:47 p.m.
allegiantair,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
?,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
businesstravellogue,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
fnithtzwdre,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
?,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flights,0,2:30 p.m.,2:48 p.m.,7:03 p.m.,7:10 p.m.
?,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
flightview,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flylouisville,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flytecomm,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,0,Alabama
foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
gofox,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
helloflight,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
myrateplan,0,2:30 p.m.,2:48 p.m.,7:03 p.m.,7:10 p.m.
mytripandmore,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
orbitz,0,3:05 p.m.,3:36 p.m.,6:30 p.m.,6:43 p.m.
panynj,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
pirtkciuq,0,2:30 p.m.,2:48 p.m.,7:03 p.m.,7:55 p.m.
wunderground,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
aa,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
allegiantair,AA-1165-JFK-MIΈA,6:59 a.m.,7:22 a.m.,10:34 s.m.,10:04 a.m.
boston,AIM-KFJ-5611-AA,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
businesstravellogue,0,11:45 a.m.,12:13 p.m.,7:03 p.m.,8:06 a.m.
