src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,XHP-AIM-7001-AA,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
wunderground,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
allegiantair,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
boston,0,4:55 p.m.,5:08 p.m.,0,8:53 p.m.
ࠖbusinesstravellogue,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightaware,0,10:40 a.m.,5:08 p.m.,0,7:55 p.m.
flightexplorer,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flights,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
flightstats,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
?,AA-Θ1007-MIA-PHX,4:55 p.m.,nan,0,Alabama
?,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
flytecomm,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
gofox,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,Alabama
helloflight,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
myrateplan,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
orbitz,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,Alabama
?,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
nan,AA-1007-MIA-ΘPHX,4:55 p.m.,20010101,0,12:15 a.m.
wunderground,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
aa,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
airtravelcenter,AIM-KFJ-5611-AA,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
?,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
boston,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
businesstravellogue,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightaware,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
dllggtce'kueds,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
flights,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightstats,AA-1Έ165-JFK-MIA,nan,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightview,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flylouisville,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,7:51 a.m.
foxbusiness,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
gofox,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
helloflight,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
mia,0,0,7:22 a.m.,10:34 a.m.,10:04 a.m.
nan,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,Alabama
mytripandmore,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
orbitz,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
nan,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
quicktrip,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
travelocity,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
weather,AA-1165-MHN-MUA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
world-flig߬ht-tracker,0,6:59 a.m.,7:22 a.m.,11:05 a.m.,Alabama
wunderground,0,6:59 a.m.,7:22 a.m.,10:34 Ɍa.m.,10:04 a.m.
aa,QA-1221-NBO-KXD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
allegiantair,DRO-OCM-1221-AA,8:00 p.m.,8:23 p.m.,0,9:53 p.m.
boston,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
businesstravellogue,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightarrivaկl,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flpfhtdwaee,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightexplorer,AX-1221-KWU-ORF,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flights,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
airtravelcenter,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightview,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,Alabama
flylouisvill֓e,0,8:00 p.m.,8:23 p.m.,0,9:53 p.m.
flytecomm,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
foxbusiness,ZW-1221-OCJ-JVV,nan,8:23 p.m.,0,9:53 p.m.
gofox,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,Alabama
helloflight,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,Alabama
mco,AA-Γ1221-MCO-ORD,8:00 p.m.,8:23 p.m.,0,9:53 p.m.
mycatapoab,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
mytripandmore,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
orbitz,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
ord,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
panynj,0,8:00 p.m.,8:23 p.m.,0,9:53 p.m.
nan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
travelocity,0,7:25 a.m.,7:39 a.m.,11:10 a.m.,Alabama
?,AA-Γ1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:43 a.o.
weather,0,8:00 p.m.,8:23 p.m.,0,9:53 p.m.
world-flight-tracker,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
wunderground,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
aa,XX-1279-DFQ-PJX,1:00 p.m.,2:ȩ04 p.m.,0,3:30 p.m.
airtravelcenter,0,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
allegiantair,0,1:00 p.m.,2:04 p.m.,2:35 p.m.,Alabama
boston,0,1:00 p.m.,2:04 p.m.,0,3:30 p.m.
