src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
travelocity,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
allegiantair,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
boston,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
?,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightaware,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightexplorer,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
sthgilf,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightstats,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightview,0,4:55 p.m.,5:08 p.m.,0,7:55 p.m.
flylouisville,0,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
flytecomm,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
foxbusiness,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
helloflight,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
?,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
orbitz,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
panynj,0,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
quicktrip,0,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
aa,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
gofox,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
nan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
businesstravellogue,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightaware,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
flightexplorer,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flights,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightview,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flylouisville,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightaware,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
gofox,0,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
helloflight,0,6:59 a.m.,7:22 a.m.,0,10:04 a.m.
mia,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
myrateplan,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightview,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
orbitz,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
?,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
travelocity,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
weather,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
world-flight-tracker,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
wunderground,AZ-1165-JYY-ILA,nan,7:22 a.m.,10:34 a.m.,10:04 a.m.
aa,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
allegiantair,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
boston,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
businesstravellogue,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightarrival,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightaware,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightexplorer,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
glibrhv,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flightstats,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
?,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
nan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
flytecomm,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
foxbusiness,0,8:00 p.m.,8:23 p.m.,0,9:53 p.m.
xofog,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
helloflight,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
mco,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
myrateplan,0,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
mytgyiahqnorv,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
orbitz,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
ord,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
panynj,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
quicktrip,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
?,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
usatoday,0,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
weather,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
world-flight-tracker,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
wunderground,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
aa,AA-12έ79-DFW-PHX,1:00 p.m.,2:04 p.m.,0,3:13 p.m.
?,AAέ-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,0,3:13 p.m.
nan,0,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
boston,0,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:30 p.m.
businesstravellogue,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
dfw,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
flightarrival,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
flightaware,0,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
flightexplorer,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
flights,0,7:10 p.m.,8:25 p.m.,8:56 p.m.,3:13 p.m.
xllghtfuxys,0,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
flightview,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
֓flylouisville,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:30 p.m.
?,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
foxbusiness,0,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
gofox,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
helloflight,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
myrateplan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
orbitz,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
panynj,0,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
?,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
traxrlpcicy,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
?,0,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
world-flight-tracker,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 i.k.,3:13 p.m.
wunderground,0,1:00 p.m.,2:04 p.m.,0,3:13 p.m.
aa,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
airtravelcenter,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
allegiantair,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
boston,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
businesstravellogue,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightaware,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightexplorer,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flights,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightstats,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightview,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flightwise,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flylouisville,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
flytecomm,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
foxbusiness,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
gofox,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
fanlkxolghe,0,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
ifly,0,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
mco,0,8:00 a.m.,8:29 a.m.,11:55 a.m.,11:58 a.m.
myrateplan,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
orbitz,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
panynj,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
quicktrip,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
travelocity,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
?,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
world-flight-tracker,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
