916.journal_title,Biolectromagnetics,Bioelectromagnetics
49.journal_issn,1555b-2101,1555-2101
281.journal_title,Neurolongy,Neurology
371.journal_issn,0007-0h912,0007-0912
808.journal_issn,1467-107,1467-1107
80.journal_title,Proc R Soc Med,Transfusion
378.journal_title,PLoS nOe,PLoS One
596.journal_issn,0949-2658 (Print) 0949-658,0949-2658 (Print) 0949-2658
497.journal_issn,987-0-7918-4926-2,978-0-7918-4926-2
286.jounral_abbreviation,NUyLL,NULL
784.journal_issn,1303-521,1303-6521
657.journal_issn,1640-2385,1460-2385
87.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Journal of medical toxicology : official journal of the American College of Medical Toxicology
75.journal_title,Proc R Soc Med,Indian Journal of Pathology and Microbiology
657.journal_title,Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Associatimon - European Renal Association,Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
84.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Actas Urol Esp
863.jounral_abbreviation,NULL***,NULL
487.journal_issn,187-31465,1873-1465
925.journal_title,Enuropean Journal Of Anaesthesiology,European Journal Of Anaesthesiology
468.jounral_abbreviation,NUmLL,NULL
740.journal_title,J Hosp Infetc,J Hosp Infect
114.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
365.journal_title,Joural of Substance Abuse Treatment,Journal of Substance Abuse Treatment
600.jounral_abbreviation,ULL,NULL
991.jounral_abbreviation,The American journal of clinical nfutrition,The American journal of clinical nutrition
396.journal_issn,1469-076,1469-0756
62.journal_issn,060-8923,0960-8923
616.jounral_abbreviation,qNature,Nature
74.journal_title,Proc R Soc Med,Transplantation
931.journal_issn,1872-s8243,1872-8243
797.journal_issn,NUzLL,NULL
243.journal_issn,2044-6505,2044-6055
660.jounral_abbreviation,Curr Dug Targets,Curr Drug Targets
23.journal_issn,1432-86X,1432-086X
588.jounral_abbreviation,zNULL,NULL
18.journal_issn,0035-9157 (Print) 0035-9157,1469-493X
14.journal_issn,0035-9157 (Print) 0035-9157,1547-5271
209.journal_issn,0004-0010 (Print) 0004-0001,0004-0010 (Print) 0004-0010
111.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Cancer Immunol. Immunother.
79.journal_title,Proc R Soc Med,Nepal Medical College journal : NMCJ
594.journal_issn,NUL,NULL
671.jounral_abbreviation,NULL***,NULL
89.jounral_abbreviation,Proceedings of the Royal Society of Medicine,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics
569.journal_issn,NULL***,NULL
659.journal_title,tSroke; a journal of cerebral circulation,Stroke; a journal of cerebral circulation
248.journal_title,evista Brasileira de terapia intensiva,Revista Brasileira de terapia intensiva
16.journal_issn,0035-9157 (Print) 0035-9157,0007-0963
78.journal_title,Proc R Soc Med,Archives De Pediatrie
309.journal_title,Gubt,Gut
113.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
404.journal_issn,ULL,NULL
12.journal_issn,0035-9157 (Print) 0035-9157,1940-5901
801.journal_issn,1640-2105,1460-2105
109.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Curr Opin Pharmacol
423.journal_issn,0306-4g603,0306-4603
519.jounral_abbreviation,NUL,NULL
176.journal_issn,0077-923,0077-8923
109.journal_title,Current opinion in pharmcaology,Current opinion in pharmacology
570.jounral_abbreviation,Int Pesychogeriatr,Int Psychogeriatr
947.journal_title,Journal of Cosnulting and Clinical Psychology,Journal of Consulting and Clinical Psychology
984.journal_issn,Fb-65,Feb-65
556.jounral_abbreviation,Int J Olbes (Lond),Int J Obes (Lond)
493.journal_title,Knee surgerry, sports traumatology, arthroscopy : official journal of the ESSKA,Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA
26.journal_title,Global journal ovf health science,Global journal of health science
418.jounral_abbreviation,NULlL,NULL
897.jounral_abbreviation,Br J Clni Pharmacol,Br J Clin Pharmacol
85.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Einstein (Sao Paulo, Brazil)
702.jounral_abbreviation,Repsirology,Respirology
705.journal_title,BioMed research internatioal,BioMed research international
770.journal_title,PLoSOne,PLoS One
319.journal_title,The British journal of social psychology / the British Psychological Soiety,The British journal of social psychology / the British Psychological Society
980.journal_title,fEndocrinology,Endocrinology
398.journal_issn,126-7598,1526-7598
173.journal_issn,1532-4h281,1532-4281
77.journal_title,Proc R Soc Med,NULL
926.journal_title,Funsctional Neurology,Functional Neurology
