index,attribute,dirty_value,clean_value
116,gender,empty,F
131,gender,empty,M
134,gender,empty,M
149,gender,empty,M
152,gender,empty,M
200,gender,***,M
201,gender,empty,M
216,gender,empty,M
279,gender,empty,M
359,gender,***,F
360,gender,empty,F
407,gender,empty,F
425,gender,empty,F
442,gender,empty,M
444,gender,empty,M
463,gender,empty,M
489,gender,vF,F
514,gender,***,M
568,gender,empty,M
581,gender,empty,M
591,gender,***,M
628,gender,nF,F
649,gender,***,M
655,gender,***,M
678,gender,qF,F
704,gender,***,M
729,gender,empty,F
764,gender,empty,M
833,gender,empty,M
836,gender,***,M
866,gender,empty,M
897,gender,empty,F
1049,gender,empty,F
1072,gender,empty,M
1094,gender,***,M
1131,gender,empty,F
1142,gender,empty,F
1182,gender,aM,M
1236,gender,empty,M
1243,gender,empty,M
1293,gender,vF,F
1319,gender,empty,F
1321,gender,***,F
1337,gender,empty,F
1354,gender,empty,M
1363,gender,empty,F
1364,gender,empty,F
1390,gender,empty,F
1438,gender,empty,F
1498,gender,empty,F
1526,gender,***,F
1532,gender,empty,F
1594,gender,empty,F
1648,gender,empty,M
1705,gender,empty,F
1724,gender,***,M
1774,gender,empty,M
1797,gender,***,F
1828,gender,empty,M
1912,gender,empty,M
1924,gender,empty,M
1932,gender,empty,F
1950,gender,empty,F
1990,gender,empty,M
2015,gender,empty,M
2071,gender,empty,F
2081,gender,***,M
2105,gender,empty,F
2113,gender,empty,F
2127,gender,empty,M
2135,gender,empty,M
2140,gender,iM,M
2263,gender,hM,M
2291,gender,empty,F
2295,gender,empty,F
2296,gender,hF,F
2305,gender,***,F
2331,gender,empty,M
2349,gender,empty,F
2359,gender,***,F
2376,gender,empty,F
2410,gender,empty,M
2413,gender,***,M
2419,gender,empty,F
2454,gender,hM,M
2457,gender,***,M
2532,gender,empty,F
2539,gender,empty,F
2549,gender,tF,F
2554,gender,empty,F
2555,gender,empty,F
2556,gender,empty,F
2587,gender,empty,M
2622,gender,empty,M
2640,gender,empty,M
2676,gender,empty,F
2686,gender,empty,M
2689,gender,empty,M
2724,gender,***,M
2759,gender,***,F
2888,gender,empty,F
2959,gender,yF,F
2961,gender,***,F
2996,gender,***,M
3015,gender,cM,M
3045,gender,vM,M
3049,gender,rM,M
3078,gender,empty,F
3114,gender,empty,M
3158,gender,empty,M
3210,gender,aM,M
3211,gender,empty,M
3248,gender,empty,M
3256,gender,empty,M
3267,gender,***,F
3276,gender,***,F
3292,gender,***,F
3306,gender,***,M
3309,gender,empty,M
3341,gender,lM,M
3345,gender,empty,M
3357,gender,empty,M
3398,gender,empty,M
3425,gender,***,M
3512,gender,empty,M
3519,gender,empty,M
3523,gender,empty,M
3544,gender,qM,M
3562,gender,empty,F
3656,gender,empty,F
3727,gender,***,F
3915,gender,empty,M
3931,gender,empty,M
3941,gender,empty,M
3974,gender,empty,M
3995,gender,empty,M
4000,gender,empty,M
4046,gender,***,M
4071,gender,empty,F
4157,gender,empty,F
4262,gender,empty,F
4385,gender,empty,M
4408,gender,empty,M
4411,gender,empty,M
4444,gender,empty,M
4449,gender,***,M
4457,gender,***,M
4505,gender,empty,M
4522,gender,nF,F
4538,gender,empty,F
4552,gender,empty,M
4571,gender,empty,M
4576,gender,dM,M
4616,gender,empty,F
4629,gender,oM,M
4672,gender,empty,M
4687,gender,empty,M
4690,gender,hF,F
4695,gender,empty,F
4761,gender,gM,M
4817,gender,empty,F
4829,gender,***,F
4832,gender,empty,F
4847,gender,empty,F
4873,gender,empty,M
4888,gender,empty,F
4916,gender,empty,M
4982,gender,empty,M
5024,gender,***,M
5045,gender,***,F
5059,gender,empty,F
5068,gender,empty,F
5074,gender,kF,F
5090,gender,empty,F
5100,gender,tF,F
5140,gender,empty,M
5160,gender,empty,F
5175,gender,***,F
5178,gender,***,F
5207,gender,***,M
5249,gender,empty,F
5260,gender,empty,F
5357,gender,empty,M
5380,gender,empty,F
5401,gender,empty,M
5411,gender,empty,F
5412,gender,empty,F
5447,gender,empty,M
5452,gender,empty,M
5494,gender,***,M
5500,gender,empty,M
5529,gender,empty,F
5549,gender,empty,F
5553,gender,empty,F
5574,gender,empty,M
5594,gender,***,M
5619,gender,empty,F
5635,gender,***,F
5659,gender,bM,M
5674,gender,empty,M
5714,gender,empty,M
5796,gender,empty,F
5799,gender,dF,F
5803,gender,empty,M
5824,gender,empty,M
5871,gender,empty,F
5881,gender,nF,F
5896,gender,vM,M
5930,gender,empty,M
5981,gender,empty,M
6082,gender,***,F
6092,gender,empty,F
6122,gender,***,F
6161,gender,empty,M
6188,gender,empty,F
6198,gender,empty,F
6238,gender,empty,M
6248,gender,***,M
6287,gender,empty,M
6324,gender,empty,M
6378,gender,empty,F
6380,gender,***,F
6401,gender,empty,F
6454,gender,qF,F
6459,gender,empty,F
6460,gender,aF,F
6461,gender,***,F
6462,gender,empty,F
6463,gender,***,F
6464,gender,***,F
6465,gender,***,F
6466,gender,empty,F
6467,gender,oF,F
6492,gender,vF,F
6493,gender,***,F
6494,gender,empty,F
6495,gender,yF,F
6496,gender,***,F
6497,gender,empty,F
6498,gender,***,F
6499,gender,empty,F
6500,gender,empty,F
6501,gender,pF,F
6502,gender,***,F
6503,gender,empty,F
6504,gender,***,F
6505,gender,***,F
6506,gender,eF,F
6507,gender,empty,F
6508,gender,empty,F
6509,gender,nF,F
6510,gender,empty,F
6511,gender,***,F
6512,gender,***,F
6513,gender,***,F
6515,gender,empty,F
6516,gender,iF,F
6517,gender,eF,F
6518,gender,***,F
6519,gender,empty,F
6520,gender,zF,F
6521,gender,***,F
6522,gender,***,F
6523,gender,yF,F
6524,gender,empty,F
6525,gender,***,F
6526,gender,empty,F
6527,gender,jF,F
6528,gender,tF,F
6529,gender,empty,F
6530,gender,empty,F
6545,gender,empty,M
6576,gender,empty,F
6577,gender,***,F
6578,gender,***,F
6579,gender,cF,F
6580,gender,empty,F
6581,gender,***,F
6582,gender,***,F
6583,gender,***,F
6584,gender,pF,F
6585,gender,***,F
6586,gender,empty,F
6587,gender,empty,F
6588,gender,oF,F
6590,gender,pF,F
6591,gender,mF,F
6592,gender,***,F
6593,gender,zF,F
6594,gender,rF,F
6595,gender,empty,F
6596,gender,uF,F
6597,gender,tF,F
6598,gender,***,F
6599,gender,***,F
6600,gender,***,F
6601,gender,empty,F
6602,gender,***,F
6603,gender,rF,F
6627,gender,empty,F
6628,gender,***,F
6629,gender,hF,F
6630,gender,wF,F
6631,gender,***,F
6632,gender,empty,F
6633,gender,***,F
6634,gender,empty,F
6635,gender,empty,F
6636,gender,empty,F
6637,gender,empty,F
6638,gender,gF,F
6639,gender,***,F
6640,gender,***,F
6641,gender,empty,F
6642,gender,empty,F
6643,gender,empty,F
6644,gender,jF,F
6645,gender,wF,F
6646,gender,***,F
6647,gender,***,F
6648,gender,***,F
6649,gender,empty,F
6650,gender,iF,F
6651,gender,lF,F
6652,gender,mF,F
6680,gender,fF,F
6681,gender,***,F
6682,gender,***,F
6683,gender,empty,F
6684,gender,lF,F
6685,gender,***,F
6686,gender,empty,F
6687,gender,wF,F
6688,gender,empty,F
6689,gender,***,F
6690,gender,empty,F
6691,gender,***,F
6692,gender,cF,F
6693,gender,***,F
6694,gender,***,F
6695,gender,empty,F
6696,gender,empty,F
6697,gender,empty,F
6698,gender,empty,F
6699,gender,***,F
6700,gender,empty,F
6701,gender,empty,F
6702,gender,***,F
6703,gender,uF,F
6704,gender,empty,F
6705,gender,qF,F
6706,gender,kF,F
6707,gender,empty,F
6713,gender,empty,M
6724,gender,eF,F
6725,gender,eF,F
6726,gender,empty,F
6727,gender,***,F
6728,gender,empty,F
6729,gender,cF,F
6730,gender,empty,F
6731,gender,xF,F
6732,gender,empty,F
6733,gender,***,F
6751,gender,***,F
6752,gender,oF,F
6753,gender,bF,F
6754,gender,***,F
6755,gender,kF,F
6756,gender,empty,F
6757,gender,vF,F
6758,gender,empty,F
6759,gender,***,F
6760,gender,empty,F
6761,gender,kF,F
6762,gender,empty,F
6763,gender,qF,F
6764,gender,empty,F
6765,gender,empty,F
6766,gender,***,F
6767,gender,rF,F
6804,gender,***,F
6805,gender,***,F
6806,gender,***,F
6807,gender,dF,F
6808,gender,zF,F
6809,gender,empty,F
6810,gender,***,F
6811,gender,empty,F
6812,gender,***,F
6813,gender,empty,F
6814,gender,***,F
6815,gender,empty,F
6816,gender,empty,F
6817,gender,***,F
6818,gender,***,F
6819,gender,***,F
6825,gender,***,M
6842,gender,empty,M
6845,gender,zF,F
6846,gender,empty,F
6847,gender,aF,F
6848,gender,***,F
6849,gender,zF,F
6850,gender,empty,F
6851,gender,***,F
6852,gender,***,F
6853,gender,empty,F
6854,gender,yF,F
6855,gender,uF,F
6856,gender,***,F
6857,gender,***,F
6858,gender,***,F
6859,gender,qF,F
6860,gender,iF,F
6861,gender,qF,F
6862,gender,empty,F
6863,gender,***,F
6864,gender,empty,F
6865,gender,aF,F
6866,gender,empty,F
6883,gender,tM,M
6899,gender,empty,M
6913,gender,zF,F
6914,gender,***,F
6915,gender,empty,F
6916,gender,***,F
6917,gender,***,F
6918,gender,empty,F
6919,gender,***,F
6920,gender,***,F
6921,gender,empty,F
6922,gender,***,F
6923,gender,empty,F
6924,gender,empty,F
6925,gender,***,F
6926,gender,empty,F
6927,gender,empty,F
6928,gender,empty,F
6929,gender,empty,F
6930,gender,empty,F
6931,gender,***,F
6932,gender,***,F
6933,gender,empty,F
6934,gender,empty,F
6935,gender,***,F
6936,gender,empty,F
6937,gender,mF,F
6939,gender,empty,F
6940,gender,jF,F
6941,gender,***,F
6942,gender,***,F
6943,gender,jF,F
6944,gender,empty,F
6945,gender,empty,F
6946,gender,lF,F
6947,gender,empty,F
6948,gender,empty,F
6949,gender,empty,F
6950,gender,***,F
6951,gender,empty,F
6952,gender,yF,F
6953,gender,***,F
6954,gender,pF,F
6955,gender,vF,F
6991,gender,empty,M
6993,gender,empty,F
6994,gender,zF,F
6995,gender,***,F
6996,gender,rF,F
6997,gender,qF,F
6998,gender,rF,F
6999,gender,empty,F
7000,gender,***,F
7001,gender,***,F
7002,gender,***,F
7003,gender,xF,F
7004,gender,***,F
7005,gender,empty,F
7006,gender,empty,F
7007,gender,empty,F
7008,gender,pF,F
7009,gender,dF,F
7010,gender,***,F
7011,gender,empty,F
7012,gender,dF,F
7013,gender,empty,F
7014,gender,empty,F
7038,gender,empty,F
7039,gender,***,F
7040,gender,empty,F
7041,gender,zF,F
7042,gender,gF,F
7043,gender,empty,F
7044,gender,empty,F
7045,gender,***,F
7046,gender,wF,F
7047,gender,empty,F
7048,gender,empty,F
7049,gender,***,F
7050,gender,oF,F
7051,gender,nF,F
7052,gender,empty,F
7053,gender,empty,F
7054,gender,yF,F
7055,gender,sF,F
7056,gender,mF,F
7057,gender,***,F
7058,gender,empty,F
7059,gender,***,F
7060,gender,***,F
7079,gender,empty,M
7098,gender,***,M
7112,gender,***,F
7113,gender,***,F
7114,gender,kF,F
7115,gender,empty,F
7116,gender,***,F
7117,gender,kF,F
7118,gender,***,F
7119,gender,fF,F
7120,gender,empty,F
7121,gender,empty,F
7122,gender,***,F
7123,gender,empty,F
7124,gender,oF,F
7125,gender,uF,F
7126,gender,uF,F
7127,gender,rF,F
7128,gender,empty,F
7131,gender,empty,M
7145,gender,empty,M
7155,gender,***,F
7156,gender,empty,F
7157,gender,***,F
7158,gender,***,F
7159,gender,empty,F
7160,gender,empty,F
7161,gender,yF,F
7162,gender,wF,F
7163,gender,***,F
7164,gender,empty,F
7165,gender,empty,F
7166,gender,***,F
7167,gender,empty,F
7168,gender,***,F
7169,gender,empty,F
7170,gender,empty,F
7171,gender,***,F
7172,gender,***,F
7173,gender,empty,F
7174,gender,empty,F
7175,gender,***,F
7176,gender,gF,F
7177,gender,kF,F
