index,attribute,dirty_value,clean_value
23,gender,empty,F
129,gender,empty,M
151,gender,empty,M
154,gender,***,M
201,gender,empty,M
284,gender,empty,M
293,gender,***,M
326,gender,***,F
356,gender,empty,F
378,gender,empty,F
468,gender,empty,M
485,gender,empty,F
502,gender,empty,M
578,gender,***,M
695,gender,vM,M
726,gender,empty,F
882,gender,empty,M
954,gender,empty,F
1028,gender,***,F
1035,gender,empty,F
1066,gender,empty,M
1124,gender,empty,F
1173,gender,empty,M
1181,gender,***,M
1227,gender,***,F
1252,gender,empty,M
1384,gender,empty,F
1415,gender,empty,F
1578,gender,***,F
1599,gender,***,F
1650,gender,empty,M
1705,gender,empty,F
1706,gender,empty,F
1770,gender,oM,M
1813,gender,empty,F
1876,gender,***,M
1936,gender,hF,F
2109,gender,dF,F
2151,gender,***,M
2166,gender,empty,M
2192,gender,empty,M
2291,gender,***,F
2340,gender,empty,F
2442,gender,***,M
2457,gender,***,M
2460,gender,empty,M
2487,gender,***,M
2493,gender,empty,M
2507,gender,empty,M
2675,gender,empty,F
2699,gender,empty,F
2818,gender,empty,M
2939,gender,empty,M
3077,gender,cF,F
3115,gender,empty,M
3118,gender,empty,M
3193,gender,empty,M
3223,gender,empty,F
3314,gender,***,M
3354,gender,empty,M
3367,gender,empty,M
3401,gender,empty,M
3435,gender,empty,M
3436,gender,***,M
3442,gender,empty,M
3446,gender,empty,M
3461,gender,***,F
3500,gender,empty,F
3517,gender,empty,M
3600,gender,empty,F
3661,gender,pF,F
3786,gender,empty,M
3855,gender,empty,F
3873,gender,***,M
3912,gender,empty,M
3952,gender,fM,M
3961,gender,empty,M
4057,gender,empty,M
4132,gender,empty,M
4139,gender,empty,M
4335,gender,empty,F
4398,gender,empty,M
4408,gender,empty,M
4424,gender,empty,F
4456,gender,empty,M
4514,gender,***,F
4521,gender,empty,F
4539,gender,empty,F
4543,gender,yM,M
4570,gender,empty,M
4574,gender,empty,M
4828,gender,eF,F
4858,gender,cF,F
4888,gender,***,F
4934,gender,empty,M
4948,gender,empty,F
5036,gender,***,F
5058,gender,empty,F
5059,gender,rF,F
5250,gender,empty,F
5260,gender,***,F
5287,gender,gM,M
5302,gender,empty,M
5312,gender,empty,M
5449,gender,xM,M
5495,gender,empty,M
5591,gender,empty,M
5625,gender,eF,F
5626,gender,empty,F
5627,gender,***,F
5628,gender,***,F
5629,gender,jF,F
5630,gender,***,F
5631,gender,empty,F
5632,gender,***,F
5633,gender,bF,F
5634,gender,***,F
5635,gender,pF,F
5636,gender,qF,F
5637,gender,***,F
5638,gender,zF,F
5639,gender,aF,F
5640,gender,***,F
5641,gender,empty,F
5642,gender,empty,F
5643,gender,wF,F
5644,gender,***,F
5645,gender,hF,F
5646,gender,cF,F
5676,gender,gF,F
5677,gender,empty,F
5678,gender,empty,F
5679,gender,***,F
5680,gender,empty,F
5681,gender,kF,F
5682,gender,yF,F
5683,gender,***,F
5684,gender,***,F
5685,gender,nF,F
5686,gender,***,F
5687,gender,uF,F
5688,gender,***,F
5689,gender,***,F
5690,gender,sF,F
5691,gender,fF,F
5692,gender,empty,F
5693,gender,***,F
5694,gender,empty,F
5695,gender,empty,F
5761,gender,***,F
5762,gender,***,F
5763,gender,hF,F
5764,gender,yF,F
5765,gender,empty,F
5766,gender,jF,F
5767,gender,empty,F
5768,gender,***,F
5769,gender,tF,F
5770,gender,bF,F
5771,gender,***,F
5772,gender,fF,F
5773,gender,xF,F
5774,gender,***,F
5775,gender,sF,F
5776,gender,oF,F
5777,gender,empty,F
5778,gender,***,F
5779,gender,empty,F
5780,gender,empty,F
5781,gender,empty,F
5783,gender,empty,F
5784,gender,***,F
5785,gender,empty,F
5786,gender,***,F
5787,gender,iF,F
5788,gender,empty,F
5789,gender,empty,F
5790,gender,empty,F
5791,gender,***,F
5792,gender,***,F
5793,gender,empty,F
5794,gender,vF,F
5795,gender,sF,F
5796,gender,empty,F
5797,gender,dF,F
5798,gender,***,F
5799,gender,***,F
5800,gender,***,F
5801,gender,***,F
5807,gender,***,M
5824,gender,empty,M
5867,gender,empty,F
5868,gender,empty,F
5869,gender,***,F
5870,gender,empty,F
5871,gender,empty,F
5872,gender,empty,F
5873,gender,***,F
5874,gender,rF,F
5875,gender,empty,F
5876,gender,empty,F
5877,gender,aF,F
5878,gender,empty,F
5879,gender,vF,F
5880,gender,***,F
5881,gender,***,F
5882,gender,empty,F
5883,gender,***,F
5884,gender,empty,F
5885,gender,***,F
5886,gender,empty,F
5887,gender,***,F
5888,gender,***,F
5889,gender,***,M
5909,gender,empty,F
5910,gender,***,F
5911,gender,***,F
5912,gender,***,F
5913,gender,***,F
5914,gender,***,F
5915,gender,***,F
5916,gender,***,F
5917,gender,***,F
5918,gender,vF,F
5919,gender,empty,F
5920,gender,empty,F
5942,gender,empty,M
5980,gender,***,M
5984,gender,empty,F
5985,gender,empty,F
5986,gender,empty,F
5987,gender,wF,F
5988,gender,***,F
5989,gender,***,F
5990,gender,mF,F
5991,gender,empty,F
5992,gender,uF,F
5993,gender,tF,F
5994,gender,empty,F
5995,gender,lF,F
5996,gender,***,F
5997,gender,aF,F
5998,gender,tF,F
5999,gender,pF,F
6000,gender,empty,F
6001,gender,empty,F
6002,gender,oF,F
6003,gender,***,F
6004,gender,empty,F
6005,gender,***,F
6006,gender,***,F
6007,gender,***,F
6050,gender,empty,F
6051,gender,empty,F
6052,gender,***,F
6053,gender,jF,F
6054,gender,jF,F
6055,gender,lF,F
6056,gender,empty,F
6057,gender,jF,F
6058,gender,empty,F
6059,gender,empty,F
6060,gender,***,F
6061,gender,pF,F
6062,gender,***,F
6063,gender,tF,F
6064,gender,empty,F
6065,gender,***,F
6067,gender,yF,F
6068,gender,xF,F
6069,gender,lF,F
6070,gender,yF,F
6071,gender,qF,F
6072,gender,***,F
6073,gender,empty,F
6074,gender,***,F
6075,gender,empty,F
6076,gender,jF,F
6077,gender,tF,F
6078,gender,sF,F
6079,gender,aF,F
6080,gender,***,F
6081,gender,sF,F
6082,gender,empty,F
6083,gender,empty,F
6084,gender,***,F
6085,gender,kF,F
6086,gender,empty,F
6087,gender,empty,F
6089,gender,dF,F
6090,gender,empty,F
6091,gender,empty,F
6092,gender,***,F
6093,gender,empty,F
6094,gender,***,F
6095,gender,mF,F
6097,gender,sF,F
6098,gender,***,F
6099,gender,pF,F
6100,gender,empty,F
6101,gender,iF,F
6102,gender,qF,F
6103,gender,empty,F
6104,gender,empty,F
6105,gender,empty,F
6106,gender,***,F
6107,gender,zF,F
6108,gender,***,F
6109,gender,***,F
