index,attribute,dirty_value,clean_value
20,surname,Rayne,Kolvik
32,surname,Obermaier,Guoxing
83,surname,Rayne,Bouabdallah
97,surname,Milicia,McCain
98,surname,Waldherr,Kolvik
102,surname,Waldherr,Weener
107,surname,Waldherr,Kolvik
109,surname,Milicia,Kusakabe
118,surname,Obermaier,Rudstrom
119,surname,Haining,Preas
129,surname,Waldherr,Broch
150,surname,Milicia,Blix
178,surname,Rayne,Gull
189,surname,Rayne,Gull
192,surname,Rayne,Leifker
215,surname,Haining,Wolin
222,surname,Obermaier,Rudstrom
225,surname,Waldherr,Dighe
229,surname,Waldherr,Clemm
232,surname,Haining,Wolin
237,surname,Milicia,McCain
242,surname,Milicia,Bollman
249,surname,Waldherr,Broch
269,surname,Waldherr,Dighe
282,surname,Milicia,Ruocco
283,surname,Obermaier,Guoxing
296,surname,Obermaier,Cippico
297,surname,Milicia,Kusakabe
300,surname,Obermaier,Togni
313,surname,Rayne,Gull
315,surname,Milicia,Babb
339,surname,Rayne,Waldherr
355,surname,Waldherr,Kolvik
360,surname,Rayne,Devroye
377,surname,Milicia,Babb
378,surname,Milicia,Bollman
380,surname,Waldherr,Konikowska
389,surname,Rayne,Waldherr
414,surname,Obermaier,Rudstrom
419,surname,Milicia,Blix
423,surname,Waldherr,Kolvik
424,surname,Waldherr,Broch
425,surname,Obermaier,Rudstrom
435,surname,Haining,Hooghiemstra
442,surname,Obermaier,Togni
460,surname,Rayne,Devroye
464,surname,Waldherr,Dighe
467,surname,Waldherr,Gubitoso
492,surname,Waldherr,Gubitoso
517,surname,Haining,Prenel
528,surname,Milicia,Kakuta
538,surname,Obermaier,Bertsekas
544,surname,Milicia,Batz
552,surname,Milicia,Guyton
570,surname,Waldherr,Clemm
589,surname,Rayne,Waldherr
599,surname,Waldherr,Broch
600,surname,Rayne,Waldherr
636,surname,Rayne,Senator
638,surname,Rayne,Leifker
653,surname,Milicia,Blix
660,surname,Rayne,Leifker
663,surname,Rayne,Gull
673,surname,Waldherr,Clemm
682,surname,Obermaier,Guoxing
683,surname,Rayne,Waldherr
686,surname,Rayne,Gull
687,surname,Rayne,Remp
700,surname,Milicia,Kakuta
702,surname,Waldherr,Dighe
731,surname,Obermaier,Togni
740,surname,Rayne,Obermaier
746,surname,Milicia,Coppola
747,surname,Milicia,Coppola
749,surname,Milicia,McCain
785,surname,Rayne,Remp
794,surname,Waldherr,Weener
796,surname,Haining,Prenel
803,surname,Milicia,Batz
808,surname,Waldherr,Clemm
809,surname,Rayne,Waldherr
838,surname,Waldherr,Broch
850,surname,Milicia,Babb
858,surname,Waldherr,Clemm
860,surname,Haining,Prenel
896,surname,Waldherr,Andraka
915,surname,Rayne,Bouabdallah
924,surname,Milicia,Noltemeier
936,surname,Haining,Yang
940,surname,Rayne,Obermaier
955,surname,Rayne,Bouabdallah
982,surname,Obermaier,Bertsekas
985,surname,Rayne,Gull
988,surname,Rayne,Leifker
993,surname,Rayne,Leifker
994,surname,Waldherr,Dighe
1016,surname,Milicia,McCain
1031,surname,Rayne,Gull
1035,surname,Haining,Yang
1040,surname,Obermaier,Guoxing
1048,surname,Waldherr,Kolvik
1057,surname,Milicia,Noltemeier
1058,surname,Rayne,Bouabdallah
1063,surname,Milicia,Guyton
1070,surname,Haining,Yang
1077,surname,Obermaier,Cippico
1083,surname,Rayne,Waldherr
1089,surname,Waldherr,Broch
1090,surname,Waldherr,Dighe
1118,surname,Waldherr,Broch
1128,surname,Obermaier,Togni
1141,surname,Obermaier,Rudstrom
1155,surname,Rayne,Remp
1156,surname,Rayne,Remp
1163,surname,Haining,Wolin
1183,surname,Rayne,Gull
1197,surname,Waldherr,Konikowska
1203,surname,Waldherr,Gubitoso
1206,surname,Milicia,Bollman
1219,surname,Haining,Wolin
1241,surname,Waldherr,Gubitoso
1243,surname,Milicia,Blix
1245,surname,Waldherr,Weener
1246,surname,Haining,Prenel
1259,surname,Rayne,Devroye
1262,surname,Rayne,Devroye
1293,surname,Milicia,Coppola
1298,surname,Rayne,Waldherr
1301,surname,Waldherr,Clemm
1312,surname,Haining,Prenel
1321,surname,Milicia,Ruocco
1344,surname,Milicia,Batz
1372,surname,Waldherr,Broch
1374,surname,Milicia,McCain
1375,surname,Milicia,Guyton
1378,surname,Waldherr,Dighe
1388,surname,Obermaier,Rudstrom
1409,surname,Rayne,Bouabdallah
1421,surname,Waldherr,Weener
1428,surname,Waldherr,Gubitoso
1469,surname,Obermaier,Cippico
1536,surname,Obermaier,Cippico
1539,surname,Waldherr,Weener
1544,surname,Waldherr,Broch
1548,surname,Waldherr,Weener
1550,surname,Rayne,Waldherr
1559,surname,Milicia,Ruocco
1589,surname,Haining,Prenel
1603,surname,Rayne,Remp
1607,surname,Rayne,Gull
1612,surname,Milicia,McCain
1635,surname,Obermaier,Guoxing
1649,surname,Waldherr,Clemm
1670,surname,Rayne,Remp
1690,surname,Milicia,Guyton
1693,surname,Rayne,Waldherr
1694,surname,Waldherr,Clemm
1702,surname,Milicia,McCain
1707,surname,Haining,Yang
1718,surname,Rayne,Gull
1720,surname,Rayne,Gull
1721,surname,Haining,Prenel
1732,surname,Milicia,Babb
1737,surname,Milicia,Babb
1743,surname,Rayne,Remp
1760,surname,Obermaier,Togni
1785,surname,Milicia,Babb
1797,surname,Waldherr,Broch
1805,surname,Rayne,Devroye
1826,surname,Haining,Preas
1830,surname,Haining,Wolin
1853,surname,Milicia,Guyton
1862,surname,Milicia,Kakuta
1870,surname,Milicia,Kakuta
1871,surname,Waldherr,Dighe
1882,surname,Rayne,Obermaier
1910,surname,Obermaier,Togni
1917,surname,Rayne,Remp
1942,surname,Rayne,Senator
1951,surname,Waldherr,Clemm
1974,surname,Milicia,Coppola
1976,surname,Milicia,Babb
1987,surname,Waldherr,Andraka
1988,surname,Waldherr,Dighe
1999,surname,Obermaier,Togni
2010,surname,Rayne,Leifker
2020,surname,Milicia,Coppola
2028,surname,Rayne,Devroye
2045,surname,Milicia,Ruocco
2055,surname,Rayne,Gull
2077,surname,Rayne,Gull
2105,surname,Milicia,McCain
2114,surname,Milicia,Kakuta
2115,surname,Milicia,Ruocco
2132,surname,Haining,Prenel
2137,surname,Rayne,Obermaier
2146,surname,Obermaier,Rudstrom
2162,surname,Waldherr,Andraka
2167,surname,Haining,Prenel
2179,surname,Waldherr,Kolvik
2213,surname,Obermaier,Cippico
2223,surname,Obermaier,Guoxing
2250,surname,Milicia,McCain
2255,surname,Milicia,Blix
2265,surname,Rayne,Senator
2280,surname,Haining,Preas
2288,surname,Haining,Wolin
2297,surname,Milicia,McCain
2351,surname,Milicia,Coppola
2355,surname,Rayne,Gull
2372,surname,Waldherr,Dighe
2391,surname,Rayne,Senator
2396,surname,Rayne,Senator
2426,surname,Milicia,Blix
2428,surname,Rayne,Obermaier
2429,surname,Milicia,Babb
2439,surname,Obermaier,Rudstrom
2444,surname,Milicia,Kakuta
2462,surname,Haining,Prenel
2478,surname,Waldherr,Weener
2496,surname,Milicia,Babb
2502,surname,Milicia,Kusakabe
2514,surname,Milicia,Bollman
2539,surname,Haining,Hooghiemstra
2547,surname,Waldherr,Broch
2550,surname,Waldherr,Dighe
2561,surname,Milicia,Coppola
2566,surname,Obermaier,Guoxing
2567,surname,Milicia,Babb
2570,surname,Milicia,Babb
2573,surname,Haining,Preas
2597,surname,Waldherr,Andraka
2613,surname,Rayne,Gull
2626,surname,Haining,Prenel
2651,surname,Milicia,Guyton
2662,surname,Haining,Wolin
2668,surname,Milicia,Kusakabe
2671,surname,Haining,Prenel
2680,surname,Milicia,Batz
2699,surname,Milicia,Bollman
2710,surname,Milicia,Kusakabe
2719,surname,Obermaier,Togni
2724,surname,Waldherr,Andraka
2757,surname,Milicia,Kusakabe
2763,surname,Waldherr,Andraka
2764,surname,Milicia,Coppola
2771,surname,Milicia,Bollman
2781,surname,Milicia,Kusakabe
2813,surname,Obermaier,Bertsekas
2816,surname,Obermaier,Rudstrom
2848,surname,Waldherr,Weener
2859,surname,Obermaier,Rudstrom
2862,surname,Milicia,Kakuta
2867,surname,Rayne,Gull
2871,surname,Milicia,Ruocco
2891,surname,Waldherr,Weener
2898,surname,Milicia,Ruocco
2911,surname,Rayne,Devroye
2922,surname,Waldherr,Konikowska
2925,surname,Waldherr,Dighe
2933,surname,Obermaier,Togni
2946,surname,Waldherr,Clemm
2951,surname,Rayne,Devroye
2966,surname,Haining,Preas
2970,surname,Milicia,Blix
2976,surname,Rayne,Remp
2983,surname,Obermaier,Togni
3017,surname,Waldherr,Kolvik
3018,surname,Haining,Wolin
3022,surname,Obermaier,Cippico
3039,surname,Haining,Prenel
3052,surname,Rayne,Senator
3058,surname,Waldherr,Konikowska
3066,surname,Rayne,Senator
3078,surname,Milicia,Blix
3094,surname,Milicia,Kakuta
3103,surname,Milicia,Babb
3106,surname,Obermaier,Bertsekas
3125,surname,Waldherr,Andraka
3133,surname,Waldherr,Dighe
3138,surname,Rayne,Gull
3154,surname,Milicia,Coppola
3164,surname,Haining,Yang
3177,surname,Haining,Yang
3183,surname,Obermaier,Guoxing
3185,surname,Waldherr,Gubitoso
