index,attribute,dirty_value,clean_value
32,gender,empty,M
86,gender,aM,M
108,gender,***,F
131,gender,empty,M
138,gender,empty,M
161,gender,empty,M
266,gender,empty,M
311,gender,empty,M
329,gender,empty,F
347,gender,empty,F
361,gender,empty,F
373,gender,empty,F
470,gender,empty,M
529,gender,vF,F
533,gender,***,F
550,gender,empty,F
556,gender,zF,F
559,gender,***,M
592,gender,***,M
601,gender,empty,M
614,gender,yF,F
630,gender,empty,F
653,gender,empty,M
661,gender,empty,M
723,gender,empty,F
741,gender,***,F
743,gender,empty,F
778,gender,empty,M
823,gender,empty,M
843,gender,empty,M
881,gender,empty,M
883,gender,empty,M
916,gender,empty,F
1086,gender,empty,M
1101,gender,empty,M
1141,gender,wF,F
1145,gender,empty,F
1159,gender,empty,F
1168,gender,empty,M
1176,gender,mM,M
1181,gender,empty,M
1367,gender,bF,F
1368,gender,***,F
1369,gender,qF,F
1370,gender,empty,F
1371,gender,empty,F
1372,gender,gF,F
1373,gender,***,F
1374,gender,empty,F
1375,gender,empty,F
1376,gender,empty,F
1377,gender,tF,F
1378,gender,pF,F
1379,gender,oF,F
1380,gender,empty,F
1381,gender,empty,F
1382,gender,mF,F
1384,gender,***,F
1385,gender,dF,F
1386,gender,***,F
1387,gender,kF,F
1388,gender,sF,F
1389,gender,fF,F
1390,gender,hF,F
1391,gender,empty,F
1392,gender,***,F
1393,gender,***,F
1394,gender,empty,F
1395,gender,empty,F
1396,gender,dF,F
1397,gender,eF,F
1398,gender,xF,F
1399,gender,***,F
1400,gender,oF,F
1402,gender,yF,F
1403,gender,***,F
1404,gender,***,F
1405,gender,empty,F
1406,gender,empty,F
1407,gender,kF,F
1408,gender,***,F
1409,gender,empty,F
1410,gender,empty,F
1411,gender,empty,F
1412,gender,***,F
1413,gender,eF,F
1414,gender,***,F
1415,gender,empty,F
1416,gender,***,F
1417,gender,***,F
1418,gender,empty,F
1420,gender,rF,F
1421,gender,empty,F
1422,gender,empty,F
1423,gender,gF,F
1424,gender,empty,F
1425,gender,empty,F
1426,gender,iF,F
1427,gender,nF,F
1428,gender,empty,F
1429,gender,empty,F
1430,gender,nF,F
1431,gender,***,F
1432,gender,empty,F
1434,gender,zF,F
1435,gender,***,F
1436,gender,iF,F
1437,gender,iF,F
1438,gender,***,F
1439,gender,***,F
1440,gender,***,F
1441,gender,***,F
1442,gender,empty,F
1443,gender,***,F
1444,gender,vF,F
1445,gender,pF,F
1446,gender,hF,F
1447,gender,lF,F
1448,gender,pF,F
1449,gender,empty,F
1450,gender,***,F
1451,gender,lF,F
1452,gender,***,F
1453,gender,tF,F
1454,gender,bF,F
1455,gender,***,F
1456,gender,***,F
1457,gender,empty,F
1458,gender,xF,F
1459,gender,***,F
1460,gender,***,F
1461,gender,***,F
1466,gender,empty,M
1467,gender,empty,M
1468,gender,eM,M
1485,gender,***,F
1486,gender,***,F
1487,gender,empty,F
1488,gender,cF,F
1489,gender,dF,F
1490,gender,empty,F
1491,gender,empty,F
1492,gender,empty,F
1493,gender,zF,F
1494,gender,***,F
1495,gender,qF,F
1496,gender,cF,F
1497,gender,***,F
1498,gender,nF,F
1499,gender,mF,F
1500,gender,***,F
1501,gender,***,F
1502,gender,xF,F
1503,gender,qF,F
1504,gender,dF,F
1505,gender,lF,F
1506,gender,empty,F
1508,gender,***,F
1509,gender,empty,F
1510,gender,kF,F
1511,gender,qF,F
1512,gender,***,F
1513,gender,bF,F
1514,gender,***,F
1515,gender,***,F
1516,gender,***,F
1517,gender,mF,F
1518,gender,empty,F
1519,gender,***,F
1520,gender,empty,F
1521,gender,empty,F
1522,gender,***,F
1523,gender,empty,F
1524,gender,tF,F
1525,gender,***,F
1526,gender,nF,F
1527,gender,***,F
1528,gender,***,F
1529,gender,jF,F
1530,gender,empty,F
1531,gender,empty,F
1532,gender,empty,F
1554,gender,empty,F
1555,gender,eF,F
1556,gender,empty,F
1557,gender,kF,F
1558,gender,pF,F
1559,gender,empty,F
1560,gender,fF,F
1561,gender,***,F
1562,gender,empty,F
1563,gender,wF,F
1564,gender,***,F
1565,gender,sF,F
1566,gender,***,F
1567,gender,empty,F
1568,gender,fF,F
1569,gender,***,F
1570,gender,empty,F
1571,gender,***,F
1572,gender,***,F
1573,gender,eF,F
1575,gender,jF,F
1576,gender,eF,F
1577,gender,iF,F
1578,gender,***,F
1579,gender,empty,F
1580,gender,iF,F
1581,gender,mF,F
1582,gender,mF,F
1583,gender,***,F
1584,gender,aF,F
1585,gender,empty,F
1586,gender,rF,F
1587,gender,***,F
1588,gender,empty,F
1589,gender,xF,F
1590,gender,***,F
1591,gender,empty,F
1593,gender,empty,F
1594,gender,***,F
1595,gender,empty,F
1596,gender,empty,F
1597,gender,empty,F
1598,gender,***,F
1599,gender,empty,F
1600,gender,cF,F
1601,gender,empty,F
1602,gender,eF,F
1603,gender,***,F
1604,gender,iF,F
1605,gender,eF,F
1606,gender,***,F
1607,gender,empty,F
1608,gender,dF,F
1609,gender,***,F
1610,gender,cF,F
1611,gender,***,F
1632,gender,eF,F
1633,gender,***,F
1634,gender,empty,F
1635,gender,gF,F
1636,gender,empty,F
1637,gender,hF,F
1638,gender,qF,F
1639,gender,***,F
1640,gender,empty,F
1641,gender,empty,F
1642,gender,***,F
1643,gender,empty,F
1644,gender,***,F
1650,gender,iM,M
1672,gender,empty,M
1686,gender,nM,M
1690,gender,empty,F
1691,gender,***,F
1692,gender,empty,F
1693,gender,empty,F
1694,gender,empty,F
1695,gender,empty,F
1696,gender,fF,F
1697,gender,uF,F
1698,gender,vF,F
1699,gender,***,F
1700,gender,***,F
1701,gender,lF,F
1702,gender,fF,F
1703,gender,empty,F
1704,gender,empty,F
1705,gender,hF,F
1706,gender,empty,F
1707,gender,***,F
1708,gender,***,F
1709,gender,***,F
1710,gender,uF,F
1711,gender,empty,F
1725,gender,***,M
1753,gender,empty,M
1772,gender,oM,M
1785,gender,empty,F
1786,gender,***,F
1787,gender,***,F
1788,gender,***,F
1789,gender,qF,F
1790,gender,yF,F
1791,gender,gF,F
1792,gender,fF,F
1793,gender,empty,F
1794,gender,wF,F
1795,gender,***,F
1796,gender,lF,F
1797,gender,***,F
1798,gender,empty,F
1799,gender,kF,F
1800,gender,empty,F
1801,gender,vF,F
1802,gender,empty,F
1803,gender,empty,F
1804,gender,empty,F
1805,gender,***,F
1806,gender,oF,F
1807,gender,empty,F
1808,gender,iF,F
1809,gender,uF,F
1810,gender,empty,F
1811,gender,***,F
1812,gender,empty,F
1813,gender,***,F
1814,gender,zF,F
1815,gender,empty,F
1825,gender,jM,M
1886,gender,***,F
1887,gender,empty,F
1888,gender,empty,F
1889,gender,gF,F
1890,gender,empty,F
1891,gender,empty,F
1892,gender,***,F
1893,gender,empty,F
1894,gender,mF,F
1895,gender,qF,F
1896,gender,***,F
1897,gender,empty,F
1898,gender,***,F
1919,gender,empty,M
1926,gender,fF,F
1927,gender,***,F
1928,gender,empty,F
1929,gender,***,F
1930,gender,aF,F
1931,gender,fF,F
1932,gender,***,F
1933,gender,empty,F
1934,gender,empty,F
1935,gender,empty,F
1936,gender,pF,F
1937,gender,empty,F
1938,gender,***,F
1939,gender,xF,F
1940,gender,dF,F
1941,gender,aF,F
1943,gender,empty,F
1944,gender,empty,F
1945,gender,kF,F
1946,gender,***,F
1947,gender,***,F
1948,gender,xF,F
1949,gender,empty,F
1950,gender,***,F
1951,gender,cF,F
1952,gender,empty,F
1953,gender,empty,F
1954,gender,empty,F
1955,gender,empty,F
1956,gender,***,F
1957,gender,***,F
1958,gender,***,F
1959,gender,uF,F
1960,gender,oF,F
1961,gender,zF,F
1962,gender,***,F
1963,gender,***,F
1964,gender,vF,F
1965,gender,fF,F
1966,gender,yF,F
1967,gender,yF,F
1986,gender,empty,M
2000,gender,***,M
2019,gender,***,F
2020,gender,***,F
2021,gender,uF,F
2022,gender,empty,F
2023,gender,tF,F
2024,gender,***,F
2025,gender,nF,F
2026,gender,empty,F
2027,gender,***,F
2028,gender,empty,F
2029,gender,bF,F
2030,gender,empty,F
2031,gender,***,F
2032,gender,dF,F
2033,gender,empty,F
2035,gender,uF,F
2036,gender,xF,F
2037,gender,empty,F
2038,gender,qF,F
2039,gender,vF,F
2040,gender,***,F
2041,gender,empty,F
2042,gender,uF,F
2043,gender,empty,F
2044,gender,***,F
2045,gender,***,F
2046,gender,***,F
2047,gender,tF,F
2048,gender,aF,F
2049,gender,empty,F
2051,gender,empty,F
2052,gender,***,F
2053,gender,***,F
2054,gender,yF,F
2055,gender,cF,F
2056,gender,***,F
2057,gender,***,F
2058,gender,empty,F
2059,gender,***,F
2060,gender,oF,F
2061,gender,***,F
2062,gender,***,F
2063,gender,***,F
2064,gender,lF,F
2065,gender,nF,F
2066,gender,empty,F
2067,gender,empty,F
2068,gender,empty,F
2069,gender,jF,F
2070,gender,***,F
2071,gender,empty,F
2090,gender,***,F
2091,gender,empty,F
2092,gender,empty,F
2093,gender,aF,F
2094,gender,***,F
2095,gender,yF,F
2096,gender,***,F
2097,gender,mF,F
2098,gender,***,F
2099,gender,***,F
2101,gender,xF,F
2102,gender,empty,F
2103,gender,empty,F
2104,gender,empty,F
2105,gender,tF,F
2106,gender,empty,F
2107,gender,***,F
2108,gender,jF,F
2109,gender,***,F
2110,gender,***,F
2111,gender,empty,F
2112,gender,bF,F
2113,gender,jF,F
2114,gender,empty,F
2115,gender,empty,F
2116,gender,***,F
2117,gender,***,F
2118,gender,***,F
2119,gender,empty,F
2120,gender,empty,F
2121,gender,empty,F
2122,gender,empty,F
2123,gender,empty,F
2124,gender,empty,M
2175,gender,yF,F
2176,gender,xF,F
2177,gender,gF,F
2178,gender,empty,F
2179,gender,gF,F
2180,gender,***,F
2181,gender,empty,F
2182,gender,empty,F
2183,gender,***,F
2184,gender,nF,F
2185,gender,vF,F
2186,gender,***,F
2187,gender,pF,F
2188,gender,empty,F
2189,gender,rF,F
2190,gender,hF,F
2191,gender,empty,F
2201,gender,***,M
2210,gender,***,F
2211,gender,empty,F
2212,gender,sF,F
2213,gender,empty,F
2214,gender,empty,F
2215,gender,empty,F
2216,gender,iF,F
2217,gender,empty,F
2218,gender,empty,F
2219,gender,***,F
2220,gender,***,F
2221,gender,mF,F
2223,gender,gF,F
2224,gender,empty,F
2225,gender,empty,F
2226,gender,xF,F
2227,gender,***,F
2228,gender,***,F
2229,gender,***,F
2230,gender,empty,F
2231,gender,***,F
2232,gender,aF,F
2233,gender,***,F
2234,gender,***,F
2235,gender,empty,F
2236,gender,***,F
2237,gender,***,F
2238,gender,lF,F
2240,gender,rF,F
2241,gender,***,F
2242,gender,***,F
2243,gender,empty,F
2244,gender,***,F
2245,gender,***,F
2246,gender,empty,F
2247,gender,aF,F
2248,gender,rF,F
2249,gender,kF,F
2250,gender,empty,F
2251,gender,***,F
2252,gender,gF,F
2253,gender,***,F
2272,gender,yF,F
2273,gender,wF,F
2274,gender,vF,F
2275,gender,***,F
2276,gender,jF,F
2277,gender,***,F
2278,gender,***,F
2279,gender,***,F
2280,gender,empty,F
2281,gender,empty,F
2282,gender,empty,F
2283,gender,qF,F
2284,gender,empty,F
2285,gender,empty,F
2286,gender,jF,F
2287,gender,***,F
2288,gender,empty,F
2289,gender,***,F
2290,gender,empty,F
2291,gender,wF,F
2293,gender,empty,F
2294,gender,empty,F
2295,gender,***,F
2296,gender,***,F
2297,gender,empty,F
2298,gender,oF,F
2299,gender,***,F
2300,gender,empty,F
2301,gender,empty,F
2302,gender,dF,F
2303,gender,empty,F
2304,gender,***,F
2305,gender,yF,F
2306,gender,***,F
2307,gender,empty,F
2308,gender,empty,F
2309,gender,empty,F
2310,gender,***,F
2333,gender,***,F
2334,gender,***,F
2335,gender,fF,F
2336,gender,empty,F
2337,gender,***,F
2338,gender,dF,F
2339,gender,bF,F
2340,gender,empty,F
2341,gender,***,F
2342,gender,***,F
2343,gender,***,F
2344,gender,empty,F
2345,gender,***,F
2346,gender,mF,F
2347,gender,empty,F
2348,gender,empty,F
2349,gender,empty,F
2350,gender,empty,F
2351,gender,***,F
2352,gender,***,F
2354,gender,pF,F
2355,gender,***,F
2356,gender,kF,F
2357,gender,empty,F
2358,gender,empty,F
2359,gender,empty,F
2360,gender,***,F
2361,gender,***,F
2362,gender,***,F
2363,gender,***,F
2364,gender,***,F
2365,gender,***,F
2366,gender,empty,F
2367,gender,***,F
2368,gender,oF,F
2369,gender,***,F
2370,gender,fF,F
2372,gender,***,F
2373,gender,***,F
2374,gender,empty,F
2375,gender,yF,F
2376,gender,empty,F
2377,gender,empty,F
2378,gender,tF,F
2379,gender,***,F
2380,gender,***,F
2381,gender,iF,F
2382,gender,empty,F
2383,gender,empty,F
2384,gender,***,F
2385,gender,***,F
2386,gender,zF,F
2387,gender,empty,F
2388,gender,***,F
2389,gender,dF,F
2390,gender,yF,F
2391,gender,zF,F
2392,gender,empty,F
2393,gender,***,F
2398,gender,yM,M
2404,gender,empty,M
2415,gender,dF,F
2416,gender,empty,F
2417,gender,empty,F
2418,gender,***,F
2419,gender,empty,F
2420,gender,empty,F
2421,gender,empty,F
2422,gender,***,F
2423,gender,***,F
2424,gender,oF,F
2425,gender,***,F
2426,gender,empty,F
2427,gender,***,F
2428,gender,empty,F
2429,gender,hF,F
2430,gender,empty,F
2431,gender,empty,F
2432,gender,cF,F
2433,gender,***,F
2434,gender,zF,F
2467,gender,lF,F
2468,gender,***,F
2469,gender,tF,F
2470,gender,***,F
2471,gender,empty,F
2472,gender,empty,F
2473,gender,***,F
2474,gender,***,F
2475,gender,empty,F
2476,gender,empty,F
2477,gender,empty,F
2478,gender,cF,F
2479,gender,pF,F
2480,gender,***,F
2481,gender,sF,F
2518,gender,empty,F
2519,gender,empty,F
2520,gender,empty,F
2521,gender,tF,F
2522,gender,hF,F
2523,gender,vF,F
2524,gender,tF,F
2525,gender,empty,F
2526,gender,empty,F
2527,gender,jF,F
2528,gender,***,F
2529,gender,cF,F
2530,gender,empty,F
2531,gender,***,F
2532,gender,eF,F
2533,gender,empty,F
2534,gender,uF,F
