index,attribute,dirty_value,clean_value
134,article_title, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
5,journal_title,empty,Dermatologic clinics
16,journal_title,British Journal of Dermatology. ,British Journal of Dermatology.
32,journal_title,empty,Eur. Heart J.
52,journal_title,Annals of the Rosyal College of Surgeons of England,Annals of the Royal College of Surgeons of England
73,journal_title,Journal of the neurologcal sciences,Journal of the neurological sciences
114,journal_title,empty,Industrial Robot: An International Journal
115,journal_title,empty,The Journal Of Rheumatology
134,journal_title, BMJ 2006 333:939,BMJ 2006 333:939
156,journal_title,empty,Swiss Med. Wkly
193,journal_title,Learning& Leading with Technology,Learning & Leading with Technology
195,journal_title,empty,Journal of Science & Medicine in Sport
201,journal_title,empty,The journal of headache and pain
213,journal_title,Umgeskr Laeger,Ugeskr Laeger
236,journal_title,empty,Acta cytologica
250,journal_title,empty,Am. J. Managed Care
256,journal_title,Cardiolgy in the young,Cardiology in the young
258,journal_title,Journal of Epidemiology and fCommunity Health,Journal of Epidemiology and Community Health
296,journal_title,Tuumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
329,journal_title,empty,Expert opinion on emerging drugs
339,journal_title,rThe hematology journal : the official journal of the European Haematology Association / EHA,The hematology journal : the official journal of the European Haematology Association / EHA
350,journal_title,NULiL,empty
405,journal_title,empty,Clinical psychology review
473,journal_title,Sceince (New York N.Y.),Science (New York N.Y.)
487,journal_title,Physiothkerapy,Physiotherapy
493,journal_title,Knee surgery sports traumatology arthroscopy : offcial journal of the ESSKA,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA
523,journal_title,Cochrae Database Syst. Rev.,Cochrane Database Syst. Rev.
546,journal_title,Rheumatology (Ofxord),Rheumatology (Oxford)
551,journal_title,Journal of stroke and cerebrovascular diseases : the official journal of aNtional Stroke Association,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
571,journal_title,Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileirad e Pneumologia e Tisilogia,Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia
605,journal_title,empty,Neuropharmacology
638,journal_title,Haematologuica,Haematologica
651,journal_title,empty,Journal of Aging & Physical Activity
664,journal_title,PmLoS One,PLoS One
705,journal_title,BioMed research inernational,BioMed research international
770,journal_title,PLoS yOne,PLoS One
808,journal_title,Cardiology in the oung,Cardiology in the young
832,journal_title,CANECR,CANCER
849,journal_title,Ann Rheum Ds,Ann Rheum Dis
855,journal_title,Respiratbion; international review of thoracic diseases,Respiration; international review of thoracic diseases
888,journal_title,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Intervenztions,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions
889,journal_title,PLS One,PLoS One
892,journal_title,J Hand Srg Am,J Hand Surg Am
910,journal_title,empty,Cancer
915,journal_title,Psycho-oncoloigy,Psycho-oncology
926,journal_title,Functional eurology,Functional Neurology
959,journal_title,Annals of internla medicine,Annals of internal medicine
961,journal_title,Journal of Rheumatolgy,Journal of Rheumatology
976,journal_title,empty,Steroids
980,journal_title,Endocrinoloy,Endocrinology
8,journal_issn,empty,1535-4970
19,journal_issn,Jan-68,68-Jan
49,journal_issn,j1555-2101,1555-2101
56,journal_issn,empty,0098-1354
81,journal_issn,empty,0961-5423 (Print) 0961-5423
86,journal_issn,9790000000000,9788480000000
107,journal_issn,0035-9157 (Print) 0035-9157,empty
108,journal_issn,0035-9157 (Print) 0035-9157,empty
109,journal_issn,0035-9157 (Print) 0035-9157,1471-4892
110,journal_issn,0035-9157 (Print) 0035-9157,1469-493X
111,journal_issn,0035-9157 (Print) 0035-9157,1432-0851
112,journal_issn,0035-9157 (Print) 0035-9157,2044-6055
113,journal_issn,0035-9157 (Print) 0035-9157,empty
132,journal_issn,Feb-37,37-Feb
138,journal_issn,empty,1170-7690
141,journal_issn,NUL,empty
143,journal_issn,NLUL,empty
201,journal_issn,1129q-2377,1129-2377
231,journal_issn,8767555,87567555
236,journal_issn,Jan-47,47-Jan
265,journal_issn,empty,1931-3543
310,journal_issn,empty,1931-3543
348,journal_issn,1463-1318,1462-8910
350,journal_issn,NUxLL,empty
378,journal_issn,1923-6203,1932-6203
379,journal_issn,empty,0098-4108 (Print)     0098-4108 (Linking)
387,journal_issn,NkULL,empty
392,journal_issn,Feb-62,62-Feb
395,journal_issn,empty,1098-4275
397,journal_issn,1827-618,1827-1618
417,journal_issn,empty,1569-8041
420,journal_issn,nNULL,empty
435,journal_issn,Feb-65,65-Feb
450,journal_issn,empty,1170-7690
487,journal_issn,18k73-1465,1873-1465
490,journal_issn,empty,1098-4275
493,journal_issn,4133-7347,1433-7347
508,journal_issn,Nov-53,53-Nov
520,journal_issn,376-2491,0376-2491
586,journal_issn,153-821X,1532-821X
596,journal_issn,0949-2658 (Print) 0949-658,0949-2658 (Print) 0949-2658
612,journal_issn,empty,1075-5535
629,journal_issn,1753-4w666,1753-4666
635,journal_issn,NLL,empty
643,journal_issn,152-51446,0737-1209
644,journal_issn,1524-4539,22-Sep
645,journal_issn,Jan-55,55-Jan
649,journal_issn,empty,1547-1896
657,journal_issn,1406-2385,1460-2385
659,journal_issn,1524-4628,0039-2499
664,journal_issn,empty,1932-6203
684,journal_issn,empty,0019-9567
691,journal_issn,Sep-60,60-Sep
746,journal_issn,22-eSp,22-Sep
747,journal_issn,Mar-67,67-May
770,journal_issn,19326203,1932-6203
773,journal_issn,146q0-2105,1460-2105
790,journal_issn,ULL,empty
798,journal_issn,0363-50i23,0363-5023
808,journal_issn,1467-o1107,1467-1107
810,journal_issn,empty,0049-8610
822,journal_issn,1930-739X,1930-7381
828,journal_issn,1532-5415,14-Feb
849,journal_issn,Mar-67,67-May
855,journal_issn,empty,0025-7931
858,journal_issn,22a-Sep,22-Sep
859,journal_issn,empty,1098-4275
888,journal_issn,empty,1522-726X
889,journal_issn,9132-6203,1932-6203
894,journal_issn,1399-3003,0903-1936
915,journal_issn,1099-1611,1057-9249
928,journal_issn,empty,1098-4275
932,journal_issn,1527-7755***,1527-7755
941,journal_issn,empty,1462-2416
954,journal_issn,147-5497,1476-5497
984,journal_issn,Feb-65,65-Feb
991,journal_issn,Feb-65,65-Feb
992,journal_issn,empty,1535-4970
