index,attribute,dirty_value,clean_value
31,surname,oare,Hoare
47,surname,Crvi,Corvi
101,surname,fTimkovsky,Timkovsky
144,surname,Weatherhtead,Weatherhead
145,surname,empty,Zajak
224,surname,Aigirain,Aigrain
226,surname,gAigrain,Aigrain
243,surname,Aiqgrain,Aigrain
267,surname,Agrain,Aigrain
331,surname,empty,Weener
362,surname,Ahigrain,Aigrain
375,surname,Matysak,Matyska
446,surname,Aigroain,Aigrain
451,surname,empty,Specker
543,surname,Dexrby,Derby
567,surname,avasseri,Kavasseri
632,surname,Agirain,Aigrain
665,surname,igrain,Aigrain
689,surname,Musseloman,Musselman
712,surname,empty,Schupeta
814,surname,Aigain,Aigrain
870,surname,empty,Miles
953,surname,empty,Harloff
997,surname,Aigorain,Aigrain
1043,surname,aClemm,Clemm
1063,surname,uyton,Guyton
1088,surname,Aigrlain,Aigrain
1141,surname,empty,Rudstrom
1165,surname,empty,Kameda
1191,surname,Aigrani,Aigrain
1210,surname,Kavvdaias,Kavvadias
1234,surname,empty,Cun
1320,surname,empty,Rudstrom
1333,surname,Aigrin,Aigrain
1363,surname,Aigrin,Aigrain
1403,surname,cMCain,McCain
1436,surname,empty,Sezan
1468,surname,Aigrani,Aigrain
1502,surname,igrain,Aigrain
1645,surname,Felcinao,Felciano
1700,surname,Dingele,Dingle
1734,surname,Agirain,Aigrain
1757,surname,empty,Jungst
1774,surname,Ddanneberg,Danneberg
1798,surname,Aigrian,Aigrain
1865,surname,Agrain,Aigrain
1953,surname,Aigran,Aigrain
2031,surname,Aigain,Aigrain
2064,surname,Aigrtain,Aigrain
2084,surname,zAigrain,Aigrain
2095,surname,empty,Capps
2179,surname,empty,Kolvik
2181,surname,Handchuh,Handschuh
2183,surname,Otllio,Otillio
2201,surname,empty,Berthiaume
2231,surname,Aigrkain,Aigrain
2309,surname,empty,Felciano
2312,surname,empty,Pierro
2372,surname,Diyghe,Dighe
2377,surname,Hinebusch,Hinnebusch
2380,surname,Aigran,Aigrain
2388,surname,Aigraijn,Aigrain
2410,surname,Aigrani,Aigrain
2416,surname,empty,Sezan
2500,surname,Aigrani,Aigrain
2515,surname,jAigrain,Aigrain
2521,surname,Vfaaie,Vafaie
2529,surname,Aigrani,Aigrain
2540,surname,Gqull,Gull
2554,surname,empty,Hennebert
2593,surname,Kavavdias,Kavvadias
