112.emergencyservice,on,no
119.score,a88%,88%
493.sample,1 patienst,1 patients
805.phonenumber,2d564944000,2564944000
632.address3,emty,empty
43.address2,epty,empty
278.measurename,heart failure patients given an evaluation ofleft ventricular systolic (lvs) function,heart failure patients given an evaluation of left ventricular systolic (lvs) function
997.hospitalname,ust vincents blount,st vincents blount
581.providernumber,10m025,10025
816.city,gadden,gadsden
11.phonenumber,256386456,2563864556
52.hospitalname,callahan eye foundation hospital,marshall medical center south
506.measurecode,pn5c,pn-5c
689.hospitalname,univecrsity of alabama hospital,university of alabama hospital
306.hospitalowner,volntary non-profit - private,voluntary non-profit - private
182.countyname,mrashall,marshall
350.stateavg,al_ai-2,al_ami-2
13.measurecode,scip-inf-1,ami-5
214.providernumber,10018,10011
540.emergencyservice,es,yes
295.address1,1720university blvd,1720 university blvd
764.phonenumber,342228466,3342228466
771.address2,empyt,empty
595.condition,heart attck,heart attack
11.zipcode,35c660,35660
135.hospitalname,callahan eye foundation hospital,crenshaw community hospital
13.providernumber,1001w9,10019
952.score,epmty,empty
38.hospitalname,callahan eye foundation hospital,southeast alabama medical center
780.stateavg,a_ami-3,al_ami-3
101.zipcode,6467,36467
617.providernumber,0029,10029
193.hospitalname,callahan eye foundation hospital,marshall medical center north
207.hospitalname,callahan eye foundation hospital,st vincents east
97.zipcode,35233,36467
5.city,birminghacm,birmingham
810.address1,1007 goodyear aveneu,1007 goodyear avenue
840.address2,emtpy,empty
922.address2,empyt,empty
12.phonenumber,2563864556***,2563864556
924.emergencyservice,es,yes
304.address2,empyt,empty
288.score,8%,98%
628.hospitalowner,government  hospital district or authority,government - hospital district or authority
819.address3,empvty,empty
45.hospitaltype,acute care khospitals,acute care hospitals
466.condition,surigcal infection prevention,surgical infection prevention
93.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
973.address1,400 n edwards streert,400 n edwards street
729.providernumber,10n035,10035
184.address3,mpty,empty
540.address2,epty,empty
690.emergencyservice,byes,yes
591.hospitalname,g h lanier emorial hospital,g h lanier memorial hospital
43.condition,surical infection prevention,surgical infection prevention
461.hospitalname,helen keller mzemorial hospital,helen keller memorial hospital
17.emergencyservice,es,yes
433.address2,emputy,empty
544.measurename,heart attack patients given ace inhibitor or arb for left ventricular sysolic dysfunction (lvsd),heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
345.address2,emphty,empty
499.zipcode,5960,35960
695.measurename,heart attack patients given smokin cessation advice/counseling,heart attack patients given smoking cessation advice/counseling
224.measurecode,scip-card-2,ami-5
191.hospitalname,callahan eye foundation hospital,marshall medical center north
