Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: article_title, MSE: nan, Jaccard: 0.02912142152023689
Attribute: article_language, MSE: nan, Jaccard: 0.0
Attribute: journal_title, MSE: nan, Jaccard: 0.030219780219780223
Attribute: journal_abbreviation, MSE: nan, Jaccard: 0.0
Attribute: journal_issn, MSE: nan, Jaccard: 0.09008562415502486
Attribute: article_jvolumn, MSE: nan, Jaccard: 0.0018037518037518074
Attribute: article_jissue, MSE: nan, Jaccard: 0.0020457683136008153
Attribute: article_jcreated_at, MSE: nan, Jaccard: 0.724834309976225
Attribute: article_pagination, MSE: nan, Jaccard: 0.07214206437291892
Attribute: author_list, MSE: nan, Jaccard: 0.3368244452397996
加权混合距离: 0.053628215233389086
