index,attribute,dirty_value,clean_value
9,HospitalName,callahan eye foundation hospital,helen keller memorial hospital
91,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
130,HospitalName,callahan eye foundation hospital,crenshaw community hospital
136,HospitalName,empty,crenshaw community hospital
142,HospitalName,callahan eye foundation hospital,crenshaw community hospital
271,HospitalName,callahan eye foundation hospital,shelby baptist medical center
291,HospitalName,callahan eye foundation hospital,shelby baptist medical center
292,HospitalName,callahan eye foundation hospital,shelby baptist medical center
305,HospitalName,callahan eye foundation hspital,callahan eye foundation hospital
306,HospitalName,callahan eye fuondation hospital,callahan eye foundation hospital
314,HospitalName,stringfellow meumorial hospital,stringfellow memorial hospital
580,HospitalName,mg h lanier memorial hospital,g h lanier memorial hospital
781,HospitalName,huntbsville hospital,huntsville hospital
987,HospitalName,empty,st vincents blount
12,Address1,300 south montgomery avenue,1300 south montgomery avenue
89,Address1,empty,205 marengo street
256,Address1,33700 highwya 43,33700 highway 43
321,Address1,301 east 18t st,301 east 18th st
359,Address1,1530 uj s highway 43,1530 u s highway 43
503,Address1,empty,400 northwood dr
874,Address1,s1256 military street south,1256 military street south
248,City,empty,thomasville
297,City,irmingham,birmingham
394,City,empty,prattville
729,City,dcullman,cullman
761,City,andalusai,andalusia
150,State,sal,al
311,State,l,al
354,State,empty,al
443,State,empty,ak
574,State,zal,al
95,ZipCode,35233,36467
103,ZipCode,63467,36467
249,ZipCode,empty,36784
296,ZipCode,32533,35233
404,ZipCode,n36067,36067
421,ZipCode,n35150,35150
545,ZipCode,3606,36106
628,ZipCode,j36801,36801
793,ZipCode,empty,35801
244,CountyName,empty,de kalb
282,CountyName,helby,shelby
494,CountyName,empty,cherokee
682,CountyName,jeferson,jefferson
914,CountyName,eowah,etowah
3,PhoneNumber,2035258100,2053258100
44,PhoneNumber,334f7938701,3347938701
63,PhoneNumber,inf,2565938310
402,PhoneNumber,empty,3343614267
590,PhoneNumber,l3347561400,3347561400
742,PhoneNumber,empty,3342228466
772,PhoneNumber,25623589t00,2562358900
10,HospitalOwner,government - hospital idstrict or authority,government - hospital district or authority
21,HospitalOwner,government - hospital district or auhtority,government - hospital district or authority
45,HospitalOwner,empty,government - hospital district or authority
207,HospitalOwner,empty,voluntary non-profit - private
226,HospitalOwner,voluntar non-profit - church,voluntary non-profit - church
480,HospitalOwner,government -hospital district or authority,government - hospital district or authority
902,HospitalOwner,voulntary non-profit - other,voluntary non-profit - other
23,EmergencyService,empty,yes
309,EmergencyService,ys,yes
356,EmergencyService,ys,yes
579,EmergencyService,ymes,yes
896,EmergencyService,empty,yes
992,EmergencyService,yse,yes
41,Condition,surgical infection prevefntion,surgical infection prevention
66,Condition,surgical infectin prevention,surgical infection prevention
239,Condition,surgicla infection prevention,surgical infection prevention
255,Condition,hart failure,heart failure
820,Condition,syurgical infection prevention,surgical infection prevention
39,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were given the  right kind  of antibiotic to help prevent infection
40,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
60,MeasureName,pneumonia patents given the most appropriate initial antibiotic(s),pneumonia patients given the most appropriate initial antibiotic(s)
398,MeasureName,empty,heart attack patients given pci within 90 minutes of arrival
500,MeasureName,empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function
567,MeasureName,heart attack patients given taspirin at arrival,heart attack patients given aspirin at arrival
848,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (withni 24 hours after surgery),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
956,MeasureName,heart attack patients gven aspirin at arrival,heart attack patients given aspirin at arrival
302,Stateavg,empty,al_hf-1
541,Stateavg,empty,al_scip-vte-2
597,Stateavg,al_mi-7a,al_ami-7a
779,Stateavg,al_mi-2,al_ami-2
804,Stateavg,al_mai-2,al_ami-2
