815.journal_title,Journal of Biological Chlemistry,Journal of Biological Chemistry
145.journal_issn,540-8167,1540-8167
628.journal_title,Journal of detnal research,Journal of dental research
179.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Water Sci. Technol.
398.journal_issn,1526-598,1526-7598
92.journal_title,Pathologiet non allergique et exposition aux moisissures domestiques.,Pathologie non allergique et exposition aux moisissures domestiques.
801.journal_issn,1e460-2105,1460-2105
218.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Colorectal Dis
612.journal_title,J Aletrn Complement Med,J Altern Complement Med
141.journal_title,Proc R Soc Med,NULL
926.journal_issn,393-5264,0393-5264
677.jounral_abbreviation,NULmL,NULL
892.journal_title,J Hadn Surg Am,J Hand Surg Am
36.journal_issn,1745-028 1745-0136,1745-0128 1745-0136
902.jounral_abbreviation,NULL***,NULL
256.journal_title,aCrdiology in the young,Cardiology in the young
162.journal_issn,0035-9157 (Print) 0035-9157,2249-782X
70.journal_title,Ophthalmic surgery and lasrs,Ophthalmic surgery and lasers
