attribute,clean_value,dirty_value,index
sched_dep_time,06:59 AM,06:5b9 AM,117
sched_dep_time,10:40 AM,10:j40 AM,145
sched_dep_time,06:59 AM,06:5 AM,215
sched_dep_time,06:59 AM,06:5 9AM,306
sched_dep_time,06:59 AM,06:59 AnM,404
sched_dep_time,06:40 AM,empty,440
sched_dep_time,06:59 AM,06:59AM,502
sched_dep_time,10:40 AM,1:040 AM,576
sched_dep_time,06:59 AM,06:e59 AM,603
sched_dep_time,08:00 AM,empty,633
sched_dep_time,06:59 AM,06:59A M,694
sched_dep_time,08:20 PM,08:2 PM,704
sched_dep_time,06:59 AM,0659 AM,775
sched_dep_time,06:59 AM,0659 AM,794
sched_dep_time,06:59 AM,065:9 AM,876
sched_dep_time,06:45 AM,empty,907
sched_dep_time,07:10 AM,07:0 AM,972
sched_dep_time,07:10 AM,07:1 AM,1030
sched_dep_time,06:59 AM,06:5 AM,1040
sched_dep_time,02:55 PM,02:55 MP,1094
sched_dep_time,04:55 PM,04:5 PM,1121
sched_dep_time,01:55 PM,empty,1194
sched_dep_time,10:25 AM,empty,1280
sched_dep_time,07:10 AM,empty,1476
sched_dep_time,05:25 PM,empty,1525
sched_dep_time,06:30 PM,empty,1866
sched_dep_time,07:15 PM,empty,1904
sched_dep_time,07:55 AM,empty,2033
sched_dep_time,02:55 PM,02:p55 PM,2130
sched_dep_time,06:59 AM,06:59 M,2220
sched_dep_time,05:25 PM,empty,2280
act_dep_time,09:14 AM,empty,198
act_dep_time,02:26 PM,0m2:26 PM,308
act_dep_time,12:41 AM,empty,350
act_dep_time,07:16 AM,empty,730
act_dep_time,05:08 PM,05:08 MP,765
act_dep_time,05:08 PM,05:08PM,862
act_dep_time,08:42 AM,08:42 M,914
act_dep_time,12:41 AM,empty,917
act_dep_time,11:15 AM,11:15 AM***,1048
act_dep_time,05:08 PM,05:8 PM,1121
act_dep_time,05:08 PM,0c5:08 PM,1275
act_dep_time,08:04 AM,08:0 AM,1308
act_dep_time,03:58 PM,03:58 M,1320
act_dep_time,05:08 PM,5:08 PM,1374
act_dep_time,08:51 AM,08:1 AM,1389
act_dep_time,11:56 AM,1:56 AM,1429
act_dep_time,12:13 PM,1213 PM,1522
act_dep_time,03:36 PM,empty,1529
act_dep_time,05:08 PM,05:08 PvM,1539
act_dep_time,03:31 PM,empty,1580
act_dep_time,06:10 AM,06:10A M,1585
