instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,359399.0167,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16
2,359399.0167,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40
3,359399.0167,10,0,1,12.56705226,32,6,0,1,0.22,0.2727,0.8,0,5,27,32
4,359399.0167,45,0,1,3,52,6,0,1,0.24,0.2879,0.75,0,3,10,13
5,359399.0167,23,0,1,4,98,6,0,1,0.24,0.2879,0.75,0,0,1,1
6,359399.0167,98,0,1,5,91,6,0,2,0.24,0.2576,1.748679335,0.0896,0,1,1
7,359399.0167,75,0,1,6,87,6,0,1,0.22,0.2727,0.8,0,2,0,2
8,359399.0167,7,0,1,7,90,6,0,1,0.453009067,0.2576,0.86,0,1,2,3
9,359399.0167,71,0,-24.77026685,8,52,6,0,1,0.24,0.2879,0.75,0,1,7,8
10,359399.0167,95,-0.200879421,1,9,92,6,0,1,0.32,0.3485,0.76,0,8,6,14
11,359399.0167,68,0,1,10,22,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
12,359399.0167,55,0,1,11,4,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
6598.571721,359399.0167,12,0,1,12,37,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
14,359399.0167,52,0,1,13,14,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
15,364186.6458,85,0,1,16.45978367,22,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
16,359399.0167,19,0,1,15,4,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
17,359399.0167,28,0,1,-23.99260242,26,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
18,359399.0167,36,0,1,43.07237736,49,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
19,359399.0167,142.3034573,0,1,18,16,-4.479331796,0,3,0.42,0.4242,0.88,0.2537,9,26,35
20,359399.0167,111.4387509,0,1,19,47,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
21,359399.0167,43,0,1,20,86,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
22,359399.0167,-76.51086844,0,1,21,31,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
23,359399.0167,77,0,1,22,80,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
24,359399.0167,94,0,1,23,95,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
25,359423.0167,40,0,1,0,36,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
26,359423.0167,49,0,1,1,53,0,0,2,0.44,0.4394,0.94,-0.012968809,1,16,17
-12089.76292,359423.0167,77,0,21.18572226,2,125.8884688,0,0,2,0.42,0.4242,1,0.2836,1,8,9
28,359423.0167,90,0,1,3,26,0,0,2,0.46,0.4545,0.94,0.194,2,4,6
29,359423.0167,77,0,1,4,37,0,0,2,0.46,0.4545,0.94,0.194,2,1,3
30,359423.0167,52,0,1,6,76,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2
31,359423.0167,38,0,1.672894588,7,60,0,0,2,0.4,0.4091,0.76,0.194,0,1,1
32,359423.0167,95,0.87351119,1,8,85,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8
33,359423.0167,72,0,1,9,95,0,0,2,0.38,0.3939,0.76,0.2239,100.1042783,19,20
34,359423.0167,24,0,1,10,70,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53
35,359423.0167,92,0.529491944,1,11,11,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70
36,359423.0167,12,0,1,12,97,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93
37,359423.0167,47,0,1,13,75,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75
38,359423.0167,92,0,1,14,5,0,0,3,0.36,0.3485,0.76,0.194,4,55,59
39,359423.0167,79,0,1,22.10059854,77,0,0,3,0.34,0.3333,0.81,0.910019921,19,55,74
40,359423.0167,70,0,1,26.96190973,71,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76
41,359423.0167,87,0,1,17,79,0,0,1,0.34,0.3333,0.184067268,0.194,7,58,65
42,353350.1244,85,0,1,18,5,0,0,2,1.063097957,0.3333,0.46,0.3284,10,43,53
43,359423.0167,13,0,1,19,29,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30
44,359423.0167,89,0,1,20,14,0,0,1,0.3,0.2727,0.39,0.3582,457.5643166,17,22
45,359423.0167,39,0,1,21,42,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31
46,359423.0167,26,0,1,22,97,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9
47,359423.0167,34,0,1,23,33,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8
48,359447.0167,5,0,1,0,178.0950582,1,1,1,0.22,0.197,0.44,0.3582,0,5,5
49,359447.0167,97,0,1,1,69,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2
50,359447.0167,-132.5472742,0,1,4,11,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1
51,359447.0167,37,0,1,5,43,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3
52,359447.0167,57,0,1,11.27252353,13,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30
53,359447.0167,31,0,1,7,60.60547295,1,1,1,0.14,0.1364,0.5,0.194,1,63,64
54,359447.0167,89,0,1,8,18,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154
55,359447.0167,82,0,1,9,50,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88
56,359447.0167,96,0,1,10,61,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44
57,359447.0167,70,0,1,11,60,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51
58,359447.0167,90,0,1,12,47,1,1,1,0.22,0.2121,0.35,0.2985,13,-754.8210989,61
59,359447.0167,16,0,1,13,45,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61
60,359447.0167,85,0,1,14,31,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77
61,359447.0167,427.5585974,0,1,15,90,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72
62,359447.0167,50,0,1,16,95,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76
3249.280498,359447.0167,25,0,1,17,14,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157
64,359447.0167,73,0,1,18,39,1,1,1,0.24,0.2576,0.32,0.035811817,9,148,157
65,354711.0519,7,0,1,19,90,1,1,1,-0.417698187,0.2576,0.47,0,8,102,110
99.57946147,359447.0167,50,0,1,20,67,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52
67,359447.0167,31,0,1,21,33,1,1,1,0.18,0.197,0.64,0.1343,39.07972388,49,52
68,359447.0167,5,0,1,22,44,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20
69,359447.0167,33,1.360216238,1,23,74,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12
70,359471.0167,81,0,1,0,10,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5
71,359471.0167,52,0,1,1,33,2,1,1,-0.662356143,0.1818,0.59,0.1045,0,2,2
72,359471.0167,26,0,1,2,39,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1
73,359471.0167,62,0,1,4,14,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2
74,359471.0167,26,0,1,5,54,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4
75,359471.0167,16,0,1,6,44,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36
76,359471.0167,33,0,1,7,36,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
77,359471.0167,55,0,1,8,38,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179
78,359471.0167,75,0,1,9,80,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
79,359471.0167,32,0,1,10,6,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42
80,359471.0167,34,0,1,11,76,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
81,359471.0167,77,0,1,12,61,2,1,3.058645466,0.22,0.2273,0.51,0.1642,12,66,78
82,359471.0167,50,0,1,13,89,2,1,1,0.24,0.2273,0.56,0.194,18,79,97
83,359471.0167,85,0,1,14,76,2,1,1,0.26,0.2576,0.52,0.2239,-14.35267432,54,63
84,359471.0167,39,0,1,15,95,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
85,359471.0167,19,0,1,16,77,2,1,1,0.3,0.2879,0.49,0.2537,15,-357.4665731,83
