Attribute,Index,Clean Value,Cleaned Value
article_title,134,mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,3,indian journal of ophthalmology,j med toxicol
journal_title,16,british journal of dermatology.,british journal of dermatology. 
journal_title,40,european journal of emergency medicine : official journal of the european society for emergency medicine,european journal of emergency medicine :t official journal of the european society for emergency medicine
journal_title,41,int. j. radiat. oncol. biol. phys.,empty
journal_title,49,the journal of clinical psychiatry,thejournal of clinical psychiatry
journal_title,68,aids reviews,empty
journal_title,93,nicotine tob res,incotine tob res
journal_title,134,bmj 2006 333:939, bmj 2006 333:939
journal_title,135,annals of internal medicine,empty
journal_title,186,mount sinai journal of medicine,mount sinia journal of medicine
journal_title,189,journal of international education research,empty
journal_title,209,arch surg,empty
journal_title,221,computerized medical imaging and graphics: the official journal of the computerized medical imaging society,computerized medical imaging and graphisc: the official journal of the computerized medical imaging society
journal_title,224,int j obes (lond),empty
journal_title,259,critical care medicine,empty
journal_title,282,international journal of oral and maxillofacial surgery,empty
journal_title,309,gut,ygut
journal_title,338,leukemia and lymphoma,empty
journal_title,348,colorectal disease : the official journal of the association of coloproctology of great britain and ireland,colorectaldisease : the official journal of the association of coloproctology of great britain and ireland
journal_title,351,international journal of social psychiatry,cancer biotherapy
journal_title,352,east african medical journal,empty
journal_title,354,bmc cancer,bmc ancer
journal_title,362,ann fr anesth reanim,ann frw anesth reanim
journal_title,386,the science of the total environment,he science of the total environment
journal_title,404,critical care nursing quarterly,empty
journal_title,423,addictive behaviors,addctive behaviors
journal_title,448,conference proceedings : ... annual international conference of the ieee engineering in medicine and biology society. ieee engineering in medicine and biology society. conference,conference proceedings : ... annual internatiotnal conference of the ieee engineering in medicine and biology society. ieee engineering in medicine and biology society. conference
journal_title,451,journal of learning disabilities,journal of learningd isabilities
journal_title,458,international urogynecology journal,journal of clinical epidemiology
journal_title,459,pain medicine,pain mediocine
journal_title,487,physiotherapy,physigotherapy
journal_title,509,international journal of medical informatics,empty
journal_title,532,science (new york n.y.),science (newb york n.y.)
journal_title,550,disability and rehabilitation,disabliity and rehabilitation
journal_title,551,journal of stroke and cerebrovascular diseases : the official journal of national stroke association,journal of stroke and cerebrovascular diseases : the official journal of national sroke association
journal_title,559,empty,nature: new biology
journal_title,570,international psychogeriatrics / ipa,international psychogeriatric / ipa
journal_title,575,tumour biology : the journal of the international society for oncodevelopmental biology and medicine,tumour biology : the journal of the international society for oncodevelopmental biology and emdicine
journal_title,589,pharmacogenomics,pharmacgenomics
journal_title,618,empty,nbull
journal_title,625,international journal of obesity,empty
journal_title,642,journal of women's health (15409996),journal of women''s health (15n409996)
journal_title,663,the journal of heart valve disease,the journal of heaart valve disease
journal_title,664,plos one,plos pone
journal_title,672,empty,nature: new biology
journal_title,674,environmental monitoring and assessment,environmental monitoring and asessment
journal_title,692,vaccine,empty
journal_title,698,energy policy,eergy policy
journal_title,705,biomed research international,biomed research interntional
journal_title,746,circulation,circuulation
journal_title,770,plos one,plos ogne
journal_title,785,patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,patolozgie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.
journal_title,787,indian journal of psychiatry,empty
journal_title,792,journal of cardiovascular medicine (hagerstown md.),journal of cardiovascular medicinde (hagerstown md.)
journal_title,797,empty,ull
journal_title,801,journal of the national cancer institute,skeletal radiology
journal_title,820,crit. care med.,crit. care mde.
journal_title,822,obesity (silver spring md.),obesity (silver sprisng md.)
journal_title,827,international medicine & health guidance news [guo ji yi yao wei sheng dao bao],international medicine & health guidance news [guo ji yi yao wei sheng da obao]
journal_title,835,intensive care medicine,anesthesia and analgesia
journal_title,849,ann rheum dis,nn rheum dis
journal_title,858,circulation,circlation
journal_title,883,cost effectiveness and resource allocation,cost effectiveness and resource jallocation
journal_title,884,nippon seikeigeka gakkai zasshi,empty
journal_title,889,plos one,lpos one
journal_title,894,the european respiratory journal,the european rejspiratory journal
journal_title,907,proquest llc,proquets llc
journal_title,910,cancer,cancre
journal_title,925,european journal of anaesthesiology,europwean journal of anaesthesiology
journal_title,926,functional neurology,funcional neurology
journal_title,928,pediatrics,empty
journal_title,932,journal of clinical oncology : official journal of the american society of clinical oncology,journal of clinical oncology : officiacl journal of the american society of clinical oncology
journal_title,954,international journal of obesity (2005),the british journal of psychiatry : the journal of mental science
journal_title,957,journal of environmental psychology,empty
journal_title,959,annals of internal medicine,annals of niternal medicine
journal_title,975,surgical infections,surgica linfections
journal_title,980,endocrinology,endocrnology
journal_title,984,am j clin nutr,am j clin ntur
journal_title,991,am j clin nutr,am j clin nuwtr
journal_title,997,review of scientific instruments,empty
journal_issn,1,0035-9157 (print) 0035-9157,0315-162x
journal_issn,8,1535-4970,empty
journal_issn,13,0001-6349 (print) 0001-6349,0315-162x
journal_issn,19,68-jan,empty
journal_issn,32,0195-668x,empty
journal_issn,68,1139-6121,empty
journal_issn,81,0961-5423 (print) 0961-5423,0315-162x
journal_issn,86,9788480000000,9790000000000
journal_issn,110,1469-493x,0315-162x
journal_issn,111,1432-0851,0315-162x
journal_issn,112,2044-6055,0315-162x
journal_issn,113,empty,0315-162x
journal_issn,114,0143-991x,0315-162x
journal_issn,116,empty,0315-162x
journal_issn,117,0021-8987,0315-162x
journal_issn,118,empty,0315-162x
journal_issn,119,2115-7863(electronic);2115-8789(print),0315-162x
journal_issn,120,empty,nudll
