522.journal_issn,0969-b4900,0969-4900
190.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
186.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
916.journal_issn,152-186X,1521-186X
991.journal_title,A mJ Clin Nutr,Am J Clin Nutr
155.journal_issn,0035-9157 (Print) 0035-9157,00913960 (ISSN)
99.journal_title,Proc R Soc Med,Am J Physiol Endocrinol Metab
510.journal_issn,030-11623,0301-1623
714.jounral_abbreviation,NUvLL,NULL
189.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
798.journal_title,J Han Surg Am,J Hand Surg Am
193.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
370.jounral_abbreviation,pNULL,NULL
232.journal_title,The Journal of hospitale infection,The Journal of hospital infection
715.jounral_abbreviation,UNLL,NULL
162.journal_issn,0035-9157 (Print) 0035-9157,2249-782X
465.journal_issn,117a8-7090,1178-7090
100.journal_title,Proc R Soc Med,Journal of the American Dietetic Association
670.jounral_abbreviation,NULL***,NULL
575.journal_issn,1423-03s80,1423-0380
160.journal_issn,0035-9157 (Print) 0035-9157,1790-8019
196.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
808.journal_title,Cardiology in the eyoung,Cardiology in the young
287.journal_title,Jurnal of medical imaging and radiation oncology,Journal of medical imaging and radiation oncology
378.journal_issn,1932-6s203,1932-6203
251.journal_title,Journl of Clinical Gastroenterology,Journal of Clinical Gastroenterology
628.journal_title,Jounal of dental research,Journal of dental research
936.jounral_abbreviation,RSM Open,JRSM Open
635.journal_title,NULhL,NULL
157.journal_issn,0035-9157 (Print) 0035-9157,NULL
925.journal_issn,1365-p2346,1365-2346
776.journal_issn,0003-9926(Print) 0003-9926,0003-9926 (Print) 0003-9926
773.journal_issn,1460-215,1460-2105
596.journal_title,J Orthopo Sci,J Orthop Sci
101.journal_title,Proc R Soc Med,NULL
703.journal_issn,146r9-493X,1469-493X
926.journal_title,Functional Neuroloyg,Functional Neurology
194.jounral_abbreviation,Proceedings of the Royal Society of Medicine,J. Natl. Cancer Inst.
97.journal_issn,ULL,NULL
29.journal_issn,1932-623,1932-6203
112.journal_issn,2g044-6055,2044-6055
127.journal_issn,NULL***,NULL
329.jounral_abbreviation,Expertj Opin Emerg Drugs,Expert Opin Emerg Drugs
446.journal_title,Journal of clinical hypertenion (Greenwich, Conn.),Journal of clinical hypertension (Greenwich, Conn.)
197.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Eur Arch Otorhinolaryngol
188.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
910.journal_title,Cancre,Cancer
754.journal_title,Biomedizcal reports,Biomedical reports
712.jounral_abbreviation,aNULL,NULL
382.jounral_abbreviation,Bpull. Math. Biol.,Bull. Math. Biol.
199.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Ann Surg
192.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Pediatr Ann
252.journal_issn,1094-2089,1049-2089
867.journal_title,Cochrane Database Syst. Rkev.,Cochrane Database Syst. Rev.
126.jounral_abbreviation,zNeurologia,Neurologia
142.journal_issn,oNULL,NULL
102.journal_title,Proc R Soc Med,Cognitive Processing
31.journal_title,The orean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi
543.journal_issn,1062-84r01,1062-8401
