1047.city,Winsor,Windsor
270.brewery_name,Big Wood Breery,Big Wood Brewery
1790.state,Z,AZ
441.brewery_name,Brewery Vivnt,Brewery Vivant
2304.city,nSalt Lake City,Salt Lake City
189.state,A,MA
402.brewery_name,Berwery Vivant,Brewery Vivant
880.brewery_name,Frsemont Brewing Company,Fremont Brewing Company
66.brewery_name,Abitda Brewing Company,Abita Brewing Company
400.city,rGand Rapids,Grand Rapids
1061.city,Springifeld,Springfield
1414.state,ZA,AZ
447.brewery_name,Brwewery Vivant,Brewery Vivant
76.brewery_name,Against the Grain Brewevry,Against the Grain Brewery
176.state,T,CT
2167.city,Traverse Ciy,Traverse City
395.city,Grand apids,Grand Rapids
978.city,Davenpyort,Davenport
925.state,ZA,AZ
402.city,Grand Rapis,Grand Rapids
2169.brewery_name,Teh Traveler Beer Company,The Traveler Beer Company
1801.state,ZA,AZ
162.state,OC,CO
1796.state,ZA,AZ
399.city,Grand Raids,Grand Rapids
2156.city,Brownx,Bronx
411.city,Grand aRpids,Grand Rapids
720.brewery_name,Destihl Brwery,Destihl Brewery
1226.brewery_name,Lost Nation Berwing,Lost Nation Brewing
1791.state,AxZ,AZ
2285.state,CiO,CO
2163.brewery_name,The Lion Brewrey,The Lion Brewery
2342.brewery_name,Westbrook Brewing Compny,Westbrook Brewing Company
434.brewery_name,Brewery iVvant,Brewery Vivant
399.brewery_name,Bewery Vivant,Brewery Vivant
764.brewery_name,Evil Czech Brweery,Evil Czech Brewery
2137.city,Richmodn,Richmond
409.city,Graand Rapids,Grand Rapids
432.brewery_name,Brewery Viavant,Brewery Vivant
448.city,Grnd Rapids,Grand Rapids
1790.city,Chanler,Chandler
1031.state,TM,MT
176.city,Bwloomfield,Bloomfield
1793.state,AqZ,AZ
412.city,GrandR apids,Grand Rapids
1212.city,oYrk,York
1605.brewery_name,Otter Creke Brewing,Otter Creek Brewing
393.city,Grand aRpids,Grand Rapids
449.city,Grand Rapis,Grand Rapids
448.brewery_name,Bzrewery Vivant,Brewery Vivant
1415.state,ZA,AZ
1061.state,RO,OR
36.state,A,CA
104.state,A,CA
950.brewery_name,Greaat Divide Brewing Company,Great Divide Brewing Company
103.state,A,CA
446.brewery_name,Brewer Vivant,Brewery Vivant
1306.city,Lahania,Lahaina
418.state,MaI,MI
1792.state,Z,AZ
1035.brewery_name,Hawai'i Ni Brewing Co.,Hawai'i Nui Brewing Co.
396.brewery_name,Brewery Vivsant,Brewery Vivant
398.city,Grand aRpids,Grand Rapids
400.brewery_name,Brewery Vivqant,Brewery Vivant
410.city,Grnad Rapids,Grand Rapids
917.state,L,IL
301.brewery_name,Bue Blood Brewing Company,Blue Blood Brewing Company
394.city,Gkrand Rapids,Grand Rapids
449.brewery_name,Brewery Viant,Brewery Vivant
450.brewery_name,Berwery Vivant,Brewery Vivant
1628.brewery_name,Perirn Brewing Company,Perrin Brewing Company
1805.state,AvZ,AZ
397.brewery_name,Brewoery Vivant,Brewery Vivant
2333.state,HO,OH
1413.state,ZA,AZ
408.city,Grand Rapilds,Grand Rapids
404.city,Gran Rapids,Grand Rapids
354.city,Eale,Eagle
924.state,ZA,AZ
280.state,A,CA
450.city,Grandd Rapids,Grand Rapids
414.city,rand Rapids,Grand Rapids
1799.state,zAZ,AZ
1913.brewery_name,Smartmouth Bmrewing Company,Smartmouth Brewing Company
2333.brewery_name,Warped Wing bBrewing Company,Warped Wing Brewing Company
403.brewery_name,Brewoery Vivant,Brewery Vivant
1318.state,I,MI
407.city,Grand aRpids,Grand Rapids
1803.state,ZA,AZ
1914.state,A,VA
1800.state,AqZ,AZ
395.brewery_name,Brewer Vivant,Brewery Vivant
777.state,O,CO
1071.city,Autsin,Austin
121.city,Haywbard,Hayward
95.city,Wasfhougal,Washougal
401.city,rand Rapids,Grand Rapids
2131.brewery_name,Telluride Brexwing Company,Telluride Brewing Company
1731.brewery_name,hRinegeist Brewery,Rhinegeist Brewery
405.city,Garnd Rapids,Grand Rapids
1658.city,Buciryus,Bucryus
923.state,AfZ,AZ
417.city,rand Rapids,Grand Rapids
2149.state,WfY,WY
1789.state,ZA,AZ
682.state,C,DC
301.city,Linconl,Lincoln
2325.city,Westinster,Westminster
396.city,Grand Rapis,Grand Rapids
401.brewery_name,Breweyr Vivant,Brewery Vivant
966.city,Daveonport,Davenport
394.brewery_name,Breiwery Vivant,Brewery Vivant
1802.state,Z,AZ
435.brewery_name,lBrewery Vivant,Brewery Vivant
380.state,OC,CO
443.brewery_name,Brewery Vivat,Brewery Vivant
1348.state,LI,IL
1804.state,vAZ,AZ
1285.state,X,TX
1073.state,XT,TX
415.city,Grand Rapidfs,Grand Rapids
413.city,Grad Rapids,Grand Rapids
1242.state,A,GA
1900.state,AP,PA
1795.state,ZA,AZ
438.brewery_name,Brewery Vivatn,Brewery Vivant
1222.brewery_name,Long Trail Berwing Company,Long Trail Brewing Company
930.city,Akurora,Aurora
979.brewery_name,Gerat River Brewery,Great River Brewery
406.city,Garand Rapids,Grand Rapids
398.brewery_name,rewery Vivant,Brewery Vivant
447.city,GrandRapids,Grand Rapids
1412.state,sAZ,AZ
442.brewery_name,Breweryy Vivant,Brewery Vivant
278.state,A,CA
1794.state,AjZ,AZ
2053.city,Idianapolis,Indianapolis
2283.state,OC,CO
1669.state,ZA,AZ
397.city,Gand Rapids,Grand Rapids
2103.brewery_name,TailGajte Beer,TailGate Beer
1797.state,Z,AZ
373.city,Bozemn,Bozeman
416.city,GrandRapids,Grand Rapids
1305.brewery_name,MauiBrewing Company,Maui Brewing Company
2037.brewery_name,Sun King BrewingC ompany,Sun King Brewing Company
437.brewery_name,lBrewery Vivant,Brewery Vivant
433.brewery_name,Brewery pVivant,Brewery Vivant
1787.brewery_name,SanTan Brewing Comany,SanTan Brewing Company
444.brewery_name,Brewey Vivant,Brewery Vivant
445.brewery_name,rewery Vivant,Brewery Vivant
1278.city,Belafst,Belfast
2241.brewery_name,Two Brothers Bkrewing Company,Two Brothers Brewing Company
1575.state,OC,CO
1677.city,Seabttle,Seattle
892.state,A,CA
826.state,OhR,OR
2023.city,hHuntsville,Huntsville
440.brewery_name,Brewery iVvant,Brewery Vivant
1798.state,Z,AZ
439.brewery_name,Breery Vivant,Brewery Vivant
1138.brewery_name,James Pag Brewing Company,James Page Brewing Company
390.state,IM,MI
2189.city,Evnasville,Evansville
1988.state,AV,VA
1175.state,KA,AK
279.state,A,CA
436.brewery_name,Brewery Vivatn,Brewery Vivant
392.city,GrandR apids,Grand Rapids
1801.city,Chandlre,Chandler
1991.city,Druango,Durango
403.city,Grnad Rapids,Grand Rapids
393.brewery_name,rewery Vivant,Brewery Vivant
1882.city,Dfurango,Durango
