3666.marriedexemp,9h000,9000
11284.singleexemp,1000***,1000
10493.city,BRANT,BRANDT
18320.gender,,M
15381.city,MATESON,MATTESON
4082.gender,***,M
8009.singleexemp,***,0
12504.marriedexemp,220***,220
2939.state,C,DC
6970.state,AI,IA
14040.state,TC,CT
8406.city,GUANYABO,GUAYNABO
10135.childexemp,t0,0
7633.childexemp,,0
15155.state,DI,ID
9365.city,RUbBY,RUBY
11780.singleexemp,,0
18323.singleexemp,***,0
12175.singleexemp,210,2100
4720.city,HRPERS FERRY,HARPERS FERRY
18849.city,STAMFOD,STAMFORD
19871.state,mCT,CT
8217.childexemp,a3300,3300
4687.state,wVA,VA
357.state,wDC,DC
7159.marriedexemp,2600***,2600
18112.childexemp,***,0
13432.childexemp,h0,0
4619.childexemp,***,0
5537.state,OC,CO
19218.singleexemp,f0,0
5809.childexemp,2300***,2300
13218.marriedexemp,***,0
10473.marriedexemp,600,6600
12700.singleexemp,***,0
11929.marriedexemp,3u000,3000
5349.marriedexemp,080,2080
13363.childexemp,***,0
15561.gender,rF,F
10175.gender,,F
19950.gender,***,F
16946.childexemp,***,0
11155.gender,,F
15880.marriedexemp,62e00,6200
19462.childexemp,***,0
17414.city,HAaLSEY,HALSEY
8273.singleexemp,,0
9361.marriedexemp,20,220
983.state,CD,DC
11777.singleexemp,***,0
9291.singleexemp,,0
6589.city,LAVENE,LAVEEN
9181.city,ARTON,BARTON
1499.state,C,DC
2151.gender,aM,M
18420.gender,***,F
9440.marriedexemp,202,220
254.state,CD,DC
17524.childexemp,,0
9745.gender,fF,F
18151.marriedexemp,c220,220
10290.singleexemp,4500***,4500
15754.singleexemp,013,103
11724.state,SM,MS
3888.marriedexemp,20,220
13249.childexemp,j0,0
15263.marriedexemp,2008,2080
1457.city,PRKERSBURG,PARKERSBURG
14973.city,HANAPEEP,HANAPEPE
15499.city,JAMETOWN,JAMESTOWN
645.singleexemp,***,0
8125.state,TC,CT
701.state,I,HI
6728.singleexemp,***,0
13170.marriedexemp,2k20,220
17600.city,HANAEI,HANALEI
18862.singleexemp,,0
18019.singleexemp,g20,20
16078.childexemp,x0,0
7602.marriedexemp,202,220
14943.childexemp,1000***,1000
18161.childexemp,a0,0
6960.gender,,F
19046.childexemp,***,0
16001.gender,dF,F
18976.gender,***,F
990.state,C,DC
12680.state,FaL,FL
1902.singleexemp,,0
14482.gender,***,F
3727.singleexemp,475,2475
17334.city,DEuERBROOK,DEERBROOK
7439.state,CcT,CT
8370.gender,,F
7967.city,GUAYNAaBO,GUAYNABO
3644.gender,***,F
