labels,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage,i_w_bhr_weg,o_w_bhr_power,o_w_bhr_voltage,i_w_bru_weg,o_w_bru_power,o_w_bru_voltage,i_w_hr_weg,o_w_hr_power,o_w_hr_voltage,i_w_hl_weg,o_w_hl_power,o_w_hl_voltage
0,-107,0,0,0,0,0,-1268,0,0,-26,84,11,0,7168,26,0,7720,24
0,-107,0,0,0,0,0,-1268,0,0,-26,84,11,0,7168,26,0,7720,24
0,-107,0,0,0,0,0,-1268,0,0,-26,84,11,0,7168,26,0,7720,24
0,-107,0,0,0,0,0,-1268,0,0,29,21725,54,0,6726,26,0,10756,26
0,-107,0,0,0,0,0,-1268,0,0,29,21725,54,0,6726,26,0,10756,26
0,-107,0,0,0,0,0,-1268,0,0,29,21725,54,0,6726,26,0,10756,26
0,-107,0,0,0,0,0,-1268,0,0,107,23072,56,0,6726,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,107,23072,56,0,6726,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,107,23072,56,0,6726,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,107,23072,56,0,6726,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24
0,-107,0,0,0,0,0,-1268,0,0,263,27480,58,0,6232,26,0,10366,26
0,-107,0,0,0,0,0,-1268,0,0,263,27480,58,0,6232,26,0,10366,26
0,-107,0,0,0,0,0,0,8,1,342,19332,54,0,6232,26,0,7048,26
0,-107,0,0,0,0,0,0,8,1,342,19332,54,0,6232,26,0,7048,26
0,-107,0,0,0,0,0,0,8,1,342,19332,54,0,6232,26,0,7048,26
0,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24
0,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24
0,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24
0,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24
0,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24
0,-107,0,0,0,0,0,132,18684,54,498,18700,56,0,13402,27,0,7048,24
0,-107,0,0,0,0,0,132,18684,54,498,18700,56,0,13402,27,0,7048,24
0,-107,0,0,0,0,0,132,18684,54,498,18700,56,0,13402,27,0,7048,24
0,-107,0,0,0,0,0,132,18684,54,498,18700,56,0,13402,27,0,7048,24
0,-107,0,0,0,0,0,210,23722,58,571,4340,31,0,19867,27,0,10366,24
0,-107,0,0,0,0,0,210,23722,58,571,4340,31,0,19867,27,0,10366,24
0,-107,0,0,0,0,0,210,23722,58,571,4340,31,0,19867,27,0,10366,24
0,-107,0,0,0,0,0,289,20628,54,581,112,2,0,25884,29,0,10366,24
0,-107,0,0,0,0,0,289,20628,54,581,112,2,0,25884,29,0,10366,24
0,-107,0,0,0,0,0,289,20628,54,581,112,2,0,25884,29,0,10366,24
0,-107,0,0,0,0,0,366,20034,52,581,47,1,0,27320,60,0,17249,59
