Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1471497410,HZH8177,NY,PAS,07/02/2020,20,SUBN,NISSA,P,62200,33525,33640,20220510,100,100,100,"955,757",0100,0000,1259P,,Q,F,105-00,SHORE FRONT PKWY,,0,408,D,,BBBBBBB,ALL,ALL,GRAY,0,2018,-,0,,,,,
1471497630,JCX5781,NY,PAS,06/27/2020,20,P-U,DODGE,P,60790,34190,34240,20200909,100,100,100,"952,795",0100,0000,0940A,,Q,F,120-15,ROCKAWAY BEACH BLVD,,0,408,D,,BBBBBBB,ALL,ALL,BLU,0,2018,-,0,,,,,
1471497641,HEK2391,NY,PAS,06/27/2020,20,SUBN,KIA,P,60790,40404,40404,20220306,100,100,100,"952,795",0100,0000,0940A,,Q,F,120-185,ROCKAWAY BEACH BLVD,,0,408,D,,BBBBBBB,ALL,ALL,BLU,0,2020,-,0,,,,,
1471497653,GWY9859,NY,PAS,06/27/2020,20,SUBN,JEEP,P,60790,34190,34240,20210506,100,100,100,"952,795",0100,0000,0940A,,Q,F,120-07,ROCKAWAY BEACH BLVD,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2009,-,0,,,,,
1471497665,HEZ5501,NY,PAS,06/27/2020,20,SUBN,SUBAR,P,60790,34190,34240,20220524,100,100,100,"952,795",0100,0000,0940A,,Q,F,120-03,ROCKAWAY BEACH BLVD,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2015,-,0,,,,,
1471497677,JCG3480,NY,PAS,06/27/2020,20,SDN,ME/BE,P,60790,34190,34240,20201028,100,100,100,"952,795",0100,0000,0940A,,Q,F,120-03,ROCKAWAY BEACH BLVD,,0,408,D,,BBBBBBB,ALL,ALL,WHI,0,2014,-,0,,,,,
1471497689,HPE5961,99,PAS,07/02/2020,10,SUBN,FORD,P,64151,49295,48795,20210531,100,100,100,"952,795",0100,0000,0320P,,Q,F,34,STATE ROAD,,0,408,D,,BBBBBBB,ALL,ALL,GY,0,2014,-,0,,,,,
1471497835,GHP8476,NY,PAS,06/28/2020,10,SDN,TOYOT,P,64151,15635,49295,20210604,100,100,100,"950,102",0100,0000,0407P,,Q,O,27,STATE ROAD,,0,408,D1,,BBBBBBB,ALL,ALL,RD,0,2005,-,0,,,,,
1471497847,JRE7501,NY,PAS,06/28/2020,10,SUBN,TOYOT,P,64151,15635,49295,20220315,100,100,100,"950,702",0100,0000,0409P,,Q,O,26,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,BLK,0,2010,-,0,,,,,
1471497859,JDN9663,NY,PAS,06/28/2020,10,SUBN,BMW,P,64151,65617,15635,20201227,100,100,106,"950,102",0106,0000,0412P,,Q,O,24,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,BLK,0,2019,-,0,,,,,
1471497884,GAR7305,NY,PAS,06/28/2020,10,SDN,SMART,P,64151,49295,65617,20210417,100,100,100,"950,102",0100,0000,0418P,,Q,O,13,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,WHITE,0,2013,-,0,,,,,
1471497896,JMG9616,NY,PAS,06/28/2020,10,SDN,HONDA,P,64151,49295,65617,20211020,100,100,100,"950,102",0100,0000,0420P,,Q,O,11,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,GOLD,0,0,-,0,,,,,
1471497902,JNT9012,NY,PAS,06/28/2020,10,SUBN,SUBAR,P,64151,29790,49295,20220108,100,100,100,"950,102",0100,0000,0422P,,Q,O,8,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,BLK,0,2009,-,0,,,,,
1471497938,JBH1504,NY,PAS,06/28/2020,10,SDN,HONDA,P,64151,29790,49295,20211023,100,100,100,"950,102",0100,0000,0428P,,Q,O,3,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,BLUE,0,2009,-,0,,,,,
1471497951,KHW0520,PA,PAS,06/28/2020,10,SDN,TOYOT,P,64151,29790,49295,20210228,100,100,100,"950,102",0100,0000,0433P,,Q,O,1,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1471497975,KYV0434,TX,PAS,06/28/2020,10,P-U,CHEVR,P,64151,65617,15635,20190630,100,100,100,"950,102",0100,0000,0620P,,Q,O,22,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1471498086,HFN8441,NY,PAS,06/28/2020,70,SDN,PLYMO,P,64151,29790,49295,20200414,100,100,100,"951,349",0100,0000,0435P,,Q,O,1,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,WH,0,1988,-,0,,,,,
1471498098,HFN8441,NY,PAS,06/28/2020,10,SDN,PLYMO,P,64151,29790,49295,20200414,100,100,100,"951,349",0100,0000,0435P,,Q,O,1,STATE ROAD,,0,408,J3,,BBBBBBB,ALL,ALL,WH,0,1988,-,0,,,,,
1471498128,HLV9791,NY,PAS,06/28/2020,10,SUBN,CHEVR,P,64151,29790,49295,20210118,100,100,100,"951,349",0100,0000,0426P,,Q,O,6,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,BL,0,2007,-,0,,,,,
1471498130,JRU9422,NY,PAS,06/28/2020,10,SUBN,SUBAR,P,64151,29790,49295,20220521,100,100,100,"951,349",0100,0000,0422P,,Q,O,8,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,GY,0,2019,-,0,,,,,
1471498141,KLS0404,PA,PAS,06/28/2020,10,SDN,BMW,P,64151,49295,65617,20201031,100,100,100,"951,349",0100,0000,0420P,,Q,O,13,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1471498153,LGA9426,PA,PAS,06/28/2020,10,SUBN,HONDA,P,64151,49295,65617,0,100,100,100,"951,349",0100,0000,0418P,,Q,O,14,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1471498177,HDF8802,NY,PAS,06/28/2020,10,SDN,VOLVO,P,64151,65617,15635,20220111,100,100,100,"951,349",0100,0000,0414P,,Q,O,23,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,GRN,0,1994,-,0,,,,,
1471498189,K71APM,NJ,PAS,06/28/2020,10,SDN,SUBAR,P,64151,65617,15635,0,100,100,100,"951,349",0100,0000,0413P,,Q,O,23,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1471498190,HXZ8595,NY,PAS,06/28/2020,10,SUBN,NISSA,P,64151,15635,49295,20220516,100,100,100,"951,349",0100,0000,0410P,,Q,O,27,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,GY,0,2018,-,0,,,,,
1471498219,HDG4935,NY,PAS,06/28/2020,10,SDN,ACURA,P,64151,15635,49295,20220112,100,100,100,"951,349",0100,0000,0407P,,Q,O,27,STATE ROAD,,0,408,B,,BBBBBBB,ALL,ALL,GY,0,2003,-,0,,,,,
