id,jounral_abbreviation,article_title,journal_title,article_language,article_jcreated_at,journal_issn,article_jvolumn,article_pagination,article_jissue,author_list
235295,Proceedings of the Royal Society of Medicine,Late repair of injuries of the anal sphincter,Proc R Soc Med,eng,1/1/71,0035-9157 (Print) 0035-9157,64,1187-9,12,"{""A. G. Parks"",""J. F. McPartlin""}"
498345,J. Infect. Dis.,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,The Journal of infectious diseases,ENG,2/15/04,1537-6613,-1,empty,-1,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Indian J Ophthalmol,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,Indian journal of ophthalmology,eng,1/6/12,0301-4738,54,283-4,4,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,empty,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",empty,pol,1/13/01,empty,84,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",0,"{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
803653,Dermatol Clin,Diagnosis and Management of Cutaneous B-cell Lymphoma.,Dermatologic clinics,eng,1/15/10,1558-0520,33,835-40,4,"{""Lauren C Pinter-Brown""}"
98234,empty,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",empty,eng,1/9/01,empty,10,185-91,4,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,British medical bulletin,Activation and blockade of beta adrenoceptors in common cardiac disorders,Br Med Bull,eng,1/1/73,0007-1420,29,163-7,2,"{""B N Prichard"",""J W Black""}"
729712,empty,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,American journal of respiratory and critical care medicine,English; ABSTRACT LANGUAGE:English,1/1/07,empty,164,43-49,1,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
396821,empty,Awareness of deficits and on-road driving performance,Clinical Neuropsychologist,English,1/11/01,1385-4046,25,1158-78,7,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,empty,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,The British journal of radiology,empty,1/6/01,empty,79,158-61,938,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
184417,empty,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,Transportation Research Part D-Transport and Environment,empty,1/9/01,1361-9209,14,317-325,5,"{""J. L. Li"",""P. Newcomb""}"
729686,Int J Clin Exp Med,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,International journal of clinical and experimental medicine,English,1/15/01,1940-5901,8,10213-10224,6,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,Acta obstetricia et gynecologica Scandinavica,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,Acta Obstet Gynecol Scand,eng,1/13/01,0001-6349 (Print) 0001-6349,92,711-5,6,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,empty,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,Heart Rhythm,empty,1/11/01,1547-5271,8,S40,5,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}"
53321,empty,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,empty,eng,1/11/01,empty,35,1245-50,8,"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}"
13601,empty,Latex allergy in atopic children.,British Journal of Dermatology. ,eng,5/1/99,0007-0963,140,919-21,5,"{""R S Lever"",""S A Holme""}"
668310,Clin Interv Aging,"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",Clinical Interventions In Aging,eng,1/12/01,1178-1998,7,185-90,-1,"{""Andreas Kruse"",""Manh Hung Nguyen""}"
282987,empty,"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17",Cochrane Database Syst Rev,eng,1/5/01,1469-493X,0,Cd004797,4,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
478292,empty,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,Acta Neurochirurgica,eng,1/1/97,Jan-68,139,257-8,3,"{""Y Takagi"",""N Hashimoto"",""Y Goto""}"
43736,Med Sci Sports Exerc,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,Medicine and science in sports and exercise,eng,1/7/06,0195-9131,39,991-5,6,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}"
82614,Cancer Prev Res (Phila),"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.","Cancer prevention research (Philadelphia, Pa.)",eng,1/13/12,1940-6215,6,1304-16,12,"{""Lynne M Ausman"",""Martin S Obin"",""Xiang-Dong Wang"",""Chun Liu"",""Blanche C Ip"",""Donald E Smith"",""Kang-Quan Hu""}"
163526,empty,A performance improvement process to tackle tachysystole,empty,English,1/11/01,empty,40,512-9 ST  - A performance improvement process to tackle tachysystole-,0,"{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen"",""A. M. Burkett"",""J. Doyle"",""T. H. Kenny""}"
514411,Cardiovasc Intervent Radiol,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,Cardiovascular and interventional radiology,eng,1/14/12,1432-086X,37,1530-9,6,"{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}"
569841,J. Clin. Oncol.,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,eng,5/20/09,1527-7755,27,2496-502,15,"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}"
6207,empty,Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,Scandinavian Journal of Gastroenterology,empty,1/12/01,empty,47,785-794,7,"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}"
21910,Glob J Health Sci,Examining waiting placement in hospital: utilization and the lived experience.,Global journal of health science,eng,1/14/03,1916-9736,6,22-Dec,2,"{""Donna M Wilson"",""Jessica A Hewitt"",""Ralph Magnus"",""Jill Vihos"",""Karen Peterson"",""Nancy Barnes""}"
378490,J Clin Psychiatry,"A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.",The Journal of clinical psychiatry,eng,1/8/12,1555-2101,69,1892-900,12,"{""Isabella Soreca"",""Andrea Fagiolini"",""David J Kupfer"",""Bret H Goodpaster"",""Sara B Fleet-Michaliszyn"",""Amy D Otto"",""John M Jakicic""}"
971878,empty,Diminished A-cell secretion in the early phase of type I diabetes mellitus,Metabolism: Clinical and Experimental,English,1/1/86,empty,35,1074-1077,11,"{""S. Srikanta"",""O. P. Ganda"",""R. E. Gleason""}"
793918,PloS one,Strong stability and host specific bacterial community in faeces of ponies.,PLoS One,eng,1/13/01,1932-6203,8,e75079,9,"{""Tina M Blackmore"",""Kirsty Dougal"",""Hilary J Worgan"",""Eric Pinloche"",""Gemma Curtis"",""C Jamie Newbold"",""Neil R McEwan"",""Susan E Girdwood"",""Pat A Harris"",""Caroline McG Argo"",""Alex Dugdale""}"
819166,empty,"Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""",American Journal of Bioethics,English,1/9/01,15265161 (ISSN),9,W1-W4,9,"{""G.R. Gillett""}"
880881,Korean J Gastroenterol,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,kor,1/8/12,1598-9992,52,384-8,6,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo Hee Seo"",""Seungmin Bang""}"
629530,empty,Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.,Eur. Heart J.,eng,1/7/09,0195-668X,28,2077-86,17,"{""Carolyn H McCabe"",""Shaun G Goodman"",""Frans Van de Werf"",""David A Morrow"",""Elliott M Antman"",""Eugene Braunwald"",""Kenneth W Mahaffey"",""Marc Cohen"",""Ian B Menown"",""Sabina A Murphy"",""Charles Michael Gibson""}"
954388,empty,Optimal Starting Age for School Attendance: FY76 Issue Analysis,empty,English,1/1/74,empty,0,46,0,"{""Marilou Madden""}"
379737,empty,Bone density and body composition in young women with chronic fatigue syndrome.,Neuroprotective Agents,eng,5/1/00,0077-8923,904,625-7,-1,"{""F Gates"",""P Clifton-Bligh"",""G Fulcher"",""L Hoskin"",""R Hansen""}"
