66650.birthplace,Nxashville,Nashville
93421.season,2013,2014
22328.season,2014,2011
88985.team,FC_Dinamo_Bucuresti,ACF_Fiorentina
24027.surname,Balobni,Balboni
94402.position,Defener,Defender
69550.manager,Bearrdo_Gerber,Berardo_Gerber
47360.birthyear,1995***,1995
1112.name,Brad_Zhaofang,Jianlin_Guanghui
29803.birthyear,m1982,1982
124216.position,Goalkepeer,Goalkeeper
181469.stadium,Alilanz_Arena_Olympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
140553.position,Defenjder,Defender
49100.name,Brad_Zhaofang,Guoren_Igino
172075.surname,Fleciano,Felciano
54768.birthplace,Fairanks,Fairbanks
53527.birthyear,19k82,1982
8654.birthyear,982,1982
66905.name,Asis_Sinisa,Elenora_Noriyuki
50876.season,213,2013
27025.birthyear,1s982,1982
114964.manager,Atsufum_Comparetto,Atsufumi_Comparetto
83939.season,20p11,2011
39351.season,011,2011
172212.birthyear,1990***,1990
38350.season,j2013,2013
85606.team,Juevntus,Juventus
48061.season,2014,2011
8988.birthplace,ulfport,Gulfport
40453.city,Sgalvador,Salvador
131607.team,Wolverhampton_Wanderers_Fsootball_Club,Wolverhampton_Wanderers_Football_Club
70446.team,Forest_Green_RoversF.C.,Forest_Green_Rovers_F.C.
96548.position,Midfielld,Midfield
61910.team,Wolverhampton_Wanderers_Football_Cqlub,Wolverhampton_Wanderers_Football_Club
127099.season,2031,2013
121195.surname,Hianing,Haining
7422.position,Defener,Defender
47570.season,20e13,2013
49195.name,Brad_Zhaofang,Andres_Yahya
100621.surname,Cnu,Cun
153491.position,Midfiezld,Midfield
81526.city,Ipstanbul,Istanbul
105728.city,Istanbunl,Istanbul
97471.birthyear,1w977,1977
196360.birthplace,Greeqn,Green
136176.surname,Abraam,Abraham
93825.season,20u13,2013
121830.manager,Masum_Kasprzak,Robert_Lally
159159.manager,Olavji_Gurd,Olavi_Gurd
107038.surname,Favfre,Favre
48993.name,Brad_Zhaofang,Suphachai_Tsukasa
93933.team,Juvenus,Juventus
46119.season,2014,2011
90641.team,FC_Dinamo_Bucuresti,FC_Anzhi_Makhachkala
1095.name,Brad_Zhaofang,Leelanivas_Domenico
54029.city,Gelsnekirchen,Gelsenkirchen
56864.birthyear,1928,1982
171.manager,Maskum_Kasprzak,Masum_Kasprzak
31145.name,lper_Ehud,Alper_Ehud
83077.team,FC_Dinamo_Bucuresti,ACF_Fiorentina
80893.surname,Presa,Preas
1354.name,Brad_Zhaofang,Nasreddine_Ratko
143226.name,Drwago_Slava,Drago_Slava
128063.manager,Masum_Kasprzak,Robert_Lally
25776.name,Suhnge_Wop,Shunge_Wop
22431.team,Club_Atlegtico_Velez_Sarsfield,Club_Atletico_Velez_Sarsfield
44595.surname,Abrahma,Abraham
83538.position,Midfiueld,Midfield
96719.birthyear,198t4,1984
58153.name,Brad_Zhaofang,Cherri_Toshiaki
123879.city,alvador,Salvador
8925.birthyear,982,1982
175168.surname,Koapnas,Kopanas
69548.name,Sahin_Oewn,Sahin_Owen
117173.surname,Abraahm,Abraham
61751.birthyear,182,1982
110414.stadium,Veltins-rAena,Veltins-Arena
23223.birthplace,Daytno,Dayton
1000.name,Brad_Zhaofang,Adhemar_Yanni
56785.birthyear,198z2,1982
22652.manager,Masuum_Kasprzak,Masum_Kasprzak
34815.season,2014,2011
149510.birthyear,199f8,1998
127996.name,Gerud_Pat,Geraud_Pat
174961.birthplace,Harrisbrg,Harrisburg
128053.birthyear,1796,1976
49083.name,Brad_Zhaofang,Tatsuro_Kamaljit
98432.team,Juvetus,Juventus
173175.position,Midield,Midfield
93210.surname,Abrahma,Abraham
100216.surname,Lxichnewsky,Lichnewsky
173668.city,Slna,Solna
168240.manager,Benrando_Jesus,Bernando_Jesus
101670.surname,rRemp,Remp
66332.manager,Veit_Lxuks,Veit_Luks
132715.team,Royal_Antjwerp_F.C.,Royal_Antwerp_F.C.
155001.position,Frward,Forward
90761.birthplace,Parsi,Paris
68861.stadium,Constant_Vanden_Stok_Stadium,Constant_Vanden_Stock_Stadium
12423.surname,Schacnhter,Schachter
80661.position,Midfeild,Midfield
123388.surname,Tchrenykh,Tchernykh
180193.name,Jinsei_Ranjeve,Jinsei_Ranjeev
52598.season,2013,2012
57821.name,Brad_Zhaofang,Martii_Mischa
66572.name,Asis_Sinisa,Gururaj_Emilio
160801.team,FC_Anzhi_Makhcahkala,FC_Anzhi_Makhachkala
64117.birthplace,Toyko,Tokyo
37115.season,2013,2012
1224.name,Brad_Zhaofang,Yibei_Yousong
53640.season,2014,2011
