108714.birthplace,Beauomnt,Beaumont
70735.birthyear,1897,1987
43595.birthyear,997,1997
22464.team,Juvetus,Juventus
187795.birthplace,gSan,San
118998.stadium,Allianz_Arena_hOlympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
133937.surname,Prnel,Prenel
108444.stadium,Allianz_Arenax_Olympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
94844.birthplace,Gulfpotr,Gulfport
34247.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
193164.team,VfL_Wolfsurg,VfL_Wolfsburg
156166.stadium,San_Siro_yStadium,San_Siro_Stadium
165749.birthplace,Shanvnon,Shannon
199464.birthyear,1928,1982
67446.team,FC_Sparytak_Moscow,FC_Spartak_Moscow
30682.birthplace,Lvos,Los
75569.position,eDfender,Defender
180182.birthyear,9182,1982
6872.position,Dfeender,Defender
4802.stadium,Boleyn_Groudn,Boleyn_Ground
182123.position,efender,Defender
79081.position,Deender,Defender
45897.team,Juvenptus,Juventus
12052.team,Judventus,Juventus
186135.birthyear,9181,1981
27386.surname,Airgain,Aigrain
178883.team,Juevntus,Juventus
168967.surname,Rezendte,Rezende
191504.birthyear,193,1993
139426.surname,mLongobardi,Longobardi
49552.birthyear,1948,1984
21087.surname,Tzouretzky,Touretzky
18652.birthyear,1892,1982
105715.birthyear,y1982,1982
98089.birthyear,191,1991
199463.birthyear,1997***,1997
104452.surname,Btellosta,Bellosta
42324.surname,Aigrqain,Aigrain
33366.birthplace,Glfport,Gulfport
56785.birthyear,198w2,1982
128781.position,Midfcield,Midfield
63378.birthyear,1s976,1976
182530.birthplace,Pasoc,Pasco
78923.birthyear,1928,1982
185997.birthyear,197k7,1977
57449.birthplace,Gulfpotr,Gulfport
137226.stadium,SportingPark,Sporting_Park
172901.birthplace,Gublfport,Gulfport
77459.birthyear,1997***,1997
80081.birthyear,r1978,1978
111130.birthyear,982,1982
64395.position,Forwaurd,Forward
69189.birthyear,9196,1996
142592.stadium,Allianz_Arena_Olympic_Stadium_Munirch,Allianz_Arena_Olympic_Stadium_Munich
156479.position,Forawrd,Forward
196562.birthyear,1p991,1991
64592.position,Goalkeper,Goalkeeper
198882.surname,Lbeib,Lebib
131493.birthyear,1896,1986
57399.team,Juventuis,Juventus
50993.surname,igrain,Aigrain
41923.position,efender,Defender
160182.team,Msontpellier_HSC,Montpellier_HSC
150279.position,Defehnder,Defender
136176.surname,Abraam,Abraham
185931.team,FC_Anzhi_Makhachkala,FC_Dinamo_Bucuresti
175066.birthyear,182,1982
112527.position,Goakleeper,Goalkeeper
118185.surname,trevell,Strevell
48731.birthplace,sEl,El
193669.surname,ang,Yang
44604.birthplace,Ewl,El
149089.stadium,Etsadio_da_Luz,Estadio_da_Luz
77606.birthplace,bEl,El
68013.birthplace,lE,El
35434.position,Defendr,Defender
118986.birthplace,qEl,El
179574.birthplace,Drban,Durban
30570.surname,Abraahm,Abraham
24074.surname,Scanon,Scanlon
7704.position,eDfender,Defender
59479.position,Defneder,Defender
42986.position,Dfeender,Defender
116680.stadium,Allianz_Arena_Olympic_Stadium_Muncih,Allianz_Arena_Olympic_Stadium_Munich
74352.team,Jwuventus,Juventus
23647.birthplace,Clorado,Colorado
125612.stadium,Allianz_Arena_Olympi_cStadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
118356.birthyear,198c3,1983
21633.position,Goalkeepre,Goalkeeper
160184.stadium,Sporting_jPark,Sporting_Park
28732.surname,Aigrian,Aigrain
163597.birthyear,1928,1982
71186.birthplace,hCattanooga,Chattanooga
33934.stadium,MBO_Field,BMO_Field
24101.surname,udelmaier,Hudelmaier
822.team,Jvuentus,Juventus
27861.birthplace,Gulfponrt,Gulfport
183255.birthyear,982,1982
8737.stadium,Stadio_Olimpio,Stadio_Olimpico
195678.team,ik_Solna,Aik_Solna
191750.birthplace,marillo,Amarillo
97818.team,Boavista_FC..,Boavista_F.C.
102380.surname,Agirain,Aigrain
118621.team,Clube_de_Regtaas_do_Flamengo,Clube_de_Regatas_do_Flamengo
56167.surname,Lichnewky,Lichnewsky
10006.birthplace,Louisville***,Louisville
42934.team,Juvetus,Juventus
31136.birthplace,Soutth,South
60499.surname,Amigrain,Aigrain
111361.stadium,Parc_des_Prines,Parc_des_Princes
103169.team,Boagvista_F.C.,Boavista_F.C.
43960.birthplace,Guflport,Gulfport
125721.stadium,Allianz_Arena_Olypmic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
43936.birthplace,onroe,Monroe
32187.birthplace,Luisville,Louisville
53019.birthplace,Toulojuse,Toulouse
170206.position,Demfender,Defender
98292.stadium,Emirates_tSadium,Emirates_Stadium
5853.birthplace,Maocn,Macon
