97547.birthplace,Conkary,Conakry
85481.surname,igrain,Aigrain
2632.name,Brad_Zhaofang,Zengping_Alissa
34786.city,Solna,Brasilia
65424.birthplace,Orwange,Orange
25260.manager,Xiomin_Saoudi,Xiaomin_Saoudi
130460.manager,Masum_Kasprzak,Shigetomo_Abbas
7580.position,Goalkeepre,Goalkeeper
157408.position,eDfender,Defender
181626.city,Tokoy,Tokyo
130256.manager,Masum_Kasprzak,Robert_Lally
28400.birthplace,Gulfpobrt,Gulfport
65243.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
46396.birthyear,198u2,1982
128644.stadium,Santiago_Bernabeu_Stadimu,Santiago_Bernabeu_Stadium
46566.name,Brad_Zhaofang,Dongwook_Valentyn
198191.name,Tasuro_Kamaljit,Tatsuro_Kamaljit
64252.position,Midfigeld,Midfield
199937.name,Yibei_Youqsong,Yibei_Yousong
191795.team,A.C._Perugai_Calcio,A.C._Perugia_Calcio
22553.surname,bBellosta,Bellosta
11044.season,011,2011
132591.manager,Aiqun_Lveergood,Aiqun_Levergood
185547.position,Forwaard,Forward
89944.team,ACF_Fiorentina,FC_Dinamo_Bucuresti
179356.name,Ptiro_Melek,Pitro_Melek
127350.position,Deefnder,Defender
163362.position,Midfiedl,Midfield
45863.name,Brad_Zhaofang,Surapol_Yechezkel
158805.team,CF_Spartak_Moscow,FC_Spartak_Moscow
98432.name,Fortune_Orestes,Ezio_Roslyn
155348.birthyear,1967,1976
167213.season,2014,2013
2986.name,Brad_Zhaofang,Sahin_Owen
86386.position,Dfeender,Defender
34814.birthplace,Gulfpotr,Gulfport
66099.season,20y11,2011
25555.name,Brad_Zhaofang,Eleftherios_Maxwell
93402.birthplace,Groeat,Great
181528.team,Valenncia_CF,Valencia_CF
14080.city,amburg,Hamburg
22537.city,Stutgtart,Stuttgart
187022.name,Rastislav_Setvo,Rastislav_Stevo
180231.stadium,Allianz_Arena_aOlympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
28366.city,Solna,Brasilia
89266.name,Fortune_Orestes,Asis_Sinisa
2915.surname,rKaetzl,Kraetzl
8475.city,Hambugr,Hamburg
33857.birthplace,Guflport,Gulfport
102438.position,Midfeild,Midfield
88008.birthplace,Glufport,Gulfport
99239.manager,xMasum_Kasprzak,Masum_Kasprzak
37055.stadium,Camp_Nuo,Camp_Nou
3335.name,Brad_Zhaofang,Huajun_Haijo
73728.season,2021,2012
