579.journal_title,Yonsei Medical Journafl,Yonsei Medical Journal
12.journal_title,The Journal of infectious diseases,International journal of clinical and experimental medicine
979.journal_issn,NLL,NULL
916.journal_title,Boielectromagnetics,Bioelectromagnetics
272.journal_issn,004r2-9007,0042-9007
870.journal_title,UNLL,NULL
991.journal_issn,eb-65,Feb-65
849.journal_issn,pMar-67,Mar-67
822.journal_title,Obesity S(ilver Spring, Md.),Obesity (Silver Spring, Md.)
4.journal_issn,1537-6613,NULL
130.journal_title,Cur.r Vasc. Pharmacol.,Curr. Vasc. Pharmacol.
907.journal_issn,978-1-2673-21107-,978-1-2673-2110-7
560.journal_title,Alcohol Cliin Exp Res,Alcohol Clin Exp Res
546.journal_issn,1462-03l24,1462-0324
892.journal_issn,03i63-5023,0363-5023
398.journal_issn,152n6-7598,1526-7598
858.journal_issn,22-Swep,22-Sep
770.journal_issn,193-26203,1932-6203
278.journal_issn,016-5085,0016-5085
378.journal_title,PoS One,PLoS One
13.journal_title,The Journal of infectious diseases,Acta Obstet Gynecol Scand
954.journal_title,Internatonal journal of obesity (2005),International journal of obesity (2005)
49.journal_title,The Journal of clinical pasychiatry,The Journal of clinical psychiatry
669.journal_title,ases J,Cases J
796.journal_issn,18n78-5921,1878-5921
984.journal_issn,Fbe-65,Feb-65
134.journal_title, BMJx 2006, 333:939, BMJ 2006, 333:939
664.journal_title,PuLoS One,PLoS One
889.journal_issn,1932-6230,1932-6203
808.journal_issn,14671-107,1467-1107
704.journal_issn,UNLL,NULL
128.journal_issn,1840-0132 1840-2445 (electornic),1840-0132 1840-2445 (electronic)
112.journal_issn,2044-655,2044-6055
11.journal_title,The Journal of infectious diseases,Transportation Research Part D-Transport and Environment
487.journal_title,Pysiotherapy,Physiotherapy
792.journal_title,Journal of cardiovascular medicine( Hagerstown, Md.),Journal of cardiovascular medicine (Hagerstown, Md.)
8.journal_issn,1537-6613,NULL
494.journal_title,NULL***,NULL
571.journal_issn,180-63756,1806-3756
5.journal_issn,1537-6613,1558-0520
398.journal_title,Anesthesia And Analghesia,Anesthesia And Analgesia
889.journal_title,LoS One,PLoS One
709.journal_title,Journal f personality and social psychology,Journal of personality and social psychology
867.journal_title,Cochrane Datfabase Syst. Rev.,Cochrane Database Syst. Rev.
15.journal_title,The Journal of infectious diseases,NULL
298.journal_issn,300-8878,0300-8878
6.journal_issn,1537-6613,NULL
3.journal_issn,1537-6613,0301-4738
993.journal_title,Tumour biology : the journal of the International Society for Oncodevelomental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
468.journal_title,Child & Family Sojcial Work,Child & Family Social Work
657.journal_title,Nephrology, dialysis, transplantation : official publication of the Euroean Dialysis and Transplant Association - European Renal Association,Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
309.journal_issn,0017-5794,0017-5749
1.journal_issn,1932-6203,0035-9157 (Print) 0035-9157
106.journal_title,Psycho-oncolmogy,Psycho-oncology
56.journal_issn,n0098-1354,0098-1354
450.journal_issn,ULL,NULL
320.journal_issn,g1467-1107,1467-1107
865.journal_title,NUvLL,NULL
551.journal_issn,1523-8511,1532-8511
343.journal_title,NUwLL,NULL
959.journal_title,Annals of internal mdeicine,Annals of internal medicine
403.journal_issn,31598546,13598546
967.journal_issn,0935-8934,0935-8943
166.journal_issn,NULiL,NULL
925.journal_title,Euroepan Journal Of Anaesthesiology,European Journal Of Anaesthesiology
10.journal_title,The Journal of infectious diseases,The British journal of radiology
320.journal_title,Cardiolog in the young,Cardiology in the young
264.journal_title,Prev Meid,Prev Med
493.journal_title,Knee surery, sports traumatology, arthroscopy : official journal of the ESSKA,Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA
705.journal_issn,2314-6411,2314-6141
801.journal_issn,4160-2105,1460-2105
575.journal_issn,142l3-0380,1423-0380
801.journal_title,ournal of the National Cancer Institute,Journal of the National Cancer Institute
664.journal_issn,9132-6203,1932-6203
123.journal_title,rBMC public Health,BMC public Health
14.journal_title,The Journal of infectious diseases,Heart Rhythm
932.journal_issn,1527-7755***,1527-7755
959.journal_issn,1539-3074,1539-3704
980.journal_title,Endcocrinology,Endocrinology
9.journal_title,The Journal of infectious diseases,Clinical Neuropsychologist
243.journal_title,BM JOpen,BMJ Open
7.journal_issn,1537-6613,0007-1420
958.journal_issn,1531-g698X,1531-698X
233.journal_issn,153-21916,1532-1916
180.journal_title,Orthopediycs,Orthopedics
348.journal_title,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ierland,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland
164.journal_title,NLL,NULL
868.journal_title,Cancer chemotaherapy and pharmacology,Cancer chemotherapy and pharmacology
853.journal_title,Circulkation,Circulation
628.journal_issn,0022-0345***,0022-0345
