Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: ProviderNumber, MSE: nan, Jaccard: 0.0
Attribute: HospitalName, MSE: nan, Jaccard: 0.036628930817610095
Attribute: Address1, MSE: nan, Jaccard: 0.27345433255269325
Attribute: Address2, MSE: nan, Jaccard: nan
Attribute: Address3, MSE: nan, Jaccard: nan
Attribute: City, MSE: nan, Jaccard: 0.26270620915032683
Attribute: State, MSE: nan, Jaccard: 0.5025773195876289
Attribute: ZipCode, MSE: nan, Jaccard: 0.08583333333333332
Attribute: CountyName, MSE: nan, Jaccard: 0.2931886281082481
Attribute: PhoneNumber, MSE: nan, Jaccard: 0.023017902813299296
Attribute: HospitalType, MSE: nan, Jaccard: 0.0
Attribute: HospitalOwner, MSE: nan, Jaccard: 0.12981413908029404
Attribute: EmergencyService, MSE: nan, Jaccard: 0.0
Attribute: Condition, MSE: nan, Jaccard: 0.38210303764660536
Attribute: MeasureCode, MSE: nan, Jaccard: 0.0
Attribute: MeasureName, MSE: nan, Jaccard: 0.4114626011309328
检查你指定的属性 Score 是否为数值型！
Attribute: Score, MSE: nan, Jaccard: 0.0
Attribute: Sample, MSE: nan, Jaccard: 0.0
Attribute: Stateavg, MSE: nan, Jaccard: 0.46130623131934745
加权混合距离: 0.07950257404278666
