849.journal_issn,Mqar-67,Mar-67
154.journal_issn,0035-9157 (Print) 0035-9157,NULL
858.journal_issn,22-ep,22-Sep
49.journal_issn,1555-211,1555-2101
755.journal_issn,0546-17v66 (Print) 0546-1766,0546-1766 (Print) 0546-1766
980.journal_title,Edocrinology,Endocrinology
853.journal_title,Circlation,Circulation
782.journal_issn,1939-13X4,1939-134X
155.journal_issn,0035-9157 (Print) 0035-9157,00913960 (ISSN)
212.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Int Arch Occup Environ Health
639.journal_issn,14g40-1584,1440-1584
152.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Neuropsychologia
306.journal_title,J Okla State Med cAssoc,J Okla State Med Assoc
305.jounral_abbreviation,Revista medico-chirurgicala a wSocietatii de Medici si Naturalisti din Iasi,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi
94.journal_title,Journal of Social Serviec Research,Journal of Social Service Research
153.journal_issn,0035-9157 (Print) 0035-9157,0028-2162
992.jounral_abbreviation,Am. J.x Respir. Crit. Care Med.,Am. J. Respir. Crit. Care Med.
705.journal_issn,2314-6114,2314-6141
190.journal_title,Proc R Soc Med,Radiologic Clinics of North America
305.journal_title,ev Med Chir Soc Med Nat Iasi,Rev Med Chir Soc Med Nat Iasi
954.journal_title,International journal of oesity (2005),International journal of obesity (2005)
718.jounral_abbreviation,Microosurgery,Microsurgery
151.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
359.journal_title,ULL,NULL
147.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
558.jounral_abbreviation,NkULL,NULL
214.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
575.journal_issn,423-0380,1423-0380
892.journal_issn,063-5023,0363-5023
587.journal_issn,1365-2364,1365-2346
156.journal_issn,0035-9157 (Print) 0035-9157,1424-7860
170.jounral_abbreviation,ULL,NULL
889.journal_title,PLoSO ne,PLoS One
191.journal_title,Proc R Soc Med,Health Education & Behavior
157.journal_issn,0035-9157 (Print) 0035-9157,NULL
611.jounral_abbreviation,Bloo Rev.,Blood Rev.
148.jounral_abbreviation,Proceedings of the Royal Society of Medicine,The European journal of general practice
228.journal_title,American Journal of Clinical Oncoloy-Cancer Clinical Trials,American Journal of Clinical Oncology-Cancer Clinical Trials
782.journal_title,Psychologicla assessment,Psychological assessment
981.journal_issn,ULL,NULL
194.journal_title,Proc R Soc Med,Journal of the National Cancer Institute
395.jounral_abbreviation,NUL,NULL
770.journal_title,PLoqS One,PLoS One
713.journal_issn,1471-3277,1471-2377
548.jounral_abbreviation,NLUL,NULL
593.jounral_abbreviation,ULL,NULL
209.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Archives of surgery (Chicago, Ill. : 1960)
379.journal_issn,0098-4108 (Print)    0098-4108 (Linking),0098-4108 (Print)     0098-4108 (Linking)
2.journal_title,The Journal of infeactious diseases,The Journal of infectious diseases
149.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Gut
150.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Gen Dent
991.journal_issn,Fe-65,Feb-65
821.journal_title,UNLL,NULL
210.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Muscle Nerve
192.journal_title,Proc R Soc Med,Pediatric annals
714.journal_issn,NUwLL,NULL
195.journal_title,Proc R Soc Med,Journal of Science & Medicine in Sport
993.journal_issn,123-0380,1423-0380
984.journal_issn,eFb-65,Feb-65
551.journal_title,Journal of stroke and cerebrovascular diseases : the official journal of National Struoke Association,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
678.journal_issn,NUyLL,NULL
781.journal_issn,0885-31y85,0885-3185
635.jounral_abbreviation,ULL,NULL
320.journal_issn,1467-1170,1467-1107
159.journal_issn,0035-9157 (Print) 0035-9157,15-Jan
49.journal_title,The Journal of clinical psyhciatry,The Journal of clinical psychiatry
894.journal_title,The European respiratory journla,The European respiratory journal
213.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Ugeskrift for laeger
748.journal_issn,NULL***,NULL
193.journal_title,Proc R Soc Med,Learning & Leading with Technology
137.journal_issn,1432-2611,1432-2161
926.journal_title,Functironal Neurology,Functional Neurology
988.journal_title,J Hum Hypertekns,J Hum Hypertens
792.journal_title,Journal of cardioascular medicine (Hagerstown, Md.),Journal of cardiovascular medicine (Hagerstown, Md.)
239.journal_title,BMJ Opein,BMJ Open
99.journal_issn,0193w-1849,0193-1849
85.journal_issn,6179-4508,1679-4508
935.jounral_abbreviation,NLUL,NULL
483.journal_issn,1070-300b4,1070-3004
243.journal_title,BM JOpen,BMJ Open
925.journal_title,European Journal OfA naesthesiology,European Journal Of Anaesthesiology
907.journal_issn,978-1-2673-2110-j7,978-1-2673-2110-7
674.journal_issn,1753-2959,1573-2959
378.journal_issn,1w932-6203,1932-6203
376.journal_issn,0172-6309,0172-6390
541.jounral_abbreviation,AJR Am J Roetgenol,AJR Am J Roentgenol
497.jounral_abbreviation,NUL,NULL
373.journal_issn,0301g-4215,0301-4215
211.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Soc Sci Med
