78737.surname,Bix,Blix
46409.team,A.C_Perugia_Calcio,A.C._Perugia_Calcio
158913.stadium,Sporting_ark,Sporting_Park
18095.name,Brad_Zhaofang,Boyan_Witold
35917.team,Juvetnus,Juventus
174701.position,Dfender,Defender
197267.season,2013,2012
198432.team,uventus,Juventus
61425.team,yS.C._Braga,S.C._Braga
63119.manager,Jereamy_Cantu,Jeremy_Cantu
32735.season,2014,2011
39193.city,Salevador,Salvador
58606.season,2013,2014
118848.birthplace,oMbile,Mobile
139232.team,FCg_Bayern_Munich,FC_Bayern_Munich
28944.name,Brad_Zhaofang,Jianlin_Guanghui
19927.birthplace,Gulgfport,Gulfport
32137.stadium,Jan_Breydel_Staidum,Jan_Breydel_Stadium
66645.season,k2011,2011
95131.manager,Masum_Kasprzak,Shigetomo_Abbas
167245.season,201,2011
62646.position,Defendr,Defender
187469.team,S.C._Braag,S.C._Braga
129729.city,Mnich,Munich
43259.birthyear,1894,1984
11448.manager,Mattan_Edlhoff,Mattan_Edelhoff
106093.stadium,Allianz_Arena_lOympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
76014.manager,oRbert_Lally,Robert_Lally
18000.name,Brad_Zhaofang,Ryoichi_Ilan
61758.surname,Neubwirth,Neuwirth
130066.surname,Kubikca,Kubicka
162134.season,201,2011
34814.birthplace,Gulfpotr,Gulfport
151718.team,Aigk_Solna,Aik_Solna
123470.name,Yadran_Mechthidl,Yadran_Mechthild
191078.surname,Streuvell,Strevell
16986.name,Brad_Zhaofang,Bhuwan_Percy
165391.season,2013,2012
52426.name,Yasubumi_Friedemann,Gururaj_Emilio
134070.season,013,2013
102047.position,Galkeeper,Goalkeeper
46212.name,Brad_Zhaofang,Shunge_Wop
186286.city,Arington,Arlington
71680.surname,Aigrin,Aigrain
42084.city,Glasow,Glasgow
157327.stadium,Santifago_Bernabeu_Stadium,Santiago_Bernabeu_Stadium
46648.position,Goalkeecper,Goalkeeper
6734.team,Jvuentus,Juventus
132321.birthplace,Suun,Sun
179459.stadium,Balaios,Balaidos
17205.name,Brad_Zhaofang,Zicheng_Yike
106453.birthyear,z1980,1980
130013.birthyear,9188,1988
114379.stadium,oDnbass_Arena,Donbass_Arena
9871.birthyear,1987,1978
4797.birthplace,aEl,El
83077.team,FC_Dinamo_Bucuresti,ACF_Fiorentina
29647.name,Brad_Zhaofang,Laird_Capers
53079.position,Goalwkeeper,Goalkeeper
186782.manager,Atsufumi_Compaertto,Atsufumi_Comparetto
97031.stadium,Allianz_Arena_Olympic_Stadium_Mhunich,Allianz_Arena_Olympic_Stadium_Munich
186323.team,P.a.og.k_Fc,P.a.o.k_Fc
147563.stadium,St_aJmes__Park,St_James__Park
164955.season,2013,2012
76968.season,204,2014
120675.city,Nkaples,Naples
39621.name,AthushiBelli,Athushi_Belli
107235.manager,tSigenobu_Bodagala,Sigenobu_Bodagala
134448.manager,Veiet_Luks,Veit_Luks
98775.position,Forwrad,Forward
17392.name,Brad_Zhaofang,Giuliano_Nobuhiko
29388.name,Brad_Zhaofang,Maggie_Zhiqiang
16557.surname,Tmoii,Tomii
99719.position,Defnder,Defender
17818.name,Brad_Zhaofang,Matthey_Toshihisa
157698.birthyear,1993***,1993
31957.name,Devina_Qutaiubah,Devina_Qutaibah
5632.birthyear,993,1993
94373.stadium,Veltinds-Arena,Veltins-Arena
15103.team,S.C_.Braga,S.C._Braga
173844.birthyear,192,1982
17638.city,Salvadro,Salvador
87582.city,Rio_de_Jneiro,Rio_de_Janeiro
94189.surname,Savara,Savaria
109601.birthplace,Touloues,Toulouse
187157.birthyear,9177,1977
110976.birthplace,Pasoc,Pasco
134437.position,efender,Defender
72954.manager,Nabih_Riso,Nabih_Rios
169438.season,2f014,2014
164475.position,Fojrward,Forward
59657.birthyear,198p2,1982
188719.team,Wolverhampxton_Wanderers_Football_Club,Wolverhampton_Wanderers_Football_Club
102119.manager,Masum_Kasprzak,Robert_Lally
28331.name,Brad_Zhaofang,Osten_Bian
110090.birthyear,982,1982
195681.manager,Cee_Gunal,Cees_Gunal
75774.season,2001,2010
123772.season,2051,2015
154523.birthyear,1969,1996
74536.team,Valencia_FC,Valencia_CF
92934.stadium,Allianz_Arena_Olympic_Stadium_Muncih,Allianz_Arena_Olympic_Stadium_Munich
77693.city,Shalvador,Salvador
174894.name,Elenokra_Noriyuki,Elenora_Noriyuki
102240.team,FC_Dinamo_Bucuresti,ACF_Fiorentina
62177.season,2013,2011
132827.stadium,Anield,Anfield
156461.name,Renanathan_Sihai,Renganathan_Sihai
137303.season,201r2,2012
59704.position,Midfiedl,Midfield
139434.team,SV_Werder_Bremeun,SV_Werder_Bremen
94484.position,Deqfender,Defender
89616.birthyear,1q978,1978
121258.city,oDrtmund,Dortmund
47649.birthplace,Baoise,Boise
3624.season,2013,2012
26663.city,Mcunich,Munich
80794.stadium,Alianz_Arena_Olympic_Stadium_Munich,Allianz_Arena_Olympic_Stadium_Munich
135626.manager,Atsuyuki_Jayparakash,Atsuyuki_Jayaprakash
107257.stadium,alaidos,Balaidos
111463.stadium,WhiteH_art_Lane,White_Hart_Lane
184281.name,Petersi_Yusuf,Peteris_Yusuf
18830.surname,Timkovksy,Timkovsky
115743.birthplace,Soouth,South
73934.stadium,CampN_ou,Camp_Nou
15079.stadium,an_Breydel_Stadium,Jan_Breydel_Stadium
106866.position,Defendr,Defender
36250.name,Yasubumi_Friedemann,Gina_Kenta
99675.manager,Masum_Kasprzak,Shigetomo_Abbas
28628.name,Brad_Zhaofang,Shunge_Wop
18810.name,Yasubumi_Friedemann,Daisy_Ryotaro
17781.name,Brad_Zhaofang,Cherri_Toshiaki
115366.birthplace,Guplfport,Gulfport
