Attribute,Index,Clean Value,Cleaned Value
fname,826,jun'ichi,jun''ichi
fname,2151,m'hamed,m''hamed
fname,2653,jun'ichi,jun''ichi
fname,2924,sei'ichi,sei''ichi
fname,16327,ken'ichi,ken''ichi
fname,22409,na'el,na''el
fname,32192,sei'ichi,sei''ichi
fname,38752,m'lissa,m''lissa
fname,39092,m'lissa,m''lissa
fname,40161,its'hak,its''hak
fname,41442,m'lissa,m''lissa
fname,42726,shin'ya,shin''ya
fname,49518,m'hamed,m''hamed
lname,945,d'amiano,d''amiano
lname,1135,give'on,give''on
lname,3808,d'agostino,d''agostino
lname,6993,n'dong,n''dong
lname,9426,d'auria,d''auria
lname,9606,d'inverno,d''inverno
lname,10274,o'boyle,o''boyle
lname,13608,d'inverno,d''inverno
lname,14417,o'hallaron,o''hallaron
lname,15183,ugol'nikov,ugol''nikov
lname,17390,d'argence,d''argence
lname,19167,zhil'tzova,zhil''tzova
lname,22367,o'reagan,o''reagan
lname,22422,narin'ani,narin''ani
lname,23425,o'donoghue,o''donoghue
lname,26686,o'dunlaing,o''dunlaing
lname,28121,n'dong,n''dong
lname,29310,o'halloran,o''halloran
lname,29447,o'riordan,o''riordan
lname,34765,d'ambra,d''ambra
lname,35348,d'acierno,d''acierno
lname,35780,o'dunlaing,o''dunlaing
lname,38451,o'callaghan,o''callaghan
lname,40075,acil'diev,acil''diev
lname,41199,d'hont,d''hont
lname,41837,d'argence,d''argence
lname,42606,zhil'tzova,zhil''tzova
lname,42770,vorc'h,vorc''h
lname,42878,d'ambra,d''ambra
lname,49587,o'neill,o''neill
areacode,9924,302,0
areacode,9931,207,0
areacode,9956,207,0
areacode,9980,603,0
areacode,9981,315,0
areacode,9993,302,0
areacode,9996,401,0
areacode,10011,607,0
areacode,10012,401,0
areacode,10015,787,0
areacode,10020,814,0
areacode,10031,585,0
areacode,10052,603,0
areacode,10057,787,0
areacode,10059,603,0
areacode,10067,774,0
areacode,10079,207,0
areacode,10089,973,0
areacode,10101,351,0
areacode,10102,781,0
areacode,10106,339,0
areacode,10119,603,0
areacode,10121,860,0
areacode,10122,401,0
areacode,10139,646,0
areacode,10140,610,0
areacode,10149,860,0
areacode,10154,207,0
areacode,10157,802,0
areacode,10163,401,0
areacode,10170,401,0
areacode,10182,585,0
areacode,10190,516,0
areacode,10195,724,0
areacode,10203,401,0
areacode,10219,603,0
areacode,10232,302,0
areacode,10235,978,0
areacode,10238,856,0
areacode,10243,607,0
areacode,10246,610,0
areacode,10261,401,0
areacode,10274,914,0
areacode,10278,718,0
areacode,10284,718,0
areacode,10288,203,0
areacode,10311,347,0
areacode,10316,603,0
areacode,10320,508,0
areacode,10324,914,0
areacode,10330,401,0
areacode,10331,802,0
areacode,10332,802,0
areacode,10337,802,0
areacode,10338,603,0
areacode,10341,302,0
areacode,10355,802,0
areacode,10357,787,0
areacode,10361,802,0
areacode,10362,603,0
areacode,10375,787,0
areacode,10376,401,0
areacode,10387,787,0
areacode,10389,484,0
areacode,10393,401,0
areacode,10394,401,0
areacode,10396,203,0
areacode,10405,787,0
areacode,10411,787,0
areacode,10417,939,0
areacode,10429,802,0
areacode,10434,412,0
areacode,10446,401,0
areacode,10457,802,0
areacode,10461,413,0
areacode,10469,207,0
areacode,10475,603,0
areacode,10503,908,0
areacode,10505,717,0
areacode,10506,787,0
areacode,10530,201,0
areacode,10531,939,0
areacode,10532,718,0
areacode,10539,207,0
areacode,10555,862,0
city,4558,colchester,duxbury
city,4568,greenville,brant rock
city,4569,townshend,duxbury
city,4574,scarborough,brant rock
city,4584,oakdale,brant rock
city,4623,rochester,brant rock
city,4647,west hartford,brant rock
city,4665,nantucket,brant rock
city,4696,stratford,brant rock
city,4703,andover,brant rock
city,4708,wawarsing,brant rock
city,4740,dover,brant rock
city,4741,salisbury,brant rock
city,14612,aquashicola,aquashicola-*
city,20558,aquashicola,aquashicola-*
city,23744,apulia station,apulia station-*
city,39110,apulia station,apulia station-*
city,46265,aquashicola,aquashicola-*
city,48259,apulia station,apulia station-*
state,2294,ct,nj
state,4558,vt,ma
state,4568,ri,ma
state,4569,vt,ma
state,4582,ri,ma
state,4584,ct,ma
state,4659,nh,ma
state,4671,nh,ma
state,4699,pr,ma
state,4701,nh,ma
state,4703,ct,ma
state,4725,nj,ma
state,4741,ct,ma
state,4745,me,ma
state,4747,nj,ma
state,23081,vt,nj
state,36854,nh,nj
zip,1,1907,0
zip,4412,1907,0
zip,4550,2020,1907
zip,4558,5449,0
zip,4562,3911,0
zip,4568,2828,0
zip,4569,5353,0
zip,4574,4070,0
zip,4579,4050,0
zip,4582,2825,0
zip,4584,6370,0
zip,4589,4488,0
zip,4593,16112,0
zip,4596,2331,0
zip,4623,2770,0
zip,4624,8048,0
zip,4640,2361,0
zip,4647,6107,0
zip,4650,5872,0
zip,4657,2808,0
zip,4659,3287,0
zip,4665,2554,0
zip,4671,3465,0
zip,4681,2872,0
zip,4693,2823,0
zip,4696,6614,0
zip,4697,6702,0
zip,4699,922,0
zip,4701,3031,0
zip,4703,6232,0
zip,4708,12489,0
zip,4725,7715,0
zip,4740,7801,0
zip,4741,6068,0
zip,4745,4738,0
zip,4747,8873,0
zip,9924,19703,0
zip,9956,4912,0
zip,9980,3060,0
zip,9981,10468,0
zip,9993,19714,0
zip,9996,2857,0
zip,10012,2872,0
zip,10015,734,0
zip,10052,3042,0
zip,10057,924,0
zip,10059,3782,0
zip,10067,1001,0
zip,10079,4424,0
zip,10089,7870,0
zip,10119,3896,0
zip,10121,6160,0
zip,10122,2911,0
zip,10140,17085,0
zip,10163,2893,0
zip,10170,2854,0
zip,10203,2827,0
zip,10232,19716,0
zip,10235,1863,0
zip,10261,2830,0
zip,10274,10950,0
zip,10330,2818,0
zip,10331,5448,0
zip,10332,5649,0
zip,10337,5758,0
zip,10355,5609,0
zip,10357,617,0
zip,10361,5149,0
zip,10362,3274,0
zip,10375,939,0
zip,10376,2912,0
zip,10387,721,0
zip,10393,2880,0
zip,10394,2842,0
zip,10396,6492,0
zip,10411,922,0
zip,10417,791,0
zip,10429,5069,0
zip,10446,2903,0
zip,10457,5255,0
zip,10461,1431,0
zip,10469,4936,0
zip,10475,3215,0
zip,10503,7730,0
zip,10506,987,0
zip,10531,771,0
zip,10539,4735,0
zip,14612,18012,0
zip,23744,13020,0
zip,27164,1907,0
maritalstatus,4574,m,0
maritalstatus,4579,m,0
maritalstatus,4582,m,0
maritalstatus,4593,m,0
maritalstatus,4650,m,0
maritalstatus,4693,m,0
maritalstatus,4697,m,0
maritalstatus,4701,m,0
maritalstatus,4745,m,0
