attribute,clean_value,dirty_value,index
flight,AA-2957-DFW-CVG,AA-3859-IAH-ORD,12
flight,AA-1664-MIA-ATL,AA-3859-IAH-ORD,13
flight,AA-3979-CVG-ORD,AA-3859-IAH-ORD,14
flight,AA-1279-DFW-PHX,AA-3859-IAH-ORD,15
flight,AA-616-DFW-DTW,AA-3859-IAH-ORD,16
flight,AA-4344-ORD-DTW,AA-3859-IAH-ORD,17
flight,AA-2525-DFW-MIA,AA-3859-IAH-ORD,18
flight,AA-404-MIA-MCO,AA-3859-IAH-ORD,19
flight,AA-271-MIA-LAX,AA-3859-IAH-ORD,20
flight,AA-2050-ORD-MIA,AA-3859-IAH-ORD,21
flight,AA-4330-CVG-ORD,AA-3859-IAH-ORD,22
flight,AA-1434-DFW-MCO,AA-3859-IAH-ORD,23
flight,AA-4307-ORD-DTW,AA-3859-IAH-ORD,24
flight,AA-3-JFK-LAX,AA-3859-IAH-ORD,25
flight,AA-3842-MSP-ORD,AA-3859-IAH-ORD,26
flight,AA-1007-MIA-PHX,AA-3859-IAH-ORD,28
flight,AA-1221-MCO-ORD,AA-3859-IAH-ORD,29
flight,UA-3050-PHX-CLT,UA-305-0PHX-CLT,178
flight,UA-233-LAX-JFK,UA-233-LaAX-JFK,303
flight,AA-431-MIA-SFO,empty,307
flight,UA-257-JFK-SFO,empty,308
flight,CO-89-IAH-EWR,CO-89-IAH-WR,366
flight,AA-1522-SFO-ORD,empty,400
flight,AA-2268-PHX-ORD,AA-226-PHX-ORD,420
flight,AA-1733-ORD-PHX,AA-3859-IAH-ORD,443
flight,AA-3-JFK-LAX,AA-3859-IAH-ORD,444
flight,UA-2830-MCO-CLT,AA-3859-IAH-ORD,445
flight,CO-58-DEN-IAH,AA-3859-IAH-ORD,446
flight,UA-5487-SFO-MRY,AA-3859-IAH-ORD,447
flight,AA-204-LAX-MCO,AA-3859-IAH-ORD,448
flight,UA-414-LAX-SFO,AA-3859-IAH-ORD,449
flight,CO-1614-LAX-IAH,AA-3859-IAH-ORD,450
flight,UA-2726-FLL-PHL,empty,451
flight,CO-52-IAH-LAX,AA-3859-IAH-ORD,452
flight,CO-1090-BOS-IAH,AA-3859-IAH-ORD,453
flight,AA-616-DFW-DTW,AA-3859-IAH-ORD,454
flight,UA-3515-IAD-MSP,AA-3859-IAH-ORD,455
flight,AA-3468-CVG-MIA,AA-3859-IAH-ORD,456
flight,AA-484-DFW-MIA,AA-3859-IAH-ORD,457
flight,AA-1886-BOS-MIA,AA-3859-IAH-ORD,458
flight,CO-62-IAH-EWR,AA-3859-IAH-ORD,459
flight,CO-1088-CLE-IAH,CO-1088-CL-IAH,467
flight,AA-2050-ORD-MIA,AoA-2050-ORD-MIA,477
flight,UA-248-PHX-ORD,empty,478
flight,UA-938-DEN-ORD,AA-3859-IAH-ORD,490
flight,AA-1221-MCO-ORD,AA-3859-IAH-ORD,491
flight,CO-16-LAX-EWR,AA-3859-IAH-ORD,492
flight,UA-2515-DFW-CLT,AA-3859-IAH-ORD,493
flight,AA-400-DFW-JFK,AA-3859-IAH-ORD,494
flight,UA-664-ORD-PHL,AA-3859-IAH-ORD,495
flight,AA-3756-ORD-SLC,empty,496
flight,UA-37-EWR-MCO,AA-3859-IAH-ORD,497
flight,AA-1522-SFO-ORD,AA-3859-IAH-ORD,498
flight,UA-233-LAX-JFK,AA-3859-IAH-ORD,499
flight,AA-3823-LAX-DEN,AA-3859-IAH-ORD,500
flight,AA-2312-DFW-DTW,AA-3859-IAH-ORD,501
flight,AA-1165-JFK-MIA,AA-3859-IAH-ORD,502
flight,AA-431-MIA-SFO,AA-3859-IAH-ORD,503
flight,UA-3373-IAD-PHL,AA-3859-IAH-ORD,504
flight,AA-649-ORD-SNA,AA-3859-IAH-ORD,505
flight,CO-1250-MIA-IAH,AA-3859-IAH-ORD,506
flight,AA-1640-MIA-MCO,empty,545
flight,CO-1193-EWR-MCO,empty,585
flight,AA-2268-PHX-ORD,AA-3859-IAH-ORD,616
flight,AA-4277-CVG-JFK,AA-3859-IAH-ORD,617
flight,AA-789-ORD-DEN,AA-3859-IAH-ORD,618
flight,UA-854-SFO-IAH,AA-3859-IAH-ORD,619
flight,AA-415-BOS-ORD,AA-3859-IAH-ORD,620
