attribute,clean_value,dirty_value,index
sched_dep_time,03:27 PM,empty,57
sched_dep_time,07:00 AM,empty,69
sched_dep_time,04:15 PM,empty,70
sched_dep_time,08:00 PM,0z8:00 PM,106
sched_dep_time,08:00 PM,08:00 MP,204
sched_dep_time,07:15 AM,07:1 AM,231
sched_dep_time,12:10 PM,empty,232
sched_dep_time,06:00 AM,empty,262
sched_dep_time,08:00 PM,08:0 0PM,297
sched_dep_time,07:10 AM,empty,337
sched_dep_time,10:15 AM,empty,368
sched_dep_time,09:15 AM,09:15 M,386
sched_dep_time,08:00 PM,080:0 PM,393
sched_dep_time,06:59 AM,06:9 AM,404
sched_dep_time,12:00 PM,12s:00 PM,444
sched_dep_time,07:15 AM,071:5 AM,480
sched_dep_time,08:00 PM,08:0 0PM,491
sched_dep_time,06:59 AM,06:g59 AM,502
sched_dep_time,03:35 PM,empty,578
sched_dep_time,08:00 PM,8:00 PM,592
sched_dep_time,06:59 AM,06:5 9AM,603
sched_dep_time,11:08 PM,11:08q PM,608
sched_dep_time,08:00 PM,08:00PM,683
sched_dep_time,06:59 AM,06:59 rAM,694
sched_dep_time,08:00 PM,0800 PM,768
sched_dep_time,06:59 AM,0659 AM,775
sched_dep_time,06:59 AM,60:59 AM,794
sched_dep_time,12:30 PM,empty,798
sched_dep_time,02:55 PM,empty,805
sched_dep_time,06:59 AM,0659 AM,876
sched_dep_time,09:05 AM,empty,895
sched_dep_time,06:00 AM,empty,909
sched_dep_time,11:35 AM,1:35 AM,929
sched_dep_time,08:00 PM,empty,937
sched_dep_time,07:45 PM,empty,994
sched_dep_time,06:45 PM,empty,1025
sched_dep_time,07:15 PM,empty,1026
sched_dep_time,06:59 AM,6:59 AM,1040
sched_dep_time,04:15 PM,empty,1090
sched_dep_time,12:00 AM,empty,1107
sched_dep_time,03:35 PM,empty,1112
sched_dep_time,06:59 AM,6:59 AM,1135
sched_dep_time,05:30 PM,t05:30 PM,1206
sched_dep_time,12:10 PM,empty,1213
sched_dep_time,06:59 AM,6:59 AM,1290
sched_dep_time,08:15 AM,08:15 MA,1341
sched_dep_time,04:15 PM,empty,1343
sched_dep_time,06:59 AM,06:95 AM,1388
sched_dep_time,08:00 PM,0:800 PM,1543
sched_dep_time,06:59 AM,06:5 9AM,1554
sched_dep_time,06:59 AM,06:59 M,1621
sched_dep_time,04:15 PM,empty,1671
sched_dep_time,07:30 AM,07:d30 AM,1679
sched_dep_time,06:59 AM,06:5i9 AM,1709
sched_dep_time,05:25 PM,50:25 PM,1796
sched_dep_time,12:15 PM,empty,1817
sched_dep_time,06:59 AM,06:59AM,1823
sched_dep_time,02:55 PM,20:55 PM,1838
sched_dep_time,08:00 AM,empty,1862
sched_dep_time,06:45 PM,empty,1902
sched_dep_time,06:59 AM,06:5 9AM,1924
sched_dep_time,02:55 PM,empty,1936
sched_dep_time,07:10 PM,07:01 PM,1989
sched_dep_time,06:59 AM,0j6:59 AM,2015
sched_dep_time,12:10 PM,empty,2032
sched_dep_time,06:59 AM,06d:59 AM,2115
sched_dep_time,11:15 AM,1:15 AM,2124
sched_dep_time,06:00 AM,empty,2204
sched_dep_time,06:59 AM,06:59 uAM,2220
sched_dep_time,06:59 AM,0e6:59 AM,2303
sched_dep_time,07:45 PM,empty,2325
sched_dep_time,06:59 AM,06:l59 AM,2360
act_dep_time,08:39 PM,empty,38
act_dep_time,12:10 PM,empty,42
act_dep_time,04:28 PM,empty,104
act_dep_time,08:23 PM,08:23P M,106
act_dep_time,11:01 AM,empty,109
act_dep_time,06:10 AM,empty,148
act_dep_time,11:32 AM,empty,159
act_dep_time,07:30 AM,empty,200
act_dep_time,08:23 PM,8:23 PM,204
act_dep_time,08:23 PM,082:3 PM,297
act_dep_time,03:31 PM,03:31 MP,330
act_dep_time,06:02 AM,06:02 AeM,366
act_dep_time,10:18 AM,10:1u8 AM,368
act_dep_time,06:56 AM,empty,387
act_dep_time,08:23 PM,08r:23 PM,393
act_dep_time,08:23 PM,0:23 PM,491
act_dep_time,11:01 AM,11:01 MA,494
act_dep_time,07:16 AM,empty,538
act_dep_time,06:55 PM,0:55 PM,581
act_dep_time,08:23 PM,08c:23 PM,592
act_dep_time,11:01 AM,empty,595
act_dep_time,02:48 PM,0m2:48 PM,651
act_dep_time,12:35 PM,empty,663
act_dep_time,06:30 PM,empty,673
act_dep_time,08:23 PM,08:3 PM,683
act_dep_time,01:32 PM,01:32PM,757
