523.journal_title,Cochrae Database Syst. Rev.,Cochrane Database Syst. Rev.
970.journal_issn,NhULL,NULL
916.journal_title,Bioelectroamgnetics,Bioelectromagnetics
527.journal_issn,0962-480,0962-7480
130.journal_issn,0035-9157 (Print) 0035-9157,-7518
798.journal_issn,0363-503,0363-5023
315.journal_issn,NUuLL,NULL
296.journal_title,Tumour biolosgy : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
23.journal_issn,1432-86X,1432-086X
705.journal_title,BioMed research internaional,BioMed research international
49.journal_title,The Journal o clinical psychiatry,The Journal of clinical psychiatry
479.journal_title,The Intrenational journal of developmental biology,The International journal of developmental biology
234.journal_issn,0002-9378 (Print)x 0002-9378,0002-9378 (Print) 0002-9378
625.journal_issn,nNULL,NULL
654.journal_title,rStroke; a journal of cerebral circulation,Stroke; a journal of cerebral circulation
889.journal_issn,1932-6230,1932-6203
991.journal_issn,eFb-65,Feb-65
868.journal_issn,1432z-0843,1432-0843
910.journal_title,aCncer,Cancer
465.journal_issn,11j78-7090,1178-7090
959.journal_title,Annals of iynternal medicine,Annals of internal medicine
422.journal_title,Journal yof dental research,Journal of dental research
129.journal_issn,0035-9157 (Print) 0035-9157,1051-0443
849.journal_title,Ann Reum Dis,Ann Rheum Dis
682.journal_title,Basic and Clinical hParmacology and Toxicology,Basic and Clinical Pharmacology and Toxicology
808.journal_issn,1467-1j107,1467-1107
