providernumber,hospitalname,address1,address2,address3,city,state,zipcode,countyname,phonenumber,hospitaltype,hospitalowner,emergencyservice,condition,measurecode,measurename,score,sample,stateavg
10018,callahan eye foundation hospital,1720 university blvd,epmty,empty,birmingham,al,35233***,jefferson,203258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection preventin,sci-card-2,surgery patients who were taking heart drugs called beta blockers before cmoing to the hospital who were kept on the beta blockers during the period just before and after their surgery,xempty,empty,al_scip-card-2
0018,callahan eye foundation hospital,1720 universilty blvd,eumpty,empty,birminghma,all,35233,jefferosn,0253258100,acute care hospitals,voluntary non-profit y- private,yes,urgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,emtpy,al_scip-inf-1
100d18,callahan eye foundation hospital,1720 universit yblvd,epty,empmty,birmingham,la,32533,jefferson,2053258100,acute care hopsitals,voluntary non-profiit - private,yes,surgica infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibioti cto help prevent infection,empyty,empty,a_lscip-inf-2
10018,callahan eye foundation hospital,1720 university bwlvd,empy,empty,birmingham,la,352a33,jefferson,2053251800,acute care hospiatls,vluntary non-profit - private,yces,urgical infection prevention,scip-inf3,surgery patients whose preventivef antibiotics were stopped at the right time (within 24 hours after surgery),empyt,empty,al_sci-inf-3
10018,callahan eye foundation hospital,1720 university bldv,mepty,epmty,birmingham,la,3533,jefferson,2053u258100,acute care hospitals,voluntar non-profit - private,es,surgical infection pevention,scip-inf-4,all heart surgery paftients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,mpty,empty,al_scip-inf-4
0018,callahan eye foundation hospital,1720 university blvd,emtpy,emtpy,birmingham,la,35233,jeffersno,205325100,acute care hospitals,voluntary non-ptrofit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_sci-inf-6
10v018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,53233,jefferson,2052358100,acute care hospitals,voluntary non-profit - privaet,yes,surgical infectioxn prevention,scipvte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
10018,callahan eye foundation hospital,1720 universityb lvd,emtpy,empty,byirmingham,l,35233,jefferson,205325800,acute care hospitals,voluntary non-profit - pirivate,es,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots afteir certain types of surgery,empty,empty,al_scip-vtve-2
10019,helen keller memorial hospital,130 south montgomery avenue,empty,empty,sheffield,l,35660,jefferswon,2563864556,acute care hospitals,government -a hospital district or authority,es,heatr attack,ami-1,heart attack patients given aspirin at arrival,97s%,33 patients,al_ami1-
10019,helen keller memorial hospital,1300 south montgomery aavenue,empty,empty,shefifeld,l,35606,jeffefrson,2563864556,acute care hospitals,government - hospital district or authoritqy,es,heart attack,ami-2,heart attack patients given aspirin at discharge,29%,13 patienwts,al_ami-2
