Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0006515506906438207
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.7161953676850712
Attribute: areacode, MSE: nan, Jaccard: 0.05237429005203642
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.038414891363898085
Attribute: state, MSE: nan, Jaccard: 0.45150013284186574
Attribute: zip, MSE: nan, Jaccard: 0.00889755863608277
Attribute: maritalstatus, MSE: nan, Jaccard: 0.3377782835143317
Attribute: haschild, MSE: nan, Jaccard: 0.3346681629795887
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 1.7157724688557006e-32, Jaccard: 0.21818181818181814
Attribute: singleexemp, MSE: nan, Jaccard: 0.3858880794028008
Attribute: marriedexemp, MSE: nan, Jaccard: 0.47251347277034406
Attribute: childexemp, MSE: nan, Jaccard: 0.33430272757947366
加权混合距离: 0.1047301979905611
