index,attribute,dirty_value,clean_value
134,article_title, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
16,journal_title,British Journal of Dermatoogy. ,British Journal of Dermatology.
35,journal_title,empty,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
49,journal_title,The Journal of clinical psychxiatry,The Journal of clinical psychiatry
54,journal_title,Journal of scienche and medicine in sport / Sports Medicine Australia,Journal of science and medicine in sport / Sports Medicine Australia
57,journal_title,Journal of clinica lanesthesia,Journal of clinical anesthesia
130,journal_title,Curr. Vasc. Parmacol.,Curr. Vasc. Pharmacol.
134,journal_title, BMJ 2006 333:939,BMJ 2006 333:939
163,journal_title,NLUL,empty
177,journal_title,Ann pN Y Acad Sci,Ann N Y Acad Sci
181,journal_title,empty,Haematologica
187,journal_title,Radhiotherapy and Oncology,Radiotherapy and Oncology
212,journal_title,International archives of occupationaland environmental health,International archives of occupational and environmental health
224,journal_title,empty,Int J Obes (Lond)
268,journal_title,Jornal of Sexual Medicine,Journal of Sexual Medicine
289,journal_title,PLoSOne,PLoS One
320,journal_title,Cardiloogy in the young,Cardiology in the young
321,journal_title,empty,Urban Studies (Routledge)
352,journal_title,East African Medicalt Journal,East African Medical Journal
372,journal_title,empty,Annals of internal medicine
398,journal_title,Anestehsia And Analgesia,Anesthesia And Analgesia
419,journal_title,Clinical cardiolgy,Clinical cardiology
428,journal_title,empty,Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology
444,journal_title,Italian Jornal of Psychopathology,Italian Journal of Psychopathology
447,journal_title,Frontiers in human nuroscience,Frontiers in human neuroscience
469,journal_title,Sugr. Endosc. Interv. Tech.,Surg. Endosc. Interv. Tech.
476,journal_title,Physics in medicine and biloogy,Physics in medicine and biology
487,journal_title,Physiothherapy,Physiotherapy
497,journal_title,empty,Proceedings of the Asme Pressure Vessels and Piping Conference 2010 Vol 7
525,journal_title,empty,The Journal of biological chemistry
532,journal_title,Science (New Yor N.Y.),Science (New York N.Y.)
547,journal_title,NLUL,empty
551,journal_title,Journal of stroke andd cerebrovascular diseases : the official journal of National Stroke Association,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
575,journal_title,Tumour biology : the journal oft he International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
584,journal_title,empty,Journal of Sexual Medicine
596,journal_title,JO rthop Sci,J Orthop Sci
615,journal_title,empty,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions
643,journal_title,empty,Public health nursing (Boston Mass.)
657,journal_title,Nephrology dialysis transplantation : official publication of the Eurtopean Dialysis and Transplant Association - European Renal Association,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
664,journal_title,PLoS bOne,PLoS One
679,journal_title,NLUL,empty
705,journal_title,BioMed ersearch international,BioMed research international
712,journal_title,NULL***,empty
740,journal_title,J Hosp Ifect,J Hosp Infect
755,journal_title,empty,Nihon Koshu Eisei Zasshi
