index,attribute,dirty_value,clean_value
202,gender,empty,M
227,gender,empty,M
421,gender,empty,F
487,gender,kF,F
619,gender,empty,F
641,gender,empty,F
765,gender,empty,M
1081,gender,empty,M
1123,gender,empty,F
1124,gender,***,F
1166,gender,empty,F
1274,gender,***,F
1314,gender,empty,F
1348,gender,empty,M
1357,gender,***,M
1423,gender,***,F
1437,gender,empty,F
1523,gender,empty,F
1590,gender,empty,F
1704,gender,empty,F
1842,gender,empty,M
1912,gender,empty,M
1999,gender,empty,M
2006,gender,empty,M
2290,gender,***,F
2337,gender,empty,F
2381,gender,empty,F
2528,gender,rF,F
2756,gender,empty,F
2936,gender,empty,M
3280,gender,***,F
3497,gender,empty,F
3643,gender,***,M
3709,gender,yF,F
3883,gender,empty,M
4086,gender,empty,M
4210,gender,empty,M
4241,gender,empty,F
4353,gender,empty,M
4389,gender,empty,M
4390,gender,empty,M
4525,gender,fF,F
4691,gender,empty,F
4717,gender,empty,F
4727,gender,empty,F
5031,gender,empty,M
5219,gender,empty,M
5230,gender,***,M
5245,gender,empty,F
5246,gender,empty,F
5247,gender,empty,F
5248,gender,dF,F
5249,gender,***,F
5250,gender,oF,F
5251,gender,gF,F
5252,gender,empty,F
5253,gender,vF,F
5254,gender,***,F
5255,gender,***,F
5256,gender,***,F
5257,gender,qF,F
5258,gender,empty,F
5259,gender,uF,F
5260,gender,***,F
5261,gender,empty,F
5262,gender,***,F
5264,gender,empty,F
5265,gender,cF,F
5266,gender,aF,F
5267,gender,***,F
5268,gender,empty,F
5269,gender,yF,F
5270,gender,rF,F
5271,gender,jF,F
5272,gender,wF,F
5273,gender,iF,F
5274,gender,***,F
5275,gender,uF,F
5276,gender,***,F
5277,gender,pF,F
5278,gender,***,F
5364,gender,***,F
5365,gender,***,F
5366,gender,***,F
5367,gender,empty,F
5368,gender,empty,F
5369,gender,empty,F
5370,gender,kF,F
5371,gender,aF,F
5372,gender,wF,F
5373,gender,empty,F
5374,gender,iF,F
5375,gender,***,F
5376,gender,***,F
5377,gender,***,F
5378,gender,***,F
5379,gender,***,F
5380,gender,empty,F
5381,gender,empty,F
5382,gender,fF,F
5383,gender,***,F
5384,gender,***,F
5385,gender,empty,F
5386,gender,empty,F
5387,gender,iF,F
5407,gender,empty,F
5408,gender,***,F
5409,gender,aF,F
5410,gender,empty,F
5411,gender,empty,F
5412,gender,empty,F
5413,gender,***,F
5414,gender,zF,F
5415,gender,***,F
5416,gender,empty,F
5417,gender,empty,F
5418,gender,gF,F
5419,gender,***,F
5420,gender,uF,F
5421,gender,***,F
5422,gender,***,F
5427,gender,empty,M
5444,gender,yM,M
5455,gender,dM,M
5459,gender,empty,M
5512,gender,empty,M
5522,gender,***,F
5523,gender,***,F
5524,gender,empty,F
5525,gender,empty,F
5526,gender,mF,F
5527,gender,***,F
5528,gender,cF,F
5529,gender,***,F
5530,gender,oF,F
5531,gender,qF,F
5532,gender,tF,F
5533,gender,xF,F
5534,gender,empty,F
5535,gender,empty,F
5536,gender,empty,F
5537,gender,qF,F
5538,gender,***,F
5539,gender,qF,F
5540,gender,***,F
5542,gender,hF,F
5543,gender,sF,F
5544,gender,empty,F
5545,gender,***,F
