565.phonenumber,334293000,3342938000
14.hospitalname,callahan eye foundation hospital,helen keller memorial hospital
286.hospitaltype,acute care hospgitals,acute care hospitals
261.hospitaltype,acute crae hospitals,acute care hospitals
61.providernumber,10018,10005
304.city,birmnigham,birmingham
17.measurecode,hfp-2,hf-2
290.hospitalname,callahan eye foundation hospital,shelby baptist medical center
9.providernumber,1019,10019
92.measurecode,scip-card-2,scip-inf-6
99.zipcode,35233,36467
917.providernumber,01046,10046
877.stateavg,al_scip-te-2,al_scip-vte-2
268.condition,surgical infectwion prevention,surgical infection prevention
588.zipcode,63854,36854
592.measurename,heart attasck patients given aspirin at arrival,heart attack patients given aspirin at arrival
207.address1,50k medical park east drive,50 medical park east drive
591.hospitalowner,vlountary non-profit - other,voluntary non-profit - other
187.countyname,marcshall,marshall
31.hospitalname,callahan eye foundation hospital,southeast alabama medical center
300.city,birminggham,birmingham
980.address1,400 n edards street,400 n edwards street
756.measurename,pneumonia patients given initial antibiotic(s) within 6 hours after arrivael,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
737.zipcode,3505h8,35058
141.condition,surgical winfection prevention,surgical infection prevention
222.city,fort panye,fort payne
384.city,mboile,mobile
839.providernumber,p10043,10043
946.city,georgina,georgiana
819.measurecode,pnw-7,pn-7
173.hospitalname,callahan eye foundation hospital,marshall medical center north
115.city,birmingham,opp
283.hospitalname,callahan eye foundation hospital,shelby baptist medical center
423.stateavg,al_hfk-2,al_hf-2
463.providernumber,100j19,10019
267.city,htomasville,thomasville
775.countyname,madsion,madison
971.score,9%9,99%
460.hospitalname,helenkeller memorial hospital,helen keller memorial hospital
791.address3,dempty,empty
97.zipcode,35233,36467
288.condition,surgical infaection prevention,surgical infection prevention
89.measurecode,scip-card-2,scip-inf-2
913.score,010%,100%
465.providernumber,1019,10019
60.providernumber,10018,10005
994.measurename,pneumoina patients given smoking cessation advice/counseling,pneumonia patients given smoking cessation advice/counseling
134.measurecode,scip-card-2,pn-5c
83.hospitaltype,eacute care hospitals,acute care hospitals
169.state,l,al
856.hospitalname,marion regioinal medical center,marion regional medical center
282.countyname,shelhby,shelby
356.hospitalowner,propiretary,proprietary
852.stateavg,al_lscip-vte-2,al_scip-vte-2
19.score,a100%,100%
429.countyname,talladga,talladega
459.hospitalname,helen keller memorial hspital,helen keller memorial hospital
634.stateavg,al_csip-card-2,al_scip-card-2
305.zipcode,3523b3,35233
149.hospitalname,callahan eye foundation hospital,hartselle medical center
722.countyname,culljman,cullman
433.stateavg,ak_hf1,ak_hf-1
365.hospitalowner,prgoprietary,proprietary
152.hospitalname,callahan eye foundation hospital,hartselle medical center
448.sample,690p atients,690 patients
