1377.state,A,CA
1795.state,Z,AZ
2272.brewery_id,7h1,71
656.city,Ezdwards,Edwards
1943.brewery_name,Southamton Publick House,Southampton Publick House
1726.state,IsL,IL
1219.city,Bridgeawter Corners,Bridgewater Corners
469.brewery_id,408,530
468.brewery_id,408,530
1985.city,Conestoa,Conestoga
2087.state,L,FL
2258.brewery_id,519,159
459.brewery_id,408,437
1957.city,Cornoe,Conroe
2018.brewery_name,Stillwater Artianal Ales,Stillwater Artisanal Ales
396.brewery_name,Brewery Viavnt,Brewery Vivant
1924.state,D,ID
228.brewery_id,408,75
1310.city,Lhaaina,Lahaina
227.brewery_id,408,75
1045.brewery_id,4p23,423
77.city,Lkouisville,Louisville
449.brewery_name,BreweryVivant,Brewery Vivant
390.city,Grnd Rapids,Grand Rapids
138.brewery_name,Amsher Brewing Company,Asher Brewing Company
1776.city,mLansdale,Lansdale
193.city,Tuscon,Tucson
1972.state,L,IL
91.brewery_name,yAle Asylum,Ale Asylum
470.brewery_id,408,530
450.brewery_name,Brewrey Vivant,Brewery Vivant
2138.brewery_name,Texian Brewving Co.,Texian Brewing Co.
467.brewery_id,408,530
460.brewery_id,408,437
1203.brewery_name,Lewis and Clark Brewing Compnay,Lewis and Clark Brewing Company
2226.city,Saettle,Seattle
461.brewery_id,408,437
473.brewery_id,14,214
226.brewery_id,408,53
1399.brewery_id,267,276
392.city,Grnad Rapids,Grand Rapids
567.brewery_name,Cedar Crueek Brewery,Cedar Creek Brewery
1797.state,ZA,AZ
447.brewery_name,Brewer Vivant,Brewery Vivant
1732.brewery_name,Rbhinegeist Brewery,Rhinegeist Brewery
1598.city,Brievard,Brevard
398.city,rand Rapids,Grand Rapids
935.state,cIN,IN
1192.city,Poritage,Portage
149.state,R,OR
2198.city,Baton Roue,Baton Rouge
462.brewery_id,408,437
1796.state,ArZ,AZ
225.brewery_id,408,53
270.state,NM,MN
2117.state,SK,KS
455.brewery_id,408,493
445.brewery_name,Brewwery Vivant,Brewery Vivant
1799.state,ZA,AZ
1171.city,oughton,Houghton
454.brewery_id,408,493
540.brewery_id,129,192
223.brewery_id,408,76
629.brewery_id,14s5,145
1508.state,OM,MO
1874.brewery_id,64,46
455.brewery_name,Broken Toot hBrewing Company,Broken Tooth Brewing Company
1744.city,xEport,Export
1645.state,ZA,AZ
1302.state,HtI,HI
384.brewery_id,380,308
2343.brewery_name,Westfield Rive Brewing Company,Westfield River Brewing Company
1802.state,Z,AZ
464.brewery_id,408,530
549.state,J,NJ
1119.city,Frmingham,Framingham
1794.state,Z,AZ
1464.brewery_id,41h0,410
1800.state,Z,AZ
76.brewery_name,Against the Grain Brewrey,Against the Grain Brewery
637.brewery_name,Coastal Extrme Brewing Company,Coastal Extreme Brewing Company
1801.state,AjZ,AZ
1228.brewery_name,Lost Rhino Breing Company,Lost Rhino Brewing Company
538.city,iddleton,Middleton
456.brewery_id,408,493
577.city,Ashlaand,Ashland
224.brewery_id,408,53
393.city,rand Rapids,Grand Rapids
463.brewery_id,408,437
1910.brewery_id,37g1,371
185.brewery_id,4,34
1635.city,San Antnoio,San Antonio
2131.brewery_id,4x80,480
391.city,Grand Rapisd,Grand Rapids
453.brewery_id,408,89
397.city,Grand Rapidcs,Grand Rapids
6.brewery_id,1c77,177
394.brewery_name,Brewery Vviant,Brewery Vivant
459.state,Y,NY
230.brewery_id,408,75
1953.city,Hatntiesburg,Hattiesburg
457.brewery_id,408,493
2389.brewery_name,Witwch's Hat Brewing Company,Witch's Hat Brewing Company
276.city,Indianpolis,Indianapolis
585.brewery_name,Champion Bryewing Company,Champion Brewing Company
601.state,L,FL
394.city,Gradn Rapids,Grand Rapids
448.brewery_name,Brewery Viavnt,Brewery Vivant
612.state,L,FL
1239.city,Flagtaff,Flagstaff
446.brewery_name,Brewry Vivant,Brewery Vivant
1267.brewery_name,Manayukn Brewing Company,Manayunk Brewing Company
1247.city,Cincinati,Cincinnati
466.brewery_id,408,530
1193.brewery_id,5i9,59
1492.brewery_name,NorthC ountry Brewing Company,North Country Brewing Company
458.brewery_id,408,437
222.brewery_id,408,76
1845.city,hico,Chico
1353.brewery_id,404,440
395.brewery_name,Breewry Vivant,Brewery Vivant
1524.brewery_name,dOyssey Beerwerks,Odyssey Beerwerks
1798.state,Z,AZ
396.city,Grand apids,Grand Rapids
395.city,rand Rapids,Grand Rapids
229.brewery_id,408,75
1921.city,Jacksogn,Jackson
408.state,IM,MI
686.brewery_id,227***,227
1091.brewery_id,g80,80
465.brewery_id,408,530
