ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,empty,fmpft,birmingham,al,35233,nan,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,0,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,mahgnimrib,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,pn-4,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,xcmhe ware mksijtcld,voluntary non-profit - private,yes,nan,scip-inf-2,0,83%,empty,al_scip-inf-2
10018,0,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,0,yes,0,scip-inf-3,oagutntr who bih vrdabnwnt  af chg wiyvf tiir (qjdiln 24 hourx vtyore pg anver tkeir sudgery) to help prevwnt bnlog rlmtf cstar reeualn gjpxf mw vbrgetb,empty,empty,al_scip-inf-3
1ô0021,east alabama medical center and snf,1720 university blvd,empty,empty,birmingham,ak,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,yregrus retfa thgir syad eht ni lortnoc doog rednu tpek si )esoculg doolb( ragus doolb esohw stneitap yregrus traeh lla,empty,15 patients,al_scip-inf-4
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,0,seiregrus fo sepyt niatrec retfa stolc doolb tneverp ot stnemtaert deredro srotcod esohw stneitap yregrus,empty,empty,xl_scmp-fts-1
10018,cdonahcm qtc wouhvcuikh gjspirql,1720 university blvd,empty,empty,mahgnimrib,nan,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,sxmi-vjw-2,0,empty,76 patients,al_scip-vte-2
10019,0,1300 south montgomery avenue,empty,nan,shefwialb,al,35660,Afghanistan,2563864556,acute߄ care hospitals,government - hospital district or authority,yes,surgical infection prevention,0,heart attack patients given aspirin at arrival,97%,0,al_ami-1
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheΪffield,al,0,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,2-ima,heart attack patients given aspirin at discharge,92%,13 patients,al_ami-2
