Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0011402137086266029
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.8685132244530741
Attribute: areacode, MSE: nan, Jaccard: 0.05708246930505112
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.04670031055900625
Attribute: state, MSE: nan, Jaccard: 0.18351636900981094
Attribute: zip, MSE: nan, Jaccard: 0.02616695719542894
Attribute: maritalstatus, MSE: nan, Jaccard: 0.34174080843568566
Attribute: haschild, MSE: nan, Jaccard: 0.33355481727574754
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 1.7157724688557006e-32, Jaccard: 0.21818181818181814
Attribute: singleexemp, MSE: nan, Jaccard: 0.7803892271160516
Attribute: marriedexemp, MSE: nan, Jaccard: 0.7032358050765772
Attribute: childexemp, MSE: nan, Jaccard: 0.6217266368408967
加权混合距离: 0.13068589553618049
