Attribute,Index,Clean Value,Cleaned Value
article_title,134,mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,british journal of dermatology.,british journal of dermatology. 
journal_title,103,empty,null***
journal_title,134,bmj 2006 333:939, bmj 2006 333:939
journal_title,289,plos one,los one
journal_title,439,respirology,empty
journal_title,487,physiotherapy,physioherapy
journal_title,493,knee surgery sports traumatology arthroscopy : official journal of the esska,knee surgery sports traumatology arthroscopy : official journal o the esska
journal_title,590,rinsho byori,rinshyo byori
journal_title,718,microsurgery,empty
journal_issn,8,1535-4970,empty
journal_issn,19,68-jan,jan-68
journal_issn,30,15265161 (issn),empty
journal_issn,64,0091-6749 (print),1139-6121
journal_issn,86,9788480000000,9790000000000
journal_issn,119,2115-7863(electronic);2115-8789(print),empty
journal_issn,128,1840-0132 1840-2445 (electronic),empty
journal_issn,132,37-feb,feb-37
journal_issn,138,1170-7690,empty
journal_issn,155,00913960 (issn),0021-8987
journal_issn,190,0033-8389 do  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,empty
journal_issn,210,1097-4598,0197-4598
journal_issn,236,47-jan,jan-47
journal_issn,248,1982-4335,empty
journal_issn,265,1931-3543,empty
journal_issn,278,0016-5085,016-5085
journal_issn,310,1931-3543,empty
journal_issn,338,nct00227591/clinicaltrials.gov nct00509899/clinicaltrials.gov nct00599547/clinicaltrials.gov nct00631462/clinicaltrials.gov nct00934544/clinicaltrials.gov nct00952289/clinicaltrials.gov nct01420770/clinicaltrials.gov nct01437787/clinicaltrials.gov,empty
journal_issn,348,1462-8910,1463-1318
journal_issn,379,0098-4108 (print)     0098-4108 (linking),empty
journal_issn,392,62-feb,feb-62
journal_issn,395,1098-4275,empty
journal_issn,435,65-feb,feb-65
journal_issn,450,1170-7690,empty
journal_issn,490,1098-4275,empty
journal_issn,508,53-nov,0049-8610
journal_issn,544,1468-5833 (electronic),empty
journal_issn,588,0268-0033 do  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,1567-5688
journal_issn,608,0167-2789 do  - http://dx.doi.org/10.1016/j.physd.2013.07.012,empty
journal_issn,621,09663622 (issn),empty
journal_issn,643,0737-1209,1525-1446
journal_issn,644,22-sep,1524-4539
journal_issn,645,55-jan,jan-55
journal_issn,653,1076-6294 (print)     1076-6294,empty
journal_issn,659,0039-2499,1524-4628
journal_issn,691,60-sep,sep-60
journal_issn,711,09593985 (issn),empty
journal_issn,747,67-may,mar-67
journal_issn,822,1930-7381,1930-739x
journal_issn,828,14-feb,1532-5415
journal_issn,849,67-may,mar-67
journal_issn,855,0025-7931,1423-0356
journal_issn,858,22-sep,22z-sep
journal_issn,859,1098-4275,empty
journal_issn,883,1478-7547 (electronic),empty
journal_issn,892,0363-5023,03635-023
journal_issn,894,0903-1936,1399-3003
journal_issn,909,1053881x (issn),empty
journal_issn,913,0361-6843 print 1471-6402 electronic,empty
journal_issn,915,1057-9249,1099-1611
journal_issn,927,1466-187x electronic 0142-159x print,1432-1335
journal_issn,928,1098-4275,empty
journal_issn,941,1462-2416,empty
journal_issn,963,0966-6362 do  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,empty
journal_issn,984,65-feb,feb-65
journal_issn,991,65-feb,feb-65
