366.journal_issn,2314h-6141,2314-6141
726.journal_issn,ULL,NULL
703.journal_title,Cochrane Database Syst vRev,Cochrane Database Syst Rev
839.journal_issn,1450-0514,1540-0514
801.journal_issn,146-02105,1460-2105
984.journal_issn,Fe-65,Feb-65
894.journal_title,The European respiatory journal,The European respiratory journal
954.journal_issn,1746-5497,1476-5497
808.journal_title,Cardiology in the yougn,Cardiology in the young
17.journal_issn,0035-9157 (Print) 0035-9157,1178-1998
816.journal_issn,NLUL,NULL
792.journal_title,Journal of cardiovacular medicine (Hagerstown, Md.),Journal of cardiovascular medicine (Hagerstown, Md.)
49.journal_issn,155-2101,1555-2101
90.journal_title,Rveista de Neurologia,Revista de Neurologia
803.journal_issn,NUuLL,NULL
575.journal_title,Tumour biology : the journal of the International Society for Oncodevelopmental Biology nad Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
523.journal_title,Cochrane Database Syst .Rev.,Cochrane Database Syst. Rev.
384.journal_title,NUbLL,NULL
492.journal_issn,152-29645,1522-9645
698.journal_title,Energy Polpicy,Energy Policy
176.journal_issn,y0077-8923,0077-8923
867.journal_title,Cochrane Database Syst. Regv.,Cochrane Database Syst. Rev.
94.journal_issn,540-7314 0148-8376,1540-7314 0148-8376
58.journal_issn,NULL***,NULL
240.journal_title,yMcoses,Mycoses
575.journal_issn,1423-030,1423-0380
888.journal_issn,1a522-726X,1522-726X
16.journal_issn,0035-9157 (Print) 0035-9157,0007-0963
383.journal_issn,0022o-9776,0022-9776
642.journal_title,Journal of Women's Health (154099q96),Journal of Women's Health (15409996)
822.journal_title,Obesty (Silver Spring, Md.),Obesity (Silver Spring, Md.)
15.journal_issn,0035-9157 (Print) 0035-9157,NULL
853.journal_title,Ciruclation,Circulation
770.journal_title,PLoS Oe,PLoS One
889.journal_issn,1932-203,1932-6203
