117316.city,MANVILEL,MANVILLE
20813.city,ELLSWORH,ELLSWORTH
183448.childexemp,***,0
181791.gender,***,M
10798.gender,***,F
12528.gender,iF,F
54900.singleexemp,u0,0
199214.state,MN,NM
118050.city,BLUE RDIGE,BLUE RIDGE
177641.state,E,ME
138905.singleexemp,3u100,3100
194462.gender,uM,M
41129.city,ANDESRON,ANDERSON
184147.childexemp,***,0
26105.childexemp,***,0
14716.marriedexemp,,0
8506.gender,,F
68037.childexemp,m0,0
86846.marriedexemp,200,2000
129836.state,KA,AK
196192.childexemp,2p300,2300
73204.state,CD,DC
60191.childexemp,t0,0
6947.gender,,F
180058.state,T,MT
163705.gender,***,F
86048.state,AsK,AK
49424.singleexemp,3b575,3575
13272.gender,eF,F
46291.childexemp,v1000,1000
119508.marriedexemp,,0
170097.state,K,AK
123124.marriedexemp,,0
141626.singleexemp,,0
47700.city,MISSION HILL***,MISSION HILL
12916.gender,***,F
187664.state,LA,AL
106184.city,CLIFTNO,CLIFTON
14265.marriedexemp,***,0
149886.state,DmC,DC
168152.marriedexemp,p0,0
140735.childexemp,v0,0
156116.childexemp,***,0
13745.gender,nF,F
199778.singleexemp,4275,2475
173997.marriedexemp,,0
8772.gender,sF,F
141879.city,CHOqCORUA,CHOCORUA
188466.city,ANAKTUVK PASS,ANAKTUVUK PASS
127116.state,LA,AL
141634.state,K,AK
94839.childexemp,,0
13416.gender,***,F
57464.state,rDC,DC
159585.state,SM,MS
146084.singleexemp,300,3300
198212.marriedexemp,,0
155509.marriedexemp,,0
7555.gender,rF,F
131969.childexemp,,0
153617.city,MCCAiLL,MCCALL
130266.childexemp,,0
40408.state,R,OR
5868.singleexemp,,0
5376.state,CD,DC
147631.marriedexemp,,0
160415.marriedexemp,,0
94854.state,C,DC
118130.state,JN,NJ
70653.childexemp,,0
118072.state,TC,CT
78905.gender,eM,M
193474.state,KA,AK
142892.singleexemp,r0,0
45879.state,AeL,AL
12284.gender,gF,F
23887.marriedexemp,***,0
59219.singleexemp,***,0
143279.marriedexemp,j0,0
22214.marriedexemp,***,0
135644.childexemp,137e0,1370
154442.state,C,SC
25712.childexemp,2h475,2475
87475.singleexemp,y0,0
149024.city,ALBUQUERUQE,ALBUQUERQUE
161216.state,CD,DC
167845.marriedexemp,***,0
178305.marriedexemp,***,0
93953.singleexemp,,0
12294.childexemp,x20,20
116792.state,CD,DC
183460.marriedexemp,,0
100242.city,PAPLETON,APPLETON
192828.city,ALLAMCHY,ALLAMUCHY
112774.gender,pF,F
155940.state,cCT,CT
34215.singleexemp,w0,0
127443.singleexemp,,0
72541.marriedexemp,,0
39416.childexemp,,0
127628.city,CAMP sDENNISON,CAMP DENNISON
123324.marriedexemp,y0,0
58673.singleexemp,g0,0
2579.childexemp,,0
95419.childexemp,e3300,3300
10057.gender,***,F
