1742.state,HO,OH
1804.state,ZA,AZ
2274.brewery_id,1,71
1451.brewery_id,2,82
574.state,A,VA
854.brewery_id,106,160
150.brewery_id,408,374
11.brewery_id,408,177
114.brewery_name,Anderson Valley Brewing Compnay,Anderson Valley Brewing Company
32.brewery_id,408,368
88.state,RO,OR
2405.brewery_id,24,424
427.brewery_name,rewery Vivant,Brewery Vivant
431.city,Grnd Rapids,Grand Rapids
148.brewery_id,408,374
2336.brewery_id,100***,100
2138.brewery_id,21y5,215
1758.city,xEport,Export
34.brewery_id,408,368
10.brewery_id,408,177
833.state,OuR,OR
667.brewery_name,Crow Peak Brewing Compayn,Crow Peak Brewing Company
782.brewery_id,210,201
2105.state,jKS,KS
1805.state,Z,AZ
2262.state,X,TX
2156.state,YN,NY
1773.brewery_id,14,164
429.city,Grad Rapids,Grand Rapids
429.brewery_name,Brewery Vivatn,Brewery Vivant
1803.state,Z,AZ
1438.brewery_id,37,337
9.brewery_id,408,177
232.brewery_name,Bent Paddle Brewing ompany,Bent Paddle Brewing Company
149.brewery_id,408,374
33.brewery_id,408,368
430.city,Grand Raipds,Grand Rapids
1680.state,SxC,SC
1005.brewery_name,Half Acre Beer oCmpany,Half Acre Beer Company
2300.brewery_name,Utah Brewers Cooperzative,Utah Brewers Cooperative
1163.city,Misoula,Missoula
428.brewery_name,Brewery iVvant,Brewery Vivant
525.brewery_name,Cawpe Ann Brewing Company,Cape Ann Brewing Company
